ms,cci,title,fund,category_of_region,year,dimension_type,dimension_code,dimension_title,eu_cofinancing_rate,total_eligible_costs_selected_fin_data,eu_eligible_costs_selected_fin_data_notional,total_elig_expenditure_declared_fin_data,eu_elig_expenditure_declared_fin_data_notional,reference_date
FR,2014FR16M0OP014,Bourgogne - ERDF/ESF/YEI,ERDF,More developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,31.35606904,101286427.4,31398792.49,200905.4,62280.67,2017-12-31T00:00:00.000
GR,2014GR05M2OP001,Reform of the Public Sector - GR - ESF/ERDF,ERDF,More developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999906,11245266.95,8996213.56,4240298.6,3392238.88,2016-12-31T00:00:00.000
IT,2014IT16M2OP004,Metrolitan Cities - IT - ERDF/ESF,ERDF,More developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,52997843.82,26498921.91,30084348.23,15042174.12,2020-12-31T00:00:00.000
GR,2014GR16M2OP012,Attica - ERDF/ESF,ERDF,More developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,33864074.82,27091259.86,29893819.62,23915055.7,2019-12-31T00:00:00.000
FR,2014FR05M2OP001,Guadeloupe et St Martin - ESF/ERDF,ERDF,Less developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,76.87882921,1646514.13,1267815.88,0,0,2017-12-31T00:00:00.000
CZ,2014CZ16RFOP001,Enterprise and Innovation for Competitiveness - CZ - ERDF,ERDF,Less developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,52.52756819,442593926.53,234574781.06,77267420.84,40951733.05,2017-12-31T00:00:00.000
FR,2014FR16M0OP015,Lorraine et Vosges - ERDF/ESF/YEI,ERDF,Transition,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,59.9999997,96384358.65,57830615.19,53615178.64,32169107.18,2020-12-31T00:00:00.000
IT,2014IT16RFOP012,Lombardia - ERDF,ERDF,More developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,20000000,10000000,5893172,2946586,2019-12-31T00:00:00.000
PL,2014PL16M2OP009,Podkarpackie Voivodeship - ERDF/ESF,ERDF,Less developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999948,11179874.25,9502893.11,2675.06,2273.8,2016-12-31T00:00:00.000
PT,2014PT16M2OP001,Norte - ERDF/ESF,ERDF,Less developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999987,27457066.77,23338506.75,15922651.33,13534253.63,2019-12-31T00:00:00.000
PL,2014PL16M2OP004,Lubuskie Voivodeship - ERDF/ESF,ERDF,Less developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999881,44251255.8,37613567.43,11366462.31,9661492.96,2019-12-31T00:00:00.000
SI,2014SI16MAOP001,EU Cohesion Policy - SI - ERDF/ESF/CF/YEI,ERDF,Less developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999881,13645677.47,10916541.98,4641123.91,3712899.13,2019-12-31T00:00:00.000
PL,2014PL16M2OP012,Śląskie Voivodeship - ERDF/ESF,ERDF,Less developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.9999996,78320666.69,66572566.69,23084248.98,19621611.63,2019-12-31T00:00:00.000
ES,2014ES16RFOP006,Baleares  - ERDF,ERDF,More developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,24025537.91,12012768.96,18546569.77,9273284.89,2021-12-31T00:00:00.000
IT,2014IT16RFOP008,Emilia-Romagna - ERDF,ERDF,More developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,11094764,5547382,9090470.14,4545235.07,2020-12-31T00:00:00.000
IT,2014IT16RFOP007,Campania - ERDF,ERDF,Less developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,74.99999992,238590229.76,178942672.32,24320192.87,18240144.65,2018-12-31T00:00:00.000
IT,2014IT16RFOP010,Lazio - ERDF,ERDF,More developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,76048318.4,38024159.2,44195570.92,22097785.46,2022-12-31T00:00:00.000
UK,2014UK16RFOP001,England - ERDF,ERDF,Less developed,2023,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,,,,,
IT,2014IT16M2OP004,Metrolitan Cities - IT - ERDF/ESF,ERDF,Less developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,65331864.37,52265491.5,14358860.68,11487088.54,2018-12-31T00:00:00.000
IE,2014IE16RFOP001,Border Midland and Western Regional - ERDF,ERDF,More developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,,,,,2016-12-31T00:00:00.000
GR,2014GR05M2OP001,Reform of the Public Sector - GR - ESF/ERDF,ERDF,Transition,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,13949898.21,6974949.11,2795270.32,1397635.16,2019-12-31T00:00:00.000
FR,2014FR16M2OP012,Mayotte - ERDF/ESF,ERDF,Less developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,56.93232811,3951533.04,2252373.83,3633593.7,2071148.41,2020-12-31T00:00:00.000
FR,2014FR16M2OP005,Franche-Comté et Jura - ERDF/ESF,ERDF,Transition,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,59.99988505,14942450.69,8965470.41,8350980.38,5010588.23,2021-12-31T00:00:00.000
ES,2014ES16RFOP001,Smart Growth (merged 2017 with Multi-regional Spain) - ES - ERDF,ERDF,More developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,,,,,,
IT,2014IT16M2OP004,Metrolitan Cities - IT - ERDF/ESF,ERDF,Transition,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,,,,,2016-12-31T00:00:00.000
PL,2014PL16M2OP003,Lubelskie Voivodeship - ERDF/ESF,ERDF,Less developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.9999995,84711964.48,72005169.81,82362190.18,70007861.65,2022-12-31T00:00:00.000
IT,2014IT16RFOP013,Marche - ERDF,ERDF,More developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,16086337.84,8043168.92,6969271.57,3484635.79,2020-12-31T00:00:00.000
ES,2014ES16RFOP006,Baleares  - ERDF,ERDF,More developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,865150,432575,0,0,2017-12-31T00:00:00.000
EE,2014EE16M3OP001,Cohesion Policy Funding - EE - ERDF/ESF/CF,ERDF,Less developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999945,87180217.07,74103184.51,70787629.98,60169485.48,2019-12-31T00:00:00.000
PL,2014PL16RFOP002,Digital Poland - ERDF,ERDF,Less developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999977,840614554.42,714522371.26,650827442.1,553203325.79,2022-12-31T00:00:00.000
CY,2014CY16M1OP001,Competitiveness and sustainable development - CY - ERDF/CF,ERDF,More developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999925,,,,,2016-12-31T00:00:00.000
UK,2014UK16RFOP004,Scotland - ERDF,ERDF,Transition,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,55.00000169,26078703.7,14343287.04,19185696.54,10552133.1,2022-12-31T00:00:00.000
PL,2014PL16RFOP002,Digital Poland - ERDF,ERDF,Less developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999996,1288116256.04,1094898817.63,1011030608.12,859376016.9,2022-12-31T00:00:00.000
ES,2014ES16RFOP016,La Rioja  - ERDF,ERDF,More developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,5493011.89,2746505.95,4982393.73,2491196.87,2022-12-31T00:00:00.000
IT,2014IT16M2OP004,Metrolitan Cities - IT - ERDF/ESF,ERDF,Less developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,72966619.46,58373295.57,32615192.28,26092153.82,2020-12-31T00:00:00.000
UK,2014UK16RFOP001,England - ERDF,ERDF,More developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,122852016,61426008,93477845,46738922.5,2022-12-31T00:00:00.000
ES,2014ES16RFOP001,Smart Growth (merged 2017 with Multi-regional Spain) - ES - ERDF,ERDF,More developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,,,,,,
GR,2014GR05M2OP001,Reform of the Public Sector - GR - ESF/ERDF,ERDF,Less developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999979,174095841.2,139276672.96,34885196.3,27908157.04,2019-12-31T00:00:00.000
IT,2014IT16RFOP021,Veneto - ERDF,ERDF,More developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,53259275.9,26629637.95,13764331.55,6882165.78,2021-12-31T00:00:00.000
ES,2014ES16RFOP012,Ceuta  - ERDF,ERDF,More developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,0,0,0,0,2018-12-31T00:00:00.000
IT,2014IT16RFOP008,Emilia-Romagna - ERDF,ERDF,More developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,11094764,5547382,8055487.2,4027743.6,2018-12-31T00:00:00.000
UK,2014UK16RFOP001,England - ERDF,ERDF,Less developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,23612935,18890348,20501793,16401434.4,2022-12-31T00:00:00.000
UK,2014UK16RFOP001,England - ERDF,ERDF,Less developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,25137670,20110136,18950658,15160526.4,2020-12-31T00:00:00.000
FR,2014FR16M0OP008,Picardie - ERDF/ESF/YEI,ERDF,Transition,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,25.58139535,122642446.76,31887036.16,83128568.48,21613427.8,2021-12-31T00:00:00.000
IT,2014IT16M2OP004,Metrolitan Cities - IT - ERDF/ESF,ERDF,More developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,47419418.89,23709709.45,13689075.89,6844537.95,2018-12-31T00:00:00.000
IE,2014IE16RFOP001,Border Midland and Western Regional - ERDF,ERDF,More developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,0,0,0,0,2019-12-31T00:00:00.000
FR,2014FR16M2OP005,Franche-Comté et Jura - ERDF/ESF,ERDF,Transition,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,59.99988505,15219927.04,9131956.22,9303440.16,5582064.1,2022-12-31T00:00:00.000
EE,2014EE16M3OP001,Cohesion Policy Funding - EE - ERDF/ESF/CF,ERDF,Less developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999925,53861407.77,45782196.6,25939294.94,22048400.7,2016-12-31T00:00:00.000
IT,2014IT16RFOP020,Valle d'Aosta - ERDF,ERDF,More developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,13190000,6595000,6904910,3452455,2017-12-31T00:00:00.000
GR,2014GR05M2OP001,Reform of the Public Sector - GR - ESF/ERDF,ERDF,Less developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999971,37040797.8,29632638.24,13967124.45,11173699.56,2016-12-31T00:00:00.000
FR,2014FR16M0OP007,Midi-Pyrénées et Garonne - ERDF/ESF/YEI,ERDF,More developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,37.50000013,22283478.67,8467721.89,3116254.18,1184176.59,2016-12-31T00:00:00.000
IT,2014IT16RFOP003,Enterprises and Competitiveness - IT - ERDF,ERDF,Less developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,,46495115.93,,0,,2021-12-31T00:00:00.000
FR,2014FR16M0OP008,Picardie - ERDF/ESF/YEI,ERDF,Transition,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,25.58139535,83632728,21744509.28,10379701.22,2698722.32,2017-12-31T00:00:00.000
SE,2014SE16RFOP007,Central Norrland - ERDF,ERDF,More developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,,0,,0,,2019-12-31T00:00:00.000
GR,2014GR16M2OP012,Attica - ERDF/ESF,ERDF,More developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,33364074.82,26691259.86,29081910.72,23265528.58,2018-12-31T00:00:00.000
IT,2014IT16RFOP010,Lazio - ERDF,ERDF,More developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,153147130.94,76573565.47,27756258.13,13878129.07,2018-12-31T00:00:00.000
PL,2014PL16M2OP002,Kujawsko-Pomorskie Voivodeship - ERDF/ESF,ERDF,Less developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.9999993,60913414.04,51776401.93,40887765.54,34754600.71,2022-12-31T00:00:00.000
PT,2014PT16M2OP006,Madeira - ERDF/ESF,ERDF,More developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99998757,6478175.56,5506449.23,4834659.31,4109460.41,2022-12-31T00:00:00.000
UK,2014UK16RFOP004,Scotland - ERDF,ERDF,Transition,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,54.99999989,50863500,27974925,0,0,2018-12-31T00:00:00.000
IE,2014IE16RFOP002,Southern & Eastern Regional Programme - IE - ERDF,ERDF,More developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,,0,,0,,2021-12-31T00:00:00.000
ES,2014ES16RFOP009,Castilla y León  - ERDF,ERDF,More developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,23688753.73,11844376.87,10010652.82,5005326.41,2019-12-31T00:00:00.000
GR,2014GR16M2OP007,Continental Greece - ERDF/ESF,ERDF,Transition,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,,,,,2016-12-31T00:00:00.000
FR,2014FR16M2OP003,Bretagne - ERDF/ESF,ERDF,More developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,36.10923877,294988583.57,106195890.09,47503031.4,17101091.3,2019-12-31T00:00:00.000
HR,2014HR16M1OP001,Competitiveness and Cohesion  - HR - ERDF/CF,ERDF,Less developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999891,390601353.91,332011150.82,34268339.47,29128088.55,2021-12-31T00:00:00.000
IT,2014IT16RFOP011,Liguria - ERDF,ERDF,More developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,15499532.87,7749766.44,6933972.06,3466986.03,2017-12-31T00:00:00.000
ES,2014ES16RFOP002,Multi-regional Spain - ERDF,ERDF,More developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,57.30060256,1017164179.33,579783582.22,422390890.49,240762807.58,2021-12-31T00:00:00.000
UK,2014UK16RFOP001,England - ERDF,ERDF,Transition,2016,Thematic Objective,01,"Strengthening research, technological development and ...",60,2639006,1583403.6,0,0,2016-12-31T00:00:00.000
ES,2014ES16RFOP003,Andalucía  - ERDF,ERDF,Transition,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999994,,,,,2016-12-31T00:00:00.000
FR,2014FR16M0OP002,Auvergne - ERDF/ESF/YEI,ERDF,Transition,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,59.99999908,73696096.04,44217657.62,60480848.7,36288509.22,2022-12-31T00:00:00.000
SE,2014SE16RFOP001,South Sweden - ERDF,ERDF,More developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,8014161,4007080.5,3606572,1803286,2020-12-31T00:00:00.000
IT,2014IT16RFOP010,Lazio - ERDF,ERDF,More developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,111845126.71,55922563.36,0,0,2017-12-31T00:00:00.000
IT,2014IT16RFOP015,Sardegna - ERDF,ERDF,Transition,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,122596288.63,61298144.32,59271370.1,29635685.05,2019-12-31T00:00:00.000
PL,2014PL16M2OP006,Małopolskie Voivodeship - ERDF/ESF,ERDF,Less developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999972,155399692.67,132089738.77,95943695.54,81552141.21,2021-12-31T00:00:00.000
FR,2014FR16M2OP001,Basse-Normandie - ERDF/ESF,ERDF,Transition,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,40,126116044,50446417.6,38142825,15257130,2020-12-31T00:00:00.000
ES,2014ES16RFOP018,Melilla  - ERDF,ERDF,Transition,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99984637,2213077.45,1770461.96,150620.16,120496.13,2019-12-31T00:00:00.000
IT,2014IT16RFOP020,Valle d'Aosta - ERDF,ERDF,More developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,18054888.02,9027444.01,15824197.57,7912098.79,2021-12-31T00:00:00.000
PL,2014PL16M2OP002,Kujawsko-Pomorskie Voivodeship - ERDF/ESF,ERDF,Less developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999898,63660009.59,54111008.15,10565339.02,8980538.17,2019-12-31T00:00:00.000
PL,2014PL16RFOP002,Digital Poland - ERDF,ERDF,Less developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999977,799815353.58,679843050.54,368841170.94,313514995.3,2020-12-31T00:00:00.000
FR,2014FR16M0OP011,Martinique - ERDF/ESF/YEI,ERDF,Less developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,33.4328237,125548091,41430870.03,12431583,4102422.39,2021-12-31T00:00:00.000
PL,2014PL16M2OP014,Warmińsko-Mazurskie Voivodeship - ERDF/ESF,ERDF,Less developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,85,86513713.19,73536656.21,67569497.33,57434072.73,2022-12-31T00:00:00.000
IT,2014IT16RFOP022,Basilicata - ERDF,ERDF,Less developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,31431862,15715931,784089,392044.5,2017-12-31T00:00:00.000
FR,2014FR16M0OP015,Lorraine et Vosges - ERDF/ESF/YEI,ERDF,Transition,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,59.9999997,7426794.6,4456076.76,0,0,2016-12-31T00:00:00.000
FR,2014FR16M0OP001,Aquitaine - ERDF/ESF/YEI,ERDF,More developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,30.91396176,25193834,7810088.54,2042939.52,633311.25,2016-12-31T00:00:00.000
FR,2014FR16M2OP006,Limousin - ERDF/ESF,ERDF,Transition,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,59.99999907,126941482.13,76164889.28,43630169.11,26178101.47,2020-12-31T00:00:00.000
PL,2014PL16RFOP002,Digital Poland - ERDF,ERDF,More developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,9784600.04,7827680.03,1680133.72,1344106.98,2018-12-31T00:00:00.000
FR,2014FR16M0OP003,Centre - ERDF/ESF/YEI,ERDF,More developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,64503662.86,32251831.43,47530719.34,23765359.67,2020-12-31T00:00:00.000
UK,2014UK16RFOP004,Scotland - ERDF,ERDF,Transition,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,55.00000169,26078703.7,14343287.04,13693823.25,7531602.79,2021-12-31T00:00:00.000
ES,2014ES16RFOP014,Extremadura  - ERDF,ERDF,Less developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,114438870.7,91551096.56,33888223.92,27110579.14,2019-12-31T00:00:00.000
PL,2014PL16M2OP015,Wielkopolskie Voivodeship - ERDF/ESF,ERDF,Less developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999915,65834590.1,55959401.59,10044162.25,8537537.91,2018-12-31T00:00:00.000
PT,2014PT16M2OP002,Centro - ERDF/ESF,ERDF,Less developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999834,25205587.6,21424749.46,16481721.38,14009463.17,2020-12-31T00:00:00.000
ES,2014ES16RFOP021,País Vasco  - ERDF,ERDF,More developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,20455275.6,10227637.8,14727799.13,7363899.57,2022-12-31T00:00:00.000
RO,2014RO16RFOP001,Competitiveness Programme - RO - ERDF,ERDF,More developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999947,4896272.97,3917018.38,0,0,2016-12-31T00:00:00.000
IT,2014IT16M2OP004,Metrolitan Cities - IT - ERDF/ESF,ERDF,Transition,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,7528870.68,3764435.34,1098724.57,549362.29,2017-12-31T00:00:00.000
ES,2014ES16RFOP007,Canarias - ERDF,ERDF,Transition,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999994,69726795.47,59267776.15,20604109.03,17513492.68,2022-12-31T00:00:00.000
SE,2014SE16RFOP008,Upper Norrland - ERDF,ERDF,More developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,,,,,2016-12-31T00:00:00.000
PL,2014PL16M2OP012,Śląskie Voivodeship - ERDF/ESF,ERDF,Less developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.9999996,28137111.22,23916544.54,76955.05,65411.79,2016-12-31T00:00:00.000
IT,2014IT16RFOP018,Trento - ERDF,ERDF,More developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,9420908.88,4710454.44,817023.38,408511.69,2018-12-31T00:00:00.000
PT,2014PT16M2OP003,Alentejo - ERDF/ESF,ERDF,Less developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.9999994,4246006.63,3609105.64,0,0,2016-12-31T00:00:00.000
FR,2014FR16M2OP005,Franche-Comté et Jura - ERDF/ESF,ERDF,Transition,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,59.99988368,6662302.77,3997381.66,3148834.05,1889300.43,2019-12-31T00:00:00.000
ES,2014ES16RFOP003,Andalucía  - ERDF,ERDF,Transition,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,277004305.23,221603444.18,81697698.94,65358159.15,2021-12-31T00:00:00.000
MT,2014MT16M1OP001,Fostering a competitive and sustainable economy - MT - ERDF/CF,ERDF,Transition,2016,Thematic Objective,VOID,VOID,80,5000000,4000000,0,0,2016-12-31T00:00:00.000
ES,2014ES16RFOP005,Asturias  - ERDF,ERDF,More developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,1045928.46,836742.77,487905.61,390324.49,2018-12-31T00:00:00.000
ES,2014ES16RFOP018,Melilla  - ERDF,ERDF,Transition,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99994795,2885980.94,2308784.75,1399804.67,1119843.74,2021-12-31T00:00:00.000
ES,2014ES16RFOP009,Castilla y León  - ERDF,ERDF,More developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,47145287.81,23572643.91,31068329.87,15534164.94,2021-12-31T00:00:00.000
IT,2014IT16RFOP014,Piemonte - ERDF,ERDF,More developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,75477653.55,37738826.78,16301371.14,8150685.57,2019-12-31T00:00:00.000
IT,2014IT16RFOP011,Liguria - ERDF,ERDF,More developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,34996577.73,17498288.87,12986826.25,6493413.13,2019-12-31T00:00:00.000
IT,2014IT16RFOP008,Emilia-Romagna - ERDF,ERDF,More developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,30533641.17,15266820.59,11647054.12,5823527.06,2019-12-31T00:00:00.000
FR,2014FR16RFOP007,Réunion – ERDF,ERDF,Less developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,40492198.49,32393758.79,913716.57,730973.26,2019-12-31T00:00:00.000
FR,2014FR16M0OP009,Guadeloupe - ERDF/ESF/YEI,ERDF,Less developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,45.0000002,35062557.52,15778150.88,9050105.77,4072547.6,2020-12-31T00:00:00.000
IT,2014IT05M2OP002,Governance and Institutional Capacity - IT - ESF/ERDF,ERDF,More developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,4649631.66,2324815.83,0,0,2017-12-31T00:00:00.000
GR,2014GR16M2OP006,Western Macedonia - ERDF/ESF,ERDF,Transition,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999421,,,,,2016-12-31T00:00:00.000
FR,2014FR16M2OP011,Guyane - ERDF/ESF,ERDF,Less developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,45.76991487,894544,411490.24,0,0,2017-12-31T00:00:00.000
FR,2014FR16M0OP013,Provence-Alpes-Côte d'Azur - ERDF/ESF/YEI,ERDF,More developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,52876356.28,26438178.14,47282006.78,23641003.39,2020-12-31T00:00:00.000
HU,2014HU16M2OP002,Competitive Central-Hungary  - ERDF/ESF,ERDF,More developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,18800144.41,9400072.21,5438281.38,2719140.69,2019-12-31T00:00:00.000
FR,2014FR16M2OP003,Bretagne - ERDF/ESF,ERDF,More developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,36.10923877,3018773.25,1086758.37,700990.16,252356.46,2016-12-31T00:00:00.000
FR,2014FR16RFOP007,Réunion – ERDF,ERDF,Less developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,80.00000042,40837664.24,32670131.39,2533975.03,2027180.02,2020-12-31T00:00:00.000
GR,2014GR16M2OP007,Continental Greece - ERDF/ESF,ERDF,Transition,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,0,0,0,0,2020-12-31T00:00:00.000
IT,2014IT16RFOP015,Sardegna - ERDF,ERDF,Transition,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,110435089.1,55217544.55,80403780.42,40201890.21,2021-12-31T00:00:00.000
UK,2014UK16RFOP001,England - ERDF,ERDF,Less developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,19246588,15397270.4,12777072,10221657.6,2019-12-31T00:00:00.000
UK,2014UK16RFOP001,England - ERDF,ERDF,More developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,87959121,43979560.5,5080881,2540440.5,2017-12-31T00:00:00.000
PL,2014PL16M2OP015,Wielkopolskie Voivodeship - ERDF/ESF,ERDF,Less developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999915,69466279.97,59046337.97,943842.32,802265.97,2017-12-31T00:00:00.000
IT,2014IT16M2OP002,Puglia  - ERDF/ESF,ERDF,Less developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,105126922.68,52563461.34,49648793.14,24824396.57,2018-12-31T00:00:00.000
FR,2014FR16M0OP004,Champagne-Ardenne - ERDF/ESF/YEI,ERDF,More developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,40,4891421.94,1956568.78,2053266.82,821306.73,2018-12-31T00:00:00.000
DE,2014DE16RFOP004,Brandenburg - ERDF,ERDF,Transition,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999956,0,0,0,0,2020-12-31T00:00:00.000
CZ,2014CZ16RFOP001,Enterprise and Innovation for Competitiveness - CZ - ERDF,ERDF,Less developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,65.17524668,405177137.27,263365139.23,178306484.42,115899214.87,2018-12-31T00:00:00.000
IT,2014IT16M2OP003,Legality - IT - ERDF/ESF,ERDF,Less developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,74.99999945,66685879.84,50014409.88,18764795.75,14073596.81,2018-12-31T00:00:00.000
FR,2014FR16M0OP011,Martinique - ERDF/ESF/YEI,ERDF,Less developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,33.4328237,4670495.36,1541263.47,1454128.63,479862.45,2018-12-31T00:00:00.000
