ms,cci,title,fund,category_of_region,year,dimension_type,dimension_code,dimension_title,eu_cofinancing_rate,total_eligible_costs_selected_fin_data,eu_eligible_costs_selected_fin_data_notional,total_elig_expenditure_declared_fin_data,eu_elig_expenditure_declared_fin_data_notional,reference_date
IT,2014IT05M2OP002,Governance and Institutional Capacity - IT - ESF/ERDF,ERDF,More developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,21260245,10630122.5,19490999,9745499.5,2022-12-31T00:00:00.000
IT,2014IT16M2OP006,Calabria  - ERDF/ESF,ERDF,Less developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,75,38000000,28500000,7600000,5700000,2016-12-31T00:00:00.000
IT,2014IT05M2OP002,Governance and Institutional Capacity - IT - ESF/ERDF,ERDF,More developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,16098913.1,8049456.55,5648636.04,2824318.02,2018-12-31T00:00:00.000
ES,2014ES16RFOP006,Baleares  - ERDF,ERDF,More developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,22874998.41,11437499.21,12985209.3,6492604.65,2020-12-31T00:00:00.000
ES,2014ES16RFOP001,Smart Growth (merged 2017 with Multi-regional Spain) - ES - ERDF,ERDF,Less developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,,,,,,
PL,2014PL16RFOP002,Digital Poland - ERDF,ERDF,More developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999977,132599296.34,106079437.07,11760866.17,9408692.94,2019-12-31T00:00:00.000
ES,2014ES16RFOP009,Castilla y León  - ERDF,ERDF,More developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,49289469.28,24644734.64,35078357.2,17539178.6,2022-12-31T00:00:00.000
IT,2014IT16M2OP004,Metrolitan Cities - IT - ERDF/ESF,ERDF,More developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,59080359.67,29540179.84,49636941.16,24818470.58,2022-12-31T00:00:00.000
SE,2014SE16RFOP008,Upper Norrland - ERDF,ERDF,Outermost or Northern Sparsely Populated,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,18283766,9141883,12639133,6319566.5,2019-12-31T00:00:00.000
IT,2014IT16RFOP003,Enterprises and Competitiveness - IT - ERDF,ERDF,Less developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,73.87595107,,,,,2016-12-31T00:00:00.000
