PublicationDate,countryName,reportingYear,featureType,unit,featureValue
2025/12/15,Czechia,2022,OtherGases,TJ,16414.637899999998
2025/12/15,Poland,2022,NaturalGas,TJ,83350.49
2025/12/15,Spain,2017,Biomass,TJ,5674.8
2025/12/15,Luxembourg,2016,Installed capacity,MW,730
2025/12/15,Lithuania,2018,NOX,tonnes,3396.0879999999997
2025/12/15,Lithuania,2017,SO2,tonnes,2849.157
2025/12/15,Romania,2018,DUST,tonnes,2625.0527279999997
2025/12/15,Belgium,2023,SO2,tonnes,1162.9621399999999
2025/12/15,Slovakia,2022,LiquidFuels,TJ,10650.8683919
2025/12/15,Slovenia,2021,OtherSolidFuels,TJ,0
2025/12/15,Estonia,2019,Coal,TJ,0
2025/12/15,Ireland,2018,Coal,TJ,20457.78
2025/12/15,Slovenia,2020,NaturalGas,TJ,1824.587
2025/12/15,France,2016,NOX,tonnes,51667.14756449386
2025/12/15,Germany,2021,NaturalGas,TJ,779425.594
2025/12/15,Greece,2016,LiquidFuels,TJ,44061.939999999995
2025/12/15,Portugal,2020,OtherSolidFuels,TJ,34063.9295
2025/12/15,Cyprus,2016,Installed capacity,MW,4884.5
2025/12/15,Denmark,2016,SO2,tonnes,1837.1768100000004
2025/12/15,Ireland,2016,DUST,tonnes,346.8886
2025/12/15,Sweden,2024,NaturalGas,TJ,2191.84
2025/12/15,Slovenia,2018,Lignite,TJ,43997.241
2025/12/15,Bulgaria,2017,LiquidFuels,TJ,0
2025/12/15,Lithuania,2020,NaturalGas,TJ,61725.21000000001
2025/12/15,Slovenia,2017,NaturalGas,TJ,699.28
2025/12/15,Croatia,2023,Coal,TJ,12000
2025/12/15,Italy,2019,Peat,TJ,0
2025/12/15,Greece,2019,NaturalGas,TJ,124011.07999999999
2025/12/15,Lithuania,2017,OtherSolidFuels,TJ,0
2025/12/15,Finland,2024,Installed capacity,MW,26286.8
2025/12/15,Estonia,2022,SO2,tonnes,7995.101
2025/12/15,Slovenia,2021,NOX,tonnes,2505.2279999999996
2025/12/15,Croatia,2024,Lignite,TJ,0
2025/12/15,Germany,2020,Peat,TJ,0
2025/12/15,Bulgaria,2021,Coal,TJ,18746
2025/12/15,Spain,2024,NaturalGas,TJ,490818.2778854666
2025/12/15,Italy,2023,Peat,TJ,0
2025/12/15,Austria,2023,NOX,tonnes,4761.9268059999995
2025/12/15,Portugal,2022,DUST,tonnes,622.16504
2025/12/15,Cyprus,2020,OtherGases,TJ,0
2025/12/15,Hungary,2021,Peat,TJ,0
2025/12/15,Austria,2019,OtherSolidFuels,TJ,28530.484682000002
2025/12/15,Hungary,2022,Coal,TJ,128.529
2025/12/15,Spain,2016,Coal,TJ,359454.7
2025/12/15,Italy,2023,OtherGases,TJ,173748.80214600003
2025/12/15,Sweden,2018,LiquidFuels,TJ,6708.266
2025/12/15,Croatia,2018,OtherGases,TJ,6872.31094
2025/12/15,Czechia,2020,Lignite,TJ,333034.92576500005
2025/12/15,Portugal,2024,Peat,TJ,0
2025/12/15,Portugal,2021,Lignite,TJ,0
2025/12/15,Italy,2018,NaturalGas,TJ,857594.5209570001
2025/12/15,Denmark,2020,Coal,TJ,29026.840666999997
2025/12/15,Hungary,2017,NOX,tonnes,4698.749
2025/12/15,Greece,2020,SO2,tonnes,24912.3096
2025/12/15,Austria,2021,DUST,tonnes,222.18812200000002
2025/12/15,Romania,2017,DUST,tonnes,3067.1760000000004
2025/12/15,Latvia,2017,DUST,tonnes,6.90004
2025/12/15,Hungary,2020,DUST,tonnes,70.31939999999999
2025/12/15,Cyprus,2017,Lignite,TJ,0
2025/12/15,Estonia,2017,OtherGases,TJ,11875.720000000001
2025/12/15,Cyprus,2020,Peat,TJ,0
2025/12/15,Estonia,2021,Lignite,TJ,0
2025/12/15,Latvia,2023,Lignite,TJ,0
2025/12/15,Estonia,2023,NaturalGas,TJ,2295.64
2025/12/15,Estonia,2021,DUST,tonnes,470.86800000000005
2025/12/15,Slovakia,2017,Peat,TJ,192.47
2025/12/15,Bulgaria,2023,Coal,TJ,18788
2025/12/15,Latvia,2022,Coal,TJ,0
2025/12/15,Belgium,2021,DUST,tonnes,68.62577
