PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,EPRTRAnnexIMainActivity,Pollutant,Releases
2025/12/15,Italy,2022,3,Mineral industry,3(a),Particulate matter (PM10),56700
2025/12/15,Germany,2012,4,Chemical industry,4(a)(viii),Nitrous oxide (N2O),166000
2025/12/15,Slovenia,2012,2,Production and processing of metals,2(e)(i),Sulphur oxides (SOX),455000
2025/12/15,Netherlands,2009,8,Animal and vegetable products from the food and beverage sector,8(b)(ii),Ammonia (NH3),159500
2025/12/15,Netherlands,2021,8,Animal and vegetable products from the food and beverage sector,8(b)(ii),Particulate matter (PM10),127300
2025/12/15,Greece,2017,1,Energy sector,1(c),Chromium and compounds (as Cr),4957
2025/12/15,Spain,2017,4,Chemical industry,4(b)(v),Zinc and compounds (as Zn),2040
2025/12/15,Iceland,2008,7,Intensive livestock production and aquaculture,7(a)(ii),Ammonia (NH3),93700
2025/12/15,Spain,2013,,,,Nitrous oxide (N2O),120000
2025/12/15,France,2007,5,Waste and wastewater management,5(a),Cadmium and compounds (as Cd),15.8
2025/12/15,Netherlands,2024,3,Mineral industry,3(f),Nitrogen oxides (NOX),122000
2025/12/15,United Kingdom,2010,2,Production and processing of metals,2(e)(ii),Lead and compounds (as Pb),597
2025/12/15,Hungary,2008,2,Production and processing of metals,2(f),Non-methane volatile organic compounds (NMVOC),621000
2025/12/15,Germany,2011,5,Waste and wastewater management,5(b),PCDD + PCDF (dioxins + furans) (as Teq),0.0008
2025/12/15,Germany,2017,5,Waste and wastewater management,5(a),Hydrochlorofluorocarbons (HCFCs),1.23
2025/12/15,Spain,2024,2,Production and processing of metals,2(b),Zinc and compounds (as Zn),27741
2025/12/15,Bulgaria,2009,7,Intensive livestock production and aquaculture,7(a)(i),Methane (CH4),337000
2025/12/15,Spain,2008,2,Production and processing of metals,2(b),Hydrogen cyanide (HCN),335
2025/12/15,Czechia,2013,4,Chemical industry,4(a)(i),PCDD + PCDF (dioxins + furans) (as Teq),0.00013
2025/12/15,United Kingdom,2013,4,Chemical industry,4(a)(i),Toluene,4260
2025/12/15,Spain,2019,1,Energy sector,1(a),Hydrogen cyanide (HCN),33800
2025/12/15,Portugal,2015,3,Mineral industry,3(c)(i),Particulate matter (PM10),83800
2025/12/15,Switzerland,2018,3,Mineral industry,3(e),Ammonia (NH3),26200
2025/12/15,Czechia,2018,4,Chemical industry,4(a)(iv),Nitrous oxide (N2O),75923
2025/12/15,Spain,2016,3,Mineral industry,3(c)(i),Particulate matter (PM10),51300
2025/12/15,Spain,2012,8,Animal and vegetable products from the food and beverage sector,8(b)(i),Nitrogen oxides (NOX),886000
2025/12/15,Norway,2008,2,Production and processing of metals,2(e)(i),Non-methane volatile organic compounds (NMVOC),185000
2025/12/15,Austria,2007,3,Mineral industry,3(f),Sulphur oxides (SOX),154000
2025/12/15,Poland,2012,8,Animal and vegetable products from the food and beverage sector,8(a),Hydrochlorofluorocarbons (HCFCs),138
2025/12/15,Poland,2016,3,Mineral industry,3(c),Polychlorinated biphenyls (PCBs),5.27
2025/12/15,Germany,2019,4,Chemical industry,4(a)(ii),Sulphur oxides (SOX),788000
2025/12/15,France,2021,6,Paper and wood production and processing,6(b),Lead and compounds (as Pb),973
2025/12/15,Spain,2021,6,Paper and wood production and processing,6(b),Chromium and compounds (as Cr),143
