PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,EPRTRAnnexIMainActivity,Pollutant,Releases
2025/12/15,Czechia,2009,4,Chemical industry,4(a)(i),Arsenic and compounds (as As),344.1
2025/12/15,Austria,2013,6,Paper and wood production and processing,6(a),Total organic carbon(as total C or COD/3) (TOC),2571000
2025/12/15,Spain,2023,2,Production and processing of metals,2(e)(i),Mercury and compounds (as Hg),2.13
2025/12/15,France,2018,4,Chemical industry,4(a)(x),Total phosphorus,15400
2025/12/15,Netherlands,2015,2,Production and processing of metals,2(b),Nickel and compounds (as Ni),87.1
2025/12/15,Germany,2019,5,Waste and wastewater management,5(f),Atrazine,1.01
2025/12/15,Spain,2023,5,Waste and wastewater management,5(d),Chlorides (as total Cl),2840000
2025/12/15,Germany,2011,4,Chemical industry,4(a),Chromium and compounds (as Cr),74.3
2025/12/15,Poland,2015,1,Energy sector,1(c),Nickel and compounds (as Ni),148.2
2025/12/15,Italy,2017,5,Waste and wastewater management,5(c),Nonylphenol and Nonylphenol ethoxylates,382
2025/12/15,United Kingdom,2019,5,Waste and wastewater management,5(a),Fluorides (as total F),21600
2025/12/15,Poland,2017,1,Energy sector,1(d),Cyanides (as total CN),115
2025/12/15,Netherlands,2015,,,,Zinc and compounds (as Zn),899
2025/12/15,Austria,2019,2,Production and processing of metals,2(b),Nickel and compounds (as Ni),365.2
2025/12/15,United Kingdom,2016,1,Energy sector,1(c),"Benzo(g,h,i)perylene",12.71
2025/12/15,Serbia,2024,3,Mineral industry,3(a),Phenols (as total C),56.3
2025/12/15,United Kingdom,2017,1,Energy sector,1(a),Nickel and compounds (as Ni),246
2025/12/15,France,2012,4,Chemical industry,4(a)(viii),Total organic carbon(as total C or COD/3) (TOC),569200
2025/12/15,Greece,2017,7,Intensive livestock production and aquaculture,7(b),Total nitrogen,241000
2025/12/15,Switzerland,2014,1,Energy sector,1(a),Cyanides (as total CN),17.6
2025/12/15,France,2022,3,Mineral industry,3(c)(i),Mercury and compounds (as Hg),6.94
2025/12/15,France,2021,4,Chemical industry,4(a)(ii),Total organic carbon(as total C or COD/3) (TOC),1927100
2025/12/15,Poland,2017,5,Waste and wastewater management,5(f),Polycyclic aromatic hydrocarbons (PAHs),180
2025/12/15,France,2013,6,Paper and wood production and processing,6(b),Arsenic and compounds (as As),68.4
2025/12/15,Poland,2024,3,Mineral industry,3(b),Total nitrogen,103500
2025/12/15,Serbia,2019,5,Waste and wastewater management,5(f),Total organic carbon(as total C or COD/3) (TOC),11200000
2025/12/15,Germany,2024,4,Chemical industry,4(a),Halogenated organic compounds (as AOX),2580
2025/12/15,Finland,2012,2,Production and processing of metals,2(e)(ii),Copper and compounds (as Cu),726
2025/12/15,Poland,2024,2,Production and processing of metals,2(e),Zinc and compounds (as Zn),995
2025/12/15,Sweden,2009,5,Waste and wastewater management,5(f),Zinc and compounds (as Zn),9520
2025/12/15,Poland,2015,5,Waste and wastewater management,5(f),Fluorides (as total F),81450
2025/12/15,France,2024,4,Chemical industry,4(a)(viii),Zinc and compounds (as Zn),363
2025/12/15,Ireland,2010,3,Mineral industry,3(a),Lead and compounds (as Pb),679.4
2025/12/15,United Kingdom,2018,5,Waste and wastewater management,5(d),Lead and compounds (as Pb),91
2025/12/15,France,2022,6,Paper and wood production and processing,6(b),Total phosphorus,12700
2025/12/15,France,2022,5,Waste and wastewater management,5(a),Nickel and compounds (as Ni),218.200001
2025/12/15,France,2008,1,Energy sector,1(c),Benzene,244
2025/12/15,Germany,2007,5,Waste and wastewater management,5(b),Zinc and compounds (as Zn),2660
2025/12/15,Germany,2017,4,Chemical industry,4(b)(iv),Nickel and compounds (as Ni),800.1
2025/12/15,Slovakia,2018,4,Chemical industry,4(a)(iii),Chlorides (as total Cl),4000000
2025/12/15,Lithuania,2011,5,Waste and wastewater management,5(f),Mercury and compounds (as Hg),13.6
2025/12/15,Netherlands,2019,4,Chemical industry,4(a)(i),Trichloromethane,26
2025/12/15,Italy,2016,4,Chemical industry,4(b),Nickel and compounds (as Ni),1900.1
2025/12/15,France,2007,5,Waste and wastewater management,5(a),"1,2-dichloroethane (DCE-1,2)",562
2025/12/15,Belgium,2007,4,Chemical industry,4(c),Total phosphorus,13620
