PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,EPRTRAnnexIMainActivity,Pollutant,Releases
2025/12/15,Netherlands,2011,1,Energy sector,1(a),Chlorides (as total Cl),113000000
2025/12/15,Czechia,2017,4,Chemical industry,4(c),Fluorides (as total F),3210
2025/12/15,Austria,2009,4,Chemical industry,4(c),Fluorides (as total F),8200
2025/12/15,Slovakia,2016,1,Energy sector,1(c),Phenols (as total C),21.2
2025/12/15,Germany,2007,4,Chemical industry,4(a)(ii),Ethyl benzene,43.7
2025/12/15,Sweden,2009,5,Waste and wastewater management,5(a),Phenols (as total C),202
2025/12/15,Serbia,2010,7,Intensive livestock production and aquaculture,7(a)(ii),Total nitrogen,305000
2025/12/15,Sweden,2017,2,Production and processing of metals,2(e)(i),Copper and compounds (as Cu),490
2025/12/15,Germany,2014,3,Mineral industry,3(a),Fluorides (as total F),4440
2025/12/15,Spain,2007,5,Waste and wastewater management,5(f),Trichloroethylene (TRI),100.8
