PublicationDate,countryName,reportingYear,Pollutant,transfers
2025/12/15,Austria,2007,Toluene,1995
2025/12/15,Austria,2009,Total phosphorus,105800
2025/12/15,Austria,2009,Trichloromethane,53.5
2025/12/15,Austria,2010,"Benzo(g,h,i)perylene",39.82
2025/12/15,Austria,2010,Mercury and compounds (as Hg),1.9
2025/12/15,Austria,2010,Toluene,8800
2025/12/15,Austria,2012,Total phosphorus,170780
2025/12/15,Austria,2013,"Benzo(g,h,i)perylene",39.9
2025/12/15,Austria,2013,Mercury and compounds (as Hg),2.25
2025/12/15,Austria,2013,Toluene,4860
2025/12/15,Austria,2015,Total phosphorus,195570
2025/12/15,Austria,2015,Xylenes,5160
2025/12/15,Austria,2016,Cadmium and compounds (as Cd),19.4
2025/12/15,Austria,2017,"Chloro-alkanes, C10-C13",12.3
2025/12/15,Austria,2018,Total nitrogen,1148500
2025/12/15,Austria,2018,Xylenes,4330
2025/12/15,Austria,2019,Cadmium and compounds (as Cd),20.3
2025/12/15,Austria,2020,"Chloro-alkanes, C10-C13",13.6
2025/12/15,Austria,2020,Polycyclic aromatic hydrocarbons (PAHs),796.1
2025/12/15,Austria,2021,Total nitrogen,1188500
2025/12/15,Austria,2021,Xylenes,4530
2025/12/15,Austria,2022,Cadmium and compounds (as Cd),23.1
2025/12/15,Austria,2023,"Chloro-alkanes, C10-C13",12.9
2025/12/15,Austria,2023,Polycyclic aromatic hydrocarbons (PAHs),859.8
2025/12/15,Austria,2024,Total nitrogen,677700
2025/12/15,Austria,2024,Xylenes,4190
2025/12/15,Belgium,2008,Total nitrogen,284900
2025/12/15,Belgium,2009,Asbestos,699
2025/12/15,Belgium,2009,Cadmium and compounds (as Cd),10.9
2025/12/15,Belgium,2010,Brominated diphenylethers (PBDE),7.83
2025/12/15,Belgium,2010,Polycyclic aromatic hydrocarbons (PAHs),105
2025/12/15,Belgium,2011,Total nitrogen,187900
2025/12/15,Belgium,2012,Cadmium and compounds (as Cd),16.93
2025/12/15,Belgium,2014,Total nitrogen,143900
2025/12/15,Belgium,2015,Cadmium and compounds (as Cd),9.2
2025/12/15,Belgium,2017,Copper and compounds (as Cu),766.3
2025/12/15,Belgium,2018,Di-(2-ethyl hexyl) phthalate (DEHP),5510
2025/12/15,Belgium,2019,Pentachlorophenol (PCP),14.2
2025/12/15,Belgium,2020,Copper and compounds (as Cu),57.1
2025/12/15,Belgium,2021,Pentachlorobenzene,9.47
2025/12/15,Belgium,2021,Polychlorinated biphenyls (PCBs),42.6
2025/12/15,Belgium,2022,Pentachlorophenol (PCP),5.3
2025/12/15,Belgium,2023,Copper and compounds (as Cu),184.3
2025/12/15,Belgium,2023,Zinc and compounds (as Zn),338
2025/12/15,Belgium,2024,Halogenated organic compounds (as AOX),1500
2025/12/15,Bulgaria,2007,Total organic carbon(as total C or COD/3) (TOC),1270000
2025/12/15,Bulgaria,2009,Arsenic and compounds (as As),40
2025/12/15,Bulgaria,2010,Lead and compounds (as Pb),181
2025/12/15,Bulgaria,2010,Total organic carbon(as total C or COD/3) (TOC),5049000
2025/12/15,Bulgaria,2011,Fluorides (as total F),167000
2025/12/15,Bulgaria,2012,Arsenic and compounds (as As),99
2025/12/15,Bulgaria,2012,Nickel and compounds (as Ni),221
2025/12/15,Bulgaria,2013,Lead and compounds (as Pb),193
2025/12/15,Bulgaria,2015,Arsenic and compounds (as As),18.4
2025/12/15,Bulgaria,2016,Lead and compounds (as Pb),890.1
2025/12/15,Bulgaria,2019,Lead and compounds (as Pb),45
2025/12/15,Bulgaria,2020,Fluorides (as total F),432725
2025/12/15,Croatia,2017,Arsenic and compounds (as As),24.55
2025/12/15,Croatia,2018,Lead and compounds (as Pb),33.8
2025/12/15,Cyprus,2015,Phenols (as total C),40.8
2025/12/15,Cyprus,2021,Total organic carbon(as total C or COD/3) (TOC),1643400
2025/12/15,Czechia,2007,Nickel and compounds (as Ni),3131
2025/12/15,Czechia,2007,Tetrachloromethane (TCM),22
2025/12/15,Czechia,2008,Ethyl benzene,201
2025/12/15,Czechia,2008,Phenols (as total C),386916
2025/12/15,Czechia,2008,Tetrachloroethylene,26.4
2025/12/15,Czechia,2008,Total organic carbon(as total C or COD/3) (TOC),3189400
2025/12/15,Czechia,2009,Cyanides (as total CN),7900
2025/12/15,Czechia,2009,Dichloromethane (DCM),16
2025/12/15,Czechia,2009,Polycyclic aromatic hydrocarbons (PAHs),14.24
2025/12/15,Czechia,2010,Arsenic and compounds (as As),135.60999999999999
2025/12/15,Czechia,2010,Nickel and compounds (as Ni),5125.2
2025/12/15,Czechia,2010,Tetrachloromethane (TCM),33
2025/12/15,Czechia,2011,"1,2-dichloroethane (DCE-1,2)",17.4
2025/12/15,Czechia,2011,Lead and compounds (as Pb),161.1
2025/12/15,Czechia,2011,Total organic carbon(as total C or COD/3) (TOC),4520000
2025/12/15,Czechia,2012,Dichloromethane (DCM),56.3
2025/12/15,Czechia,2012,Fluorides (as total F),19610
2025/12/15,Czechia,2012,Polycyclic aromatic hydrocarbons (PAHs),7.3
2025/12/15,Czechia,2013,Arsenic and compounds (as As),19.21
2025/12/15,Czechia,2013,Chlorides (as total Cl),39600000
2025/12/15,Czechia,2013,Nickel and compounds (as Ni),5720.4
2025/12/15,Czechia,2013,Tetrachloromethane (TCM),23
2025/12/15,Czechia,2014,"1,2-dichloroethane (DCE-1,2)",20.1
2025/12/15,Czechia,2014,Ethyl benzene,353
2025/12/15,Czechia,2014,Lead and compounds (as Pb),507.9
2025/12/15,Czechia,2015,Fluorides (as total F),15920
2025/12/15,Czechia,2015,Naphthalene,467.9
2025/12/15,Czechia,2015,Polycyclic aromatic hydrocarbons (PAHs),72.5
2025/12/15,Czechia,2016,Arsenic and compounds (as As),69.8
2025/12/15,Czechia,2016,Chlorides (as total Cl),49430000
2025/12/15,Czechia,2017,"1,2-dichloroethane (DCE-1,2)",14.7
2025/12/15,Czechia,2017,Lead and compounds (as Pb),6494
2025/12/15,Czechia,2018,Fluorides (as total F),99123.384
2025/12/15,Czechia,2019,Arsenic and compounds (as As),13.560400000000001
2025/12/15,Czechia,2019,Chlorides (as total Cl),55170033.8
2025/12/15,Czechia,2020,Lead and compounds (as Pb),5986.90904
2025/12/15,Czechia,2021,Fluorides (as total F),103128.888
2025/12/15,Czechia,2022,Chlorides (as total Cl),30818342.9
2025/12/15,Denmark,2007,Total phosphorus,276890
2025/12/15,Denmark,2015,Polycyclic aromatic hydrocarbons (PAHs),420.4
2025/12/15,Denmark,2016,Arsenic and compounds (as As),30
2025/12/15,Denmark,2018,Polycyclic aromatic hydrocarbons (PAHs),53.84
2025/12/15,Denmark,2019,Arsenic and compounds (as As),7.540589999999999
2025/12/15,Denmark,2019,Nickel and compounds (as Ni),36.6105
2025/12/15,Denmark,2020,Cadmium and compounds (as Cd),0.45583000000000007
2025/12/15,Denmark,2020,Chlorine and inorganic compounds (as HCl),7392
2025/12/15,Denmark,2020,Ethyl benzene,0
2025/12/15,Denmark,2021,Polycyclic aromatic hydrocarbons (PAHs),249
2025/12/15,Denmark,2022,Arsenic and compounds (as As),13.477967
2025/12/15,Denmark,2022,Chlorides (as total Cl),8137691.443299999
2025/12/15,Denmark,2022,Copper and compounds (as Cu),41.356019
2025/12/15,Denmark,2022,Nickel and compounds (as Ni),76.57377699999996
2025/12/15,Denmark,2023,Chlorine and inorganic compounds (as HCl),14703.7
2025/12/15,Denmark,2023,Di-(2-ethyl hexyl) phthalate (DEHP),4.1282
2025/12/15,Denmark,2024,Fluorides (as total F),1.531
2025/12/15,Denmark,2024,Polycyclic aromatic hydrocarbons (PAHs),38.8
2025/12/15,Finland,2007,Copper and compounds (as Cu),533
2025/12/15,Finland,2007,Zinc and compounds (as Zn),619
2025/12/15,Finland,2008,Total phosphorus,302060
2025/12/15,Finland,2009,Phenols (as total C),18077.1
2025/12/15,Finland,2010,Cyanides (as total CN),2340
2025/12/15,Finland,2010,Zinc and compounds (as Zn),364
2025/12/15,Finland,2011,Total phosphorus,311030
2025/12/15,Finland,2012,Phenols (as total C),24644.6
2025/12/15,Finland,2012,Toluene,779
2025/12/15,Finland,2013,Cyanides (as total CN),1140
2025/12/15,Finland,2015,Phenols (as total C),27919.3
2025/12/15,Finland,2015,Total organic carbon(as total C or COD/3) (TOC),10948700
2025/12/15,Finland,2017,Nickel and compounds (as Ni),297.6
2025/12/15,Finland,2017,Xylenes,203
2025/12/15,Finland,2018,Phenols (as total C),33325
2025/12/15,Finland,2018,Total organic carbon(as total C or COD/3) (TOC),7478200
2025/12/15,Finland,2020,Arsenic and compounds (as As),34.99
2025/12/15,Finland,2020,Nickel and compounds (as Ni),203
2025/12/15,Finland,2021,Cadmium and compounds (as Cd),5.4
2025/12/15,Finland,2021,Total organic carbon(as total C or COD/3) (TOC),8130100
2025/12/15,Finland,2022,Pentachlorophenol (PCP),24
2025/12/15,Finland,2023,Arsenic and compounds (as As),101.97
2025/12/15,Finland,2023,Nickel and compounds (as Ni),152.8
2025/12/15,Finland,2023,Xylenes,330
2025/12/15,Finland,2024,Cadmium and compounds (as Cd),9
2025/12/15,France,2007,Naphthalene,29
2025/12/15,France,2009,Chromium and compounds (as Cr),13156.9
2025/12/15,France,2012,Chromium and compounds (as Cr),32891
2025/12/15,France,2012,Mercury and compounds (as Hg),25.939999999999998
2025/12/15,France,2014,Trichloromethane,766.1
2025/12/15,France,2015,Chromium and compounds (as Cr),17042
2025/12/15,France,2015,Mercury and compounds (as Hg),33.86
2025/12/15,France,2015,Tetrachloroethylene,133.9
2025/12/15,France,2017,Trichloromethane,373.59999999999997
2025/12/15,France,2018,Chromium and compounds (as Cr),16729
2025/12/15,France,2018,Mercury and compounds (as Hg),6.8
2025/12/15,France,2020,Trichloromethane,362.799999
2025/12/15,France,2020,Xylenes,0.44
2025/12/15,France,2021,Cadmium and compounds (as Cd),67.499998
2025/12/15,France,2021,Mercury and compounds (as Hg),17.74
2025/12/15,France,2021,Tetrachloroethylene,12
2025/12/15,France,2023,Total nitrogen,3399700
2025/12/15,France,2023,Trichloromethane,87.30000100000001
2025/12/15,France,2024,Cadmium and compounds (as Cd),52.669999000000004
2025/12/15,Germany,2007,Chromium and compounds (as Cr),4336.1
2025/12/15,Germany,2007,Mercury and compounds (as Hg),2327.38
2025/12/15,Germany,2009,Organotin compounds (as total Sn),1520
2025/12/15,Germany,2009,PCDD + PCDF (dioxins + furans) (as Teq),0.0011510000000000001
2025/12/15,Germany,2009,Trichloromethane,68.1
2025/12/15,Germany,2010,Chromium and compounds (as Cr),3219.8
2025/12/15,Germany,2010,Mercury and compounds (as Hg),643.36
2025/12/15,Germany,2012,PCDD + PCDF (dioxins + furans) (as Teq),0.0015530000000000001
2025/12/15,Germany,2012,Trichloromethane,13.4
2025/12/15,Germany,2013,Chromium and compounds (as Cr),2550.9
2025/12/15,Germany,2013,Mercury and compounds (as Hg),422.1
2025/12/15,Germany,2015,Trichloromethane,37.1
2025/12/15,Germany,2015,Xylenes,2950
2025/12/15,Germany,2016,Mercury and compounds (as Hg),980.34
2025/12/15,Germany,2017,Fluoranthene,55.2
2025/12/15,Germany,2018,Total nitrogen,12066900
2025/12/15,Germany,2018,Xylenes,4316.4
2025/12/15,Germany,2020,Fluoranthene,3.46
2025/12/15,Germany,2021,Total nitrogen,12836800
2025/12/15,Germany,2021,Xylenes,2933.0099999999998
2025/12/15,Germany,2022,Octylphenols and Octylphenol ethoxylates,9.37
2025/12/15,Germany,2024,Total nitrogen,10500500
2025/12/15,Germany,2024,Vinyl chloride,468.79999999999995
2025/12/15,Germany,2024,Xylenes,4202
2025/12/15,Greece,2007,Chromium and compounds (as Cr),102
2025/12/15,Greece,2008,Total organic carbon(as total C or COD/3) (TOC),173400
2025/12/15,Greece,2013,Arsenic and compounds (as As),21.2
2025/12/15,Greece,2015,Total nitrogen,571000
2025/12/15,Greece,2016,Arsenic and compounds (as As),29.5
2025/12/15,Greece,2018,Total nitrogen,873000
2025/12/15,Hungary,2007,Phenols (as total C),159
2025/12/15,Hungary,2008,Zinc and compounds (as Zn),137
2025/12/15,Hungary,2009,Mercury and compounds (as Hg),1.51
2025/12/15,Hungary,2010,Phenols (as total C),176.1
2025/12/15,Hungary,2010,Total organic carbon(as total C or COD/3) (TOC),2207900
2025/12/15,Hungary,2011,Dichloromethane (DCM),22180
2025/12/15,Hungary,2011,Zinc and compounds (as Zn),118
2025/12/15,Hungary,2012,Mercury and compounds (as Hg),4.65
2025/12/15,Hungary,2013,Total organic carbon(as total C or COD/3) (TOC),102941700
2025/12/15,Hungary,2014,Dichloromethane (DCM),5833
2025/12/15,Hungary,2015,Mercury and compounds (as Hg),3550
2025/12/15,Hungary,2016,Total organic carbon(as total C or COD/3) (TOC),3733500
2025/12/15,Hungary,2017,Dichloromethane (DCM),240
2025/12/15,Hungary,2018,Mercury and compounds (as Hg),1533.2
2025/12/15,Hungary,2019,Total organic carbon(as total C or COD/3) (TOC),3369600
2025/12/15,Hungary,2020,Dichloromethane (DCM),36.5
2025/12/15,Hungary,2020,Total nitrogen,669100
2025/12/15,Hungary,2023,Total nitrogen,338900
2025/12/15,Ireland,2007,Zinc and compounds (as Zn),104
2025/12/15,Ireland,2009,Phenols (as total C),696.4
2025/12/15,Ireland,2010,Zinc and compounds (as Zn),242
2025/12/15,Ireland,2012,Phenols (as total C),2426
2025/12/15,Ireland,2012,Total organic carbon(as total C or COD/3) (TOC),2637600
2025/12/15,Ireland,2013,Dichloromethane (DCM),273.8
2025/12/15,Ireland,2013,Nonylphenol and Nonylphenol ethoxylates,1.42
2025/12/15,Ireland,2015,Phenols (as total C),976.7
2025/12/15,Ireland,2015,Total organic carbon(as total C or COD/3) (TOC),4181400
2025/12/15,Ireland,2016,Dichloromethane (DCM),66.5
2025/12/15,Ireland,2016,Nonylphenol and Nonylphenol ethoxylates,430
2025/12/15,Ireland,2018,Ethyl benzene,0.24
2025/12/15,Ireland,2018,Total organic carbon(as total C or COD/3) (TOC),5397230.07
2025/12/15,Ireland,2019,Dichloromethane (DCM),160.41899999999998
2025/12/15,Ireland,2019,Nonylphenol and Nonylphenol ethoxylates,1035
2025/12/15,Ireland,2019,Total nitrogen,353367.00153999997
2025/12/15,Ireland,2020,Chlorides (as total Cl),2981998.84
2025/12/15,Ireland,2022,Fluorides (as total F),29148.27
2025/12/15,Ireland,2022,Nonylphenol and Nonylphenol ethoxylates,221.7289
2025/12/15,Ireland,2022,Total nitrogen,264130.05
2025/12/15,Ireland,2023,Chlorides (as total Cl),3322885
2025/12/15,Italy,2007,Fluorides (as total F),85750
2025/12/15,Italy,2007,Nonylphenol and Nonylphenol ethoxylates,4359.2
2025/12/15,Italy,2007,Pentachlorophenol (PCP),4.970000000000001
2025/12/15,Italy,2007,Polycyclic aromatic hydrocarbons (PAHs),1085.7
2025/12/15,Italy,2008,Anthracene,21.46
2025/12/15,Italy,2008,Arsenic and compounds (as As),1016.1400000000002
2025/12/15,Italy,2008,Chlorides (as total Cl),80710000
2025/12/15,Italy,2008,Hexachlorobenzene (HCB),1.2
2025/12/15,Italy,2008,Nickel and compounds (as Ni),6105.199999999999
2025/12/15,Italy,2009,"1,2-dichloroethane (DCE-1,2)",515.4
2025/12/15,Italy,2009,Dieldrin,5.2
2025/12/15,Italy,2009,Lead and compounds (as Pb),17850.899999999998
2025/12/15,Italy,2010,Fluorides (as total F),64570
2025/12/15,Italy,2010,Naphthalene,1592
2025/12/15,Italy,2010,Pentachlorophenol (PCP),15.6
2025/12/15,Italy,2010,Polycyclic aromatic hydrocarbons (PAHs),182876.5
2025/12/15,Italy,2010,Trichloroethylene (TRI),63.5
2025/12/15,Italy,2011,Arsenic and compounds (as As),814.33
2025/12/15,Italy,2011,Chlorides (as total Cl),80750000
2025/12/15,Italy,2011,Hexachlorobenzene (HCB),2.7
2025/12/15,Italy,2012,"1,2-dichloroethane (DCE-1,2)",416.1
2025/12/15,Italy,2012,Isodrin,5.4
2025/12/15,Italy,2012,Lead and compounds (as Pb),3871.4
2025/12/15,Italy,2013,Fluorides (as total F),227320
2025/12/15,Italy,2013,Naphthalene,3235
2025/12/15,Italy,2013,Pentachlorophenol (PCP),3.12
2025/12/15,Italy,2014,Chlorides (as total Cl),89870000
2025/12/15,Italy,2016,Naphthalene,933.7
2025/12/15,Italy,2016,Trichloroethylene (TRI),13.7
2025/12/15,Italy,2018,Chromium and compounds (as Cr),220827.0216
2025/12/15,Italy,2018,Triphenyltin and compounds,1.8425
2025/12/15,Italy,2019,Trichloroethylene (TRI),44.1547
2025/12/15,Italy,2020,PCDD + PCDF (dioxins + furans) (as Teq),0.00068
2025/12/15,Italy,2021,Chromium and compounds (as Cr),260562.7808
2025/12/15,Italy,2021,DDT (DDT),1.7795
2025/12/15,Italy,2021,Isodrin,3.8514
2025/12/15,Italy,2021,Mercury and compounds (as Hg),32.9246
2025/12/15,Italy,2022,Alachlor,1.5352
2025/12/15,Italy,2023,Trichloromethane,117.3684
2025/12/15,Netherlands,2007,Phenols (as total C),7055.9
2025/12/15,Netherlands,2007,Total organic carbon(as total C or COD/3) (TOC),10434600
2025/12/15,Netherlands,2008,Cyanides (as total CN),948
2025/12/15,Netherlands,2008,Dichloromethane (DCM),156
2025/12/15,Netherlands,2008,Ethylene oxide,4620
2025/12/15,Netherlands,2008,Zinc and compounds (as Zn),4104
2025/12/15,Netherlands,2009,Halogenated organic compounds (as AOX),5570
2025/12/15,Netherlands,2009,Nickel and compounds (as Ni),468.2
2025/12/15,Netherlands,2009,Tetrachloromethane (TCM),1.6
2025/12/15,Netherlands,2010,Ethyl benzene,1838
2025/12/15,Netherlands,2010,Phenols (as total C),25995
2025/12/15,Netherlands,2010,Total organic carbon(as total C or COD/3) (TOC),19396100
2025/12/15,Netherlands,2011,Cyanides (as total CN),251
2025/12/15,Netherlands,2011,Dichloromethane (DCM),142.7
2025/12/15,Netherlands,2011,Ethylene oxide,7640
2025/12/15,Netherlands,2012,Anthracene,1.6
2025/12/15,Netherlands,2012,Arsenic and compounds (as As),105.06
2025/12/15,Netherlands,2012,Nickel and compounds (as Ni),660.9
2025/12/15,Netherlands,2012,Tetrachloromethane (TCM),1.9
2025/12/15,Netherlands,2013,"1,2-dichloroethane (DCE-1,2)",379
2025/12/15,Netherlands,2013,Ethyl benzene,409
2025/12/15,Netherlands,2013,Total organic carbon(as total C or COD/3) (TOC),26303100
2025/12/15,Netherlands,2014,Cyanides (as total CN),227
2025/12/15,Netherlands,2014,Dichloromethane (DCM),206
2025/12/15,Netherlands,2014,Ethylene oxide,6300
2025/12/15,Netherlands,2015,Arsenic and compounds (as As),112.67
2025/12/15,Netherlands,2015,Nickel and compounds (as Ni),452.4
2025/12/15,Netherlands,2015,Tetrachloromethane (TCM),1.6
2025/12/15,Netherlands,2016,"1,2-dichloroethane (DCE-1,2)",215
2025/12/15,Netherlands,2016,Ethyl benzene,1190
2025/12/15,Netherlands,2016,Lead and compounds (as Pb),41
2025/12/15,Netherlands,2016,Total organic carbon(as total C or COD/3) (TOC),27934700
2025/12/15,Netherlands,2017,Dichloromethane (DCM),274
2025/12/15,Netherlands,2017,Ethylene oxide,7120
2025/12/15,Netherlands,2017,Fluorides (as total F),16700
2025/12/15,Netherlands,2018,Arsenic and compounds (as As),110.10000000000001
2025/12/15,Netherlands,2018,Chlorides (as total Cl),126500000
2025/12/15,Netherlands,2018,Nickel and compounds (as Ni),660.2
2025/12/15,Netherlands,2019,"1,2-dichloroethane (DCE-1,2)",104
2025/12/15,Netherlands,2020,Fluorides (as total F),31910
2025/12/15,Netherlands,2020,Naphthalene,45.1
2025/12/15,Netherlands,2021,Arsenic and compounds (as As),119.38999999999999
2025/12/15,Netherlands,2021,Chlorides (as total Cl),121570000
2025/12/15,Netherlands,2022,"1,2-dichloroethane (DCE-1,2)",12
2025/12/15,Netherlands,2023,Fluorides (as total F),17200
2025/12/15,Netherlands,2023,Naphthalene,67.4
2025/12/15,Netherlands,2024,Chlorides (as total Cl),95180000
2025/12/15,Poland,2007,Copper and compounds (as Cu),38585
2025/12/15,Poland,2008,"1,2-dichloroethane (DCE-1,2)",207
2025/12/15,Poland,2009,Benzene,4650
2025/12/15,Poland,2009,Trichloroethylene (TRI),246
2025/12/15,Poland,2010,Copper and compounds (as Cu),43468
2025/12/15,Poland,2011,Halogenated organic compounds (as AOX),463900
2025/12/15,Poland,2012,Benzene,331
2025/12/15,Poland,2012,Trichloroethylene (TRI),104.5
2025/12/15,Poland,2013,Copper and compounds (as Cu),39221.4
2025/12/15,Poland,2013,Zinc and compounds (as Zn),288149
2025/12/15,Poland,2014,Halogenated organic compounds (as AOX),295900
2025/12/15,Poland,2015,Phenols (as total C),779065.2999999999
2025/12/15,Poland,2015,Trichloroethylene (TRI),198
2025/12/15,Poland,2016,Zinc and compounds (as Zn),88645
2025/12/15,Poland,2017,Chromium and compounds (as Cr),3137.7
2025/12/15,Poland,2017,Halogenated organic compounds (as AOX),410700
2025/12/15,Poland,2018,Phenols (as total C),1183067.2000000002
2025/12/15,Poland,2018,Trichloroethylene (TRI),12.5
2025/12/15,Poland,2019,Cyanides (as total CN),68229
2025/12/15,Poland,2019,Zinc and compounds (as Zn),64006
2025/12/15,Poland,2020,Chromium and compounds (as Cr),2776.2000000000003
2025/12/15,Poland,2020,Halogenated organic compounds (as AOX),387800
2025/12/15,Poland,2021,Phenols (as total C),873794.8
2025/12/15,Poland,2021,Total organic carbon(as total C or COD/3) (TOC),10906796
2025/12/15,Poland,2022,Cyanides (as total CN),64525.9
2025/12/15,Poland,2022,Zinc and compounds (as Zn),83843
2025/12/15,Poland,2023,Chromium and compounds (as Cr),683
2025/12/15,Poland,2023,Nickel and compounds (as Ni),12988.1
2025/12/15,Poland,2024,Ethyl benzene,424
2025/12/15,Poland,2024,Phenols (as total C),606131.7999999999
2025/12/15,Poland,2024,Total organic carbon(as total C or COD/3) (TOC),10722800
2025/12/15,Portugal,2007,Toluene,435
2025/12/15,Portugal,2008,Cyanides (as total CN),586
2025/12/15,Portugal,2009,Total phosphorus,7770
2025/12/15,Portugal,2009,Xylenes,342
2025/12/15,Portugal,2010,Cadmium and compounds (as Cd),151.63
2025/12/15,Portugal,2010,Mercury and compounds (as Hg),7.6000000000000005
2025/12/15,Portugal,2011,Cyanides (as total CN),287.2
2025/12/15,Portugal,2012,Nickel and compounds (as Ni),2598.8000000000006
2025/12/15,Portugal,2012,Trichloromethane,51.8
2025/12/15,Portugal,2012,Xylenes,741
2025/12/15,Portugal,2013,Cadmium and compounds (as Cd),227.66
2025/12/15,Portugal,2013,Tetrachloroethylene,52.4
2025/12/15,Portugal,2014,Cyanides (as total CN),3263
2025/12/15,Portugal,2015,Nickel and compounds (as Ni),1794.9999999999998
2025/12/15,Portugal,2015,Xylenes,1040
2025/12/15,Portugal,2016,Cadmium and compounds (as Cd),190.57
2025/12/15,Portugal,2017,Cyanides (as total CN),17147
2025/12/15,Portugal,2017,Polycyclic aromatic hydrocarbons (PAHs),130
2025/12/15,Portugal,2018,Nickel and compounds (as Ni),1683.6000000000004
2025/12/15,Portugal,2018,Xylenes,348
2025/12/15,Portugal,2019,Cadmium and compounds (as Cd),61.599999999999994
2025/12/15,Portugal,2020,Polycyclic aromatic hydrocarbons (PAHs),794.48
2025/12/15,Portugal,2021,Copper and compounds (as Cu),818.9000000000001
2025/12/15,Portugal,2021,Lindane,742
2025/12/15,Portugal,2021,Nickel and compounds (as Ni),1099.1000000000001
2025/12/15,Portugal,2022,"1,2-dichloroethane (DCE-1,2)",30.6
2025/12/15,Portugal,2023,Naphthalene,208
2025/12/15,Portugal,2023,Polycyclic aromatic hydrocarbons (PAHs),486.20000000000005
2025/12/15,Portugal,2024,Copper and compounds (as Cu),624.8000000000001
2025/12/15,Romania,2007,Zinc and compounds (as Zn),4095
2025/12/15,Romania,2008,Chromium and compounds (as Cr),98.5
2025/12/15,Romania,2009,Phenols (as total C),152.2
2025/12/15,Romania,2010,Zinc and compounds (as Zn),1024
2025/12/15,Romania,2012,Phenols (as total C),140
2025/12/15,Romania,2012,Total organic carbon(as total C or COD/3) (TOC),428000
2025/12/15,Romania,2015,Phenols (as total C),73.2
2025/12/15,Romania,2015,Total organic carbon(as total C or COD/3) (TOC),404000
2025/12/15,Romania,2018,Total organic carbon(as total C or COD/3) (TOC),3316000
2025/12/15,Romania,2021,Lead and compounds (as Pb),180.1
2025/12/15,Romania,2022,Total nitrogen,151000
2025/12/15,Romania,2024,Lead and compounds (as Pb),121.1
2025/12/15,Serbia,2010,Zinc and compounds (as Zn),214
2025/12/15,Slovakia,2007,Toluene,844
2025/12/15,Slovakia,2012,Nickel and compounds (as Ni),22.8
2025/12/15,Slovakia,2020,Fluorides (as total F),4740
2025/12/15,Slovenia,2008,Total phosphorus,41760
2025/12/15,Slovenia,2023,Copper and compounds (as Cu),0.203
2025/12/15,Spain,2007,"Chloro-alkanes, C10-C13",22.299999999999997
2025/12/15,Spain,2008,Total nitrogen,2320500
2025/12/15,Spain,2009,Cadmium and compounds (as Cd),246.40000000000003
2025/12/15,Spain,2010,"Chloro-alkanes, C10-C13",3.8899999999999997
2025/12/15,Spain,2010,Polycyclic aromatic hydrocarbons (PAHs),281.22
2025/12/15,Spain,2011,Total nitrogen,2701800
2025/12/15,Spain,2012,"1,2-dichloroethane (DCE-1,2)",24.799999999999997
2025/12/15,Spain,2012,Cadmium and compounds (as Cd),63.870000000000005
2025/12/15,Spain,2013,"Chloro-alkanes, C10-C13",44.03
2025/12/15,Spain,2013,Polycyclic aromatic hydrocarbons (PAHs),1535.11
2025/12/15,Spain,2014,Total nitrogen,2522100
2025/12/15,Spain,2015,Di-(2-ethyl hexyl) phthalate (DEHP),2.77
2025/12/15,Spain,2016,Polycyclic aromatic hydrocarbons (PAHs),1571.5200000000002
2025/12/15,Spain,2017,Copper and compounds (as Cu),1223.8
2025/12/15,Spain,2018,Di-(2-ethyl hexyl) phthalate (DEHP),241.38
2025/12/15,Spain,2018,Polychlorinated biphenyls (PCBs),0.89
2025/12/15,Spain,2020,Copper and compounds (as Cu),921
2025/12/15,Spain,2021,Di-(2-ethyl hexyl) phthalate (DEHP),4.25
2025/12/15,Spain,2021,Halogenated organic compounds (as AOX),16510
2025/12/15,Spain,2023,Copper and compounds (as Cu),1311.3
2025/12/15,Spain,2023,Zinc and compounds (as Zn),85997
2025/12/15,Spain,2024,Halogenated organic compounds (as AOX),42960
2025/12/15,Sweden,2009,Total phosphorus,148870
2025/12/15,Sweden,2010,Toluene,845
2025/12/15,Sweden,2012,Total phosphorus,109600
2025/12/15,Switzerland,2007,Nickel and compounds (as Ni),296
2025/12/15,Switzerland,2008,"1,2-dichloroethane (DCE-1,2)",2900
2025/12/15,Switzerland,2008,Total organic carbon(as total C or COD/3) (TOC),10450700
2025/12/15,Switzerland,2009,Dichloromethane (DCM),2401.3
2025/12/15,Switzerland,2009,Nonylphenol and Nonylphenol ethoxylates,70
2025/12/15,Switzerland,2010,Nickel and compounds (as Ni),270.5
2025/12/15,Switzerland,2011,"1,2-dichloroethane (DCE-1,2)",150
2025/12/15,Switzerland,2011,Ethyl benzene,206
2025/12/15,Switzerland,2011,Lead and compounds (as Pb),91
2025/12/15,Switzerland,2011,Total organic carbon(as total C or COD/3) (TOC),10191100
2025/12/15,Switzerland,2012,Dichloromethane (DCM),2250
2025/12/15,Switzerland,2012,Diuron,65
2025/12/15,Switzerland,2012,Fluorides (as total F),64020
2025/12/15,Switzerland,2012,Nonylphenol and Nonylphenol ethoxylates,47
2025/12/15,Switzerland,2013,Chlorides (as total Cl),31790000
2025/12/15,Switzerland,2013,Nickel and compounds (as Ni),185.6
2025/12/15,Switzerland,2014,"1,2-dichloroethane (DCE-1,2)",17
