PublicationDate,countryName,reportingYear,wasteTreatment,wasteClassification,wasteTransfers
2025/12/15,Slovakia,2009,Recovery,NONHW,1475284.7999999998
2025/12/15,Czechia,2022,Disposal,NONHW,1077797.31046
2025/12/15,Czechia,2013,Disposal,NONHW,1155807.618
2025/12/15,Portugal,2015,Disposal,HW,131073.70999999996
2025/12/15,Finland,2011,Recovery,NONHW,5968913.8
2025/12/15,Serbia,2019,Recovery,HW,24234
2025/12/15,Spain,2017,Disposal,HW,977265.6998299999
2025/12/15,Cyprus,2021,Disposal,HW,1948.31
2025/12/15,Slovenia,2011,Recovery,HW,28769.31300000001
2025/12/15,United Kingdom,2014,Recovery,NONHW,71929461.08000001
2025/12/15,United Kingdom,2017,Disposal,NONHW,38477559.74999999
2025/12/15,Serbia,2019,Recovery,NONHW,829141
2025/12/15,Serbia,2020,Recovery,HW,21743
2025/12/15,Cyprus,2015,Recovery,HW,9292.77
2025/12/15,United Kingdom,2017,Recovery,HW,2525008.6064
2025/12/15,Romania,2015,Recovery,NONHW,3736712.764
2025/12/15,Croatia,2020,Disposal,HW,18474.962
2025/12/15,Belgium,2012,Disposal,NONHW,2412574.65
2025/12/15,Finland,2023,Disposal,NONHW,1386261.008
2025/12/15,Austria,2015,Recovery,HW,291235.225
2025/12/15,Finland,2012,Disposal,NONHW,2554913.84
2025/12/15,France,2012,Disposal,HW,2406771.7649
2025/12/15,Italy,2010,Disposal,HW,4188872.403000001
2025/12/15,Estonia,2017,Recovery,NONHW,630403
2025/12/15,Portugal,2015,Recovery,NONHW,2393485.305
2025/12/15,Finland,2013,Recovery,NONHW,6152160.35
2025/12/15,Slovenia,2015,Disposal,HW,55050.676999999996
2025/12/15,Latvia,2009,Recovery,NONHW,82838.2
2025/12/15,Romania,2009,Recovery,NONHW,3966454.3
2025/12/15,Slovakia,2012,Disposal,NONHW,271814.15599999996
2025/12/15,Cyprus,2019,Disposal,NONHW,1221.6000000000001
2025/12/15,Lithuania,2012,Recovery,HW,15125.702000000001
2025/12/15,Finland,2021,Recovery,HW,267226.77799999993
2025/12/15,Romania,2016,Recovery,NONHW,3523090.0220000003
2025/12/15,Estonia,2011,Disposal,HW,768628.415
2025/12/15,Lithuania,2018,Disposal,HW,1448.6709999999998
2025/12/15,Slovakia,2017,Recovery,NONHW,915822.7790000001
2025/12/15,Hungary,2015,Disposal,HW,169906.62
2025/12/15,Serbia,2016,Disposal,HW,30178
2025/12/15,France,2012,Recovery,NONHW,20726302.980000004
2025/12/15,Iceland,2011,Disposal,HW,13622
2025/12/15,Hungary,2008,Disposal,HW,152752.75
2025/12/15,Poland,2007,Recovery,HW,2650689.943999999
2025/12/15,Denmark,2009,Disposal,NONHW,566056.2
2025/12/15,Greece,2021,Disposal,NONHW,247921.78999999998
2025/12/15,Croatia,2021,Recovery,HW,16193.256000000001
2025/12/15,Hungary,2022,Recovery,HW,92729.45300000001
2025/12/15,Bulgaria,2011,Recovery,HW,41010.35
2025/12/15,Lithuania,2014,Recovery,NONHW,79830
2025/12/15,Sweden,2008,Disposal,HW,225896.187
2025/12/15,Estonia,2022,Disposal,NONHW,86655.36
2025/12/15,United Kingdom,2011,Recovery,NONHW,64689882.659
2025/12/15,Portugal,2011,Disposal,NONHW,475765.49600000004
2025/12/15,Greece,2009,Disposal,NONHW,1511434
2025/12/15,Bulgaria,2008,Recovery,NONHW,4197560
2025/12/15,Czechia,2007,Recovery,NONHW,2073592.6660000002
2025/12/15,Netherlands,2024,Recovery,NONHW,41796618.769999996
2025/12/15,France,2021,Recovery,NONHW,18722730.259901
