area_fips,own_code,industry_code,agglvl_code,year,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,avg_annual_pay
01081,5,10,71,2015,,2789,40004,1259778678,31492
01081,5,51,74,2015,,43,474,17725187,37388
01081,5,5415,76,2015,,38,441,24403729,55285
01083,5,10,71,2015,,1313,16224,650807745,40115
01083,5,51,74,2015,,13,198,8230903,41535
01083,5,5415,76,2015,,26,108,12211928,112899
01085,5,10,71,2015,,121,1792,83243355,46448
01085,5,51,74,2015,N,1,0,0,0
01087,5,10,71,2015,,188,2077,61305381,29515
01087,5,51,74,2015,,3,7,224016,32002
01087,5,5415,76,2015,N,1,0,0,0
01089,5,10,71,2015,,8828,145903,7555390742,51784
01089,5,51,74,2015,,114,2324,126669216,54499
01089,5,5415,76,2015,,390,9466,916832470,96855
01091,5,10,71,2015,,444,5351,211836762,39585
01091,5,51,74,2015,,6,31,1591591,51480
01093,5,10,71,2015,,551,8103,260884122,32196
01093,5,51,74,2015,,9,35,1737227,49992
01093,5,5415,76,2015,N,3,0,0,0
01095,5,10,71,2015,,1861,28850,945221822,32763
01095,5,51,74,2015,,23,385,18076932,46984
01095,5,5415,76,2015,,8,9,549174,61019
01097,5,10,71,2015,,9347,142782,6347888133,44458
01097,5,51,74,2015,,100,1862,103673722,55689
01097,5,5415,76,2015,,97,2645,178711931,67557
01099,5,10,71,2015,,383,4691,196126944,41812
01099,5,51,74,2015,,5,52,2215288,42739
01101,5,10,71,2015,,5886,94479,3906828822,41351
01101,5,51,74,2015,,92,1904,94981923,49899
01101,5,5415,76,2015,,147,1599,131737870,82409
01103,5,10,71,2015,,2570,39767,1688275518,42454
01103,5,51,74,2015,,19,258,13161799,51064
01103,5,5415,76,2015,,28,197,14523339,73660
01105,5,10,71,2015,,124,1566,45594816,29125
01105,5,51,74,2015,N,1,0,0,0
01105,5,5415,76,2015,N,1,0,0,0
01107,5,10,71,2015,,279,2556,81252928,31793
01107,5,51,74,2015,,8,34,1261980,37578
01109,5,10,71,2015,,648,10669,402294058,37705
01109,5,51,74,2015,,7,160,7463360,46719
01109,5,5415,76,2015,N,4,0,0,0
01111,5,10,71,2015,,332,3685,111365221,30223
01111,5,51,74,2015,,8,35,1506335,43244
01111,5,5415,76,2015,N,2,0,0,0
01113,5,10,71,2015,,805,10607,378893764,35721
01113,5,51,74,2015,N,4,0,0,0
01113,5,5415,76,2015,N,1,0,0,0
01115,5,10,71,2015,,1325,15835,548815654,34658
01115,5,51,74,2015,,19,129,7406141,57227
01115,5,5415,76,2015,,11,16,556858,34623
01117,5,10,71,2015,,5318,75078,3802970261,50654
01117,5,51,74,2015,,90,1079,75614966,70073
01117,5,5415,76,2015,,155,2147,170193207,79267
01119,5,10,71,2015,,196,1889,64370394,34084
01119,5,51,74,2015,N,2,0,0,0
01119,5,5415,76,2015,N,1,0,0,0
01121,5,10,71,2015,,1203,24612,1126561520,45773
01121,5,51,74,2015,,14,168,8177687,48773
01121,5,5415,76,2015,N,5,0,0,0
01123,5,10,71,2015,,733,11360,356556497,31388
01123,5,51,74,2015,,10,98,4315666,43925
01123,5,5415,76,2015,,9,16,265365,16164
01125,5,10,71,2015,,4224,69708,2826441641,40547
01125,5,51,74,2015,,48,777,39027246,50260
01125,5,5415,76,2015,,46,229,16541276,72285
01127,5,10,71,2015,,1258,15154,537666235,35481
01127,5,51,74,2015,,10,95,4247616,44909
01127,5,5415,76,2015,,6,12,905798,73443
01129,5,10,71,2015,,194,2580,169704730,65790
01129,5,51,74,2015,N,1,0,0,0
01129,5,5415,76,2015,N,1,0,0,0
01131,5,10,71,2015,,187,1956,85528930,43732
01131,5,51,74,2015,N,3,0,0,0
01133,5,10,71,2015,,418,6105,195385640,32004
01133,5,51,74,2015,N,6,0,0,0
01133,5,5415,76,2015,N,1,0,0,0
01999,5,10,71,2015,,11311,47257,3120593034,66035
01999,5,51,74,2015,,357,978,79592043,81403
01999,5,5415,76,2015,,909,2313,220518552,95349
02000,5,10,51,2015,,20102,255274,13791354609,54026
02000,5,51,54,2015,,376,6309,406993152,64508
02000,5,5415,56,2015,,278,1216,88826095,73058
02013,5,10,71,2015,,62,2048,90343792,44113
02013,5,51,74,2015,,3,15,246979,16557
02016,5,10,71,2015,,134,3231,175005866,54159
02016,5,51,74,2015,,4,25,1096936,44024
02020,5,10,71,2015,,8180,126191,6977696383,55295
02020,5,51,74,2015,,152,4050,288119096,71135
02020,5,5415,76,2015,,148,845,56655900,67081
02050,5,10,71,2015,,218,3997,170328644,42614
02050,5,51,74,2015,,4,88,4485826,50831
02060,5,10,71,2015,,82,802,44078236,54943
02060,5,51,74,2015,N,2,0,0,0
02068,5,10,71,2015,,110,1753,77547121,44237
02068,5,51,74,2015,,3,4,70978,16380
02070,5,10,71,2015,,94,1819,80517489,44269
02070,5,51,74,2015,N,2,0,0,0
02090,5,10,71,2015,,2177,26949,1291795219,47935
02090,5,51,74,2015,,26,483,26998199,55849
02090,5,5415,76,2015,,34,104,7307148,70544
02100,5,10,71,2015,,141,799,27521183,34463
02100,5,51,74,2015,,5,19,371903,19835
02105,5,10,71,2015,,95,401,12308734,30701
02105,5,51,74,2015,N,1,0,0,0
02105,5,5415,76,2015,N,1,0,0,0
02110,5,10,71,2015,,1056,10966,483468525,44089
02110,5,51,74,2015,,21,288,13852699,48141
02110,5,5415,76,2015,,12,53,3308900,63027
02122,5,10,71,2015,,1829,15315,721775462,47130
02122,5,51,74,2015,,26,236,11375321,48116
02122,5,5415,76,2015,N,9,0,0,0
02130,5,10,71,2015,,572,5328,221099104,41500
02130,5,51,74,2015,,10,86,3592656,41654
02130,5,5415,76,2015,,7,33,1614149,49413
02150,5,10,71,2015,,439,5051,224906617,44523
02150,5,51,74,2015,,9,52,1968927,37803
02158,5,10,71,2015,,30,409,12348559,30186
02164,5,10,71,2015,,66,386,16923730,43797
02164,5,51,74,2015,N,1,0,0,0
02170,5,10,71,2015,,1963,17537,708906821,40424
02170,5,51,74,2015,,27,442,27700842,62636
02170,5,5415,76,2015,,24,95,13735527,144205
02180,5,10,71,2015,,199,2233,114789550,51410
02180,5,51,74,2015,N,4,0,0,0
02185,5,10,71,2015,,181,13945,1493373577,107092
02185,5,51,74,2015,,4,50,4288749,85918
02188,5,10,71,2015,,97,1745,140590839,80552
02188,5,51,74,2015,,4,56,3037112,54477
02188,5,5415,76,2015,N,1,0,0,0
02195,5,10,71,2015,,144,823,30589232,37168
02195,5,51,74,2015,,5,37,897178,24524
02198,5,10,71,2015,,166,1045,37440878,35831
02198,5,51,74,2015,,7,26,1364054,53318
02198,5,5415,76,2015,N,1,0,0,0
02220,5,10,71,2015,,350,3319,131529219,39630
02220,5,51,74,2015,,7,42,1642808,39506
02220,5,5415,76,2015,N,2,0,0,0
02230,5,10,71,2015,,116,726,27697530,38177
02230,5,51,74,2015,N,1,0,0,0
02240,5,10,71,2015,,195,1725,118540354,68709
02240,5,51,74,2015,N,5,0,0,0
02240,5,5415,76,2015,N,2,0,0,0
02261,5,10,71,2015,,468,3497,193439803,55312
02261,5,51,74,2015,,14,101,6849706,67987
02261,5,5415,76,2015,N,2,0,0,0
02270,5,10,71,2015,,29,327,9511936,29051
02275,5,10,71,2015,,78,546,18293134,33489
02275,5,51,74,2015,,3,13,688282,55063
02282,5,10,71,2015,,31,156,4882788,31401
02282,5,51,74,2015,N,1,0,0,0
02290,5,10,71,2015,,125,679,32587342,47964
02290,5,51,74,2015,,5,18,394605,21821
02999,5,10,71,2015,,679,1526,101516942,66521
02999,5,51,74,2015,,22,37,1782713,47858
02999,5,5415,76,2015,,36,44,3268266,73998
04000,5,10,51,2015,,145953,2224536,105647038206,47492
04000,5,51,54,2015,,2347,44800,2948887718,65823
04000,5,5415,56,2015,,4077,31445,2690317367,85557
04001,5,10,71,2015,,445,7175,259050501,36103
04001,5,51,74,2015,,15,139,9820086,70861
04001,5,5415,76,2015,,21,34,3119292,91744
04003,5,10,71,2015,,1996,23181,832054756,35893
04003,5,51,74,2015,,35,456,18269134,40042
04003,5,5415,76,2015,,59,776,64349183,82960
04005,5,10,71,2015,,3149,45070,1663607132,36912
04005,5,51,74,2015,,34,453,16984286,37500
04005,5,5415,76,2015,,27,54,3228885,59794
04007,5,10,71,2015,,871,9565,396177964,41418
04007,5,51,74,2015,,14,123,3228149,26174
04007,5,5415,76,2015,,7,10,556880,53460
04009,5,10,71,2015,,451,5800,218940570,37747
04009,5,51,74,2015,,5,68,1244223,18342
04009,5,5415,76,2015,N,2,0,0,0
04011,5,10,71,2015,,88,4000,286030392,71512
04012,5,10,71,2015,,297,3174,92649079,29190
04012,5,51,74,2015,,6,45,2174270,48769
04013,5,10,71,2015,,92712,1613960,81071212742,50231
04013,5,51,74,2015,,1510,34785,2355058378,67704
04013,5,5415,76,2015,,2850,24975,2132767876,85396
04015,5,10,71,2015,,3454,39288,1357372456,34550
04015,5,51,74,2015,,38,674,24979801,37067
04015,5,5415,76,2015,,24,149,9018944,60598
04017,5,10,71,2015,,1492,17271,623749418,36116
04017,5,51,74,2015,,23,1047,89103546,85083
04017,5,5415,76,2015,,10,7,480176,72026
04019,5,10,71,2015,,18384,285383,11893638306,41676
04019,5,51,74,2015,,240,4472,280873872,62806
04019,5,5415,76,2015,,293,3542,313558285,88530
04021,5,10,71,2015,,2803,38219,1376937518,36028
04021,5,51,74,2015,,43,631,19895159,31534
04021,5,5415,76,2015,,41,51,4702440,92659
04023,5,10,71,2015,,1102,9917,340572929,34343
04023,5,51,74,2015,,10,81,2826295,34857
04023,5,5415,76,2015,,5,8,587425,71203
04025,5,10,71,2015,,5142,49200,1722343474,35007
04025,5,51,74,2015,,59,550,20943776,38051
04025,5,5415,76,2015,,44,103,8123723,78999
04027,5,10,71,2015,,2937,50576,1648747861,32600
04027,5,51,74,2015,,34,495,19007502,38399
04027,5,5415,76,2015,,23,355,27790546,78246
04999,5,10,71,2015,,10633,22757,1863953108,81905
04999,5,51,74,2015,,282,781,84479241,108122
04999,5,5415,76,2015,N,672,0,0,0
05000,5,10,51,2015,,83673,978732,39756863610,40621
05000,5,51,54,2015,,1054,13313,715402879,53737
05000,5,5415,56,2015,,1563,9864,741348775,75158
05001,5,10,71,2015,,709,9009,344837764,38279
05001,5,51,74,2015,,11,83,3143212,37681
05001,5,5415,76,2015,N,2,0,0,0
05003,5,10,71,2015,,513,5824,246290067,42289
05003,5,51,74,2015,,6,36,1017200,28453
05005,5,10,71,2015,,1170,13017,417456326,32071
05005,5,51,74,2015,,19,195,8276025,42514
05005,5,5415,76,2015,,5,48,2131625,44027
05007,5,10,71,2015,,5754,100159,5623282199,56143
05007,5,51,74,2015,,68,917,47072900,51324
05007,5,5415,76,2015,,121,1599,117992007,73799
05009,5,10,71,2015,,926,10682,373136876,34933
05009,5,51,74,2015,,14,271,12458383,45986
05009,5,5415,76,2015,,13,21,1156370,55506
05011,5,10,71,2015,,340,2847,92565123,32508
05011,5,51,74,2015,,3,10,179149,18533
05011,5,5415,76,2015,N,1,0,0,0
05013,5,10,71,2015,,85,2387,127047741,53229
05013,5,51,74,2015,N,2,0,0,0
05013,5,5415,76,2015,N,2,0,0,0
05015,5,10,71,2015,,742,9298,249026997,26783
05015,5,51,74,2015,,10,62,2286253,37024
05015,5,5415,76,2015,,5,6,767108,137392
05017,5,10,71,2015,,466,2333,69847383,29936
05017,5,51,74,2015,,4,5,72199,14685
05019,5,10,71,2015,,568,6906,223413397,32350
05019,5,51,74,2015,,5,17,661616,40098
05019,5,5415,76,2015,N,1,0,0,0
05021,5,10,71,2015,,358,2623,76003889,28981
05021,5,51,74,2015,,5,43,1308123,30304
05023,5,10,71,2015,,638,5693,174719926,30688
05023,5,51,74,2015,,7,47,1350219,28576
05023,5,5415,76,2015,N,1,0,0,0
05025,5,10,71,2015,,107,633,19106345,30188
05025,5,51,74,2015,N,2,0,0,0
05025,5,5415,76,2015,N,1,0,0,0
05027,5,10,71,2015,,697,6590,253541237,38474
05027,5,51,74,2015,,8,58,2049040,35584
05027,5,5415,76,2015,N,1,0,0,0
05029,5,10,71,2015,,531,5580,202212419,36240
05029,5,51,74,2015,,3,15,205407,13770
05031,5,10,71,2015,,2664,40119,1451224568,36173
05031,5,51,74,2015,,21,430,18591173,43210
05031,5,5415,76,2015,,20,169,11207623,66317
05033,5,10,71,2015,,1189,16937,566925084,33474
05033,5,51,74,2015,,9,100,3890508,38840
05033,5,5415,76,2015,N,3,0,0,0
05035,5,10,71,2015,,1246,14468,487165864,33671
05035,5,51,74,2015,,5,52,1952252,37304
05035,5,5415,76,2015,N,2,0,0,0
05037,5,10,71,2015,,464,3949,122388562,30993
05037,5,51,74,2015,,5,41,1251661,30905
05037,5,5415,76,2015,,3,23,799156,34746
05039,5,10,71,2015,,230,2382,72831758,30582
05039,5,51,74,2015,,4,19,608636,31481
05041,5,10,71,2015,,508,3567,119411176,33479
05041,5,51,74,2015,,3,11,378062,36006
05041,5,5415,76,2015,N,1,0,0,0
05043,5,10,71,2015,,482,4533,140267210,30946
05043,5,51,74,2015,,6,47,1591201,33676
05045,5,10,71,2015,,2771,33691,1290369781,38300
05045,5,51,74,2015,,19,234,10378756,44306
05045,5,5415,76,2015,,33,1893,156373673,82606
05047,5,10,71,2015,,322,3499,122865027,35118
05047,5,51,74,2015,,5,21,737991,36000
05047,5,5415,76,2015,N,1,0,0,0
05049,5,10,71,2015,,174,1219,31233631,25629
05049,5,51,74,2015,,5,31,783427,25477
05049,5,5415,76,2015,N,2,0,0,0
05051,5,10,71,2015,,3033,31639,1048743232,33147
05051,5,51,74,2015,,32,496,17266637,34794
05051,5,5415,76,2015,,21,157,10550107,67270
05053,5,10,71,2015,,318,3110,110397458,35502
05053,5,51,74,2015,N,3,0,0,0
05053,5,5415,76,2015,N,5,0,0,0
05055,5,10,71,2015,,846,13403,475789766,35498
05055,5,51,74,2015,,10,98,2485011,25422
05055,5,5415,76,2015,N,3,0,0,0
05057,5,10,71,2015,,459,6064,195944609,32312
05057,5,51,74,2015,,7,44,1342616,30514
05057,5,5415,76,2015,N,1,0,0,0
05059,5,10,71,2015,,582,6610,222806886,33707
05059,5,51,74,2015,,6,49,1718901,35199
05059,5,5415,76,2015,N,2,0,0,0
05061,5,10,71,2015,,322,6178,184595878,29880
05061,5,51,74,2015,,4,27,561265,21113
05061,5,5415,76,2015,N,1,0,0,0
05063,5,10,71,2015,,841,12711,452383736,35591
05063,5,51,74,2015,,9,111,3501506,31664
05063,5,5415,76,2015,,3,27,1502347,55301
05065,5,10,71,2015,,229,2183,64547966,29563
05065,5,51,74,2015,,4,6,295846,50002
05067,5,10,71,2015,,414,3902,141634988,36298
05067,5,51,74,2015,,4,57,1233719,21581
05069,5,10,71,2015,,2064,20710,759690275,36682
05069,5,51,74,2015,,10,94,3611329,38452
05069,5,5415,76,2015,,5,5,191015,36384
05071,5,10,71,2015,,479,7278,218907693,30078
05071,5,51,74,2015,,5,41,1006865,24409
05071,5,5415,76,2015,N,4,0,0,0
05073,5,10,71,2015,,151,865,29377976,33963
05073,5,51,74,2015,N,1,0,0,0
05075,5,10,71,2015,,372,2877,88593962,30789
05075,5,51,74,2015,N,1,0,0,0
05075,5,5415,76,2015,N,2,0,0,0
05077,5,10,71,2015,,269,1243,41572176,33436
05077,5,51,74,2015,N,1,0,0,0
