spec,coef,p_naive_z,n
bare,-0.04546314930339324,0.1797375366806544,257
+GDP growth only,-0.12258763723764142,0.0011958908726141804,257
+energy-shock exposure only,-0.048607960077364634,0.16078010330518033,257
+accession cohort only,-0.037453611783017704,0.3400395087687622,257
+all three,-0.07358072256311146,0.022913225578671925,257
