dropped_country,n,coef,p_naive_z_region_clustered
ES,62,0.1949683330342421,0.0028416012556380377
SI,93,0.09949673055560715,0.05911821314422694
HR,89,0.10191194752541421,0.06276584577392397
RO,89,0.09995827111837988,0.07764295407842736
AT,85,0.10128882465410213,0.09369642643071785
DK,87,0.09074646166298282,0.10868691374305994
BG,91,0.0658006411442417,0.19389991515964033
HU,83,0.06094068078652646,0.22792448060225867
