event_time,coef,se,p_naive_z,G
-5,0.0513726442288063,0.023664570678270085,0.029941199778680483,19
-4,-0.012808435901600204,0.040109836190633644,0.7494732251627589,19
-3,-0.019362739265580513,0.036361163093747116,0.5943717454599482,19
-2,0.02453527293824962,0.030826619923913483,0.4260832571664177,19
0,0.009597310893753918,0.02880846659654738,0.7390270782198765,19
1,-0.034459477935105766,0.035620561938796695,0.33334205744622514,19
2,0.009372604375570836,0.039036238302070675,0.8102526635293161,19
3,0.035192286349739865,0.022697346824693636,0.12102102413859539,19
