y,target,n,G,G_eff_leverage,G_eff_score,top_cluster,top_cluster_score_share,mde_80,coef,se,t,p_naive_z,p_t_Gm1,ci_lo,ci_hi,sd_within_x,p_wild,n_wild_draws,p_webb,tag,sample,xs
g_ind,x_dig,183,19,6.776425208009682,3.9734865179544903,HU,0.36879147063036893,0.2175534965263475,-0.040805766862286166,0.0739343643144051,-0.5519188166514839,0.5810039758490486,0.5877916557400571,-0.19613610238163032,0.114524568657058,1.098515141902132,0.5988598859885989,9999,0.6001600160016002,A1 FE: dig only,NUTS2,x_dig
g_ind,x_dig,183,19,7.528079579876191,5.459726183566618,DE,0.2957578700604605,0.2526951361876595,-0.01799084424939965,0.08587705809230228,-0.20949534892150998,0.8340615658585397,0.8364143465395644,-0.19841184834657752,0.16243015984777823,1.098515141902132,0.8401840184018402,9999,0.8331833183318332,A2 FE: dig + controls,NUTS2,x_dig+ln_gvapc04+ind_share04
g_ind,x_dig,183,19,9.475346904235929,5.614178172488793,FR,0.29214518474820433,0.33996251424204893,-0.0517959156323908,0.1155343985848958,-0.44831596707824345,0.6539251787648861,0.6592748563224973,-0.2945246800253914,0.19093284876060979,1.098515141902132,0.6718671867186718,9999,0.6660666066606661,A3 FE: dig + nondig + controls  [CLAIM],NUTS2,x_dig+x_nondig+ln_gvapc04+ind_share04
g_ind,x_nondig,183,19,10.87815997354446,2.071141990681394,FR,0.6741732480280023,0.6610394720248811,0.11053717097129208,0.224650644238074,0.49204030260491965,0.6226908526955048,0.6286379320702038,-0.36143631886282596,0.5825106608054101,0.8647342700119409,0.7013701370137013,9999,0.696969696969697,"A3b FE: same, target = NON-digital",NUTS2,x_dig+x_nondig+ln_gvapc04+ind_share04
g_ind,x_total,183,19,7.859171228824498,2.603739908223545,FR,0.5514915612801462,0.48698680227323693,0.04948249268108381,0.1654997976611061,0.29898823672527447,0.7649490209964676,0.7683735408213044,-0.29821967988056625,0.3971846652427338,0.8723487444835163,0.7722772277227723,9999,0.7802780278027803,A4 FE: total patents + controls,NUTS2,x_total+ln_gvapc04+ind_share04
g_ind,x_tilt,183,19,12.09947824274793,2.431243914790324,FR,0.6161369591954924,0.4627833377413282,-0.08116654330184203,0.15727438279558953,-0.5160824150703213,0.6057968492296775,0.6120784797957946,-0.41158776048240203,0.24925467387871797,0.8384166306700541,0.6535653565356536,9999,0.6587658765876587,A5 FE: tilt (dig-nondig) + sum + controls,NUTS2,x_tilt+x_sum+ln_gvapc04+ind_share04
g_ind,x_dig,183,19,10.280196784787922,1.948763045055662,FI,0.7086954565766094,0.4951775783292159,-0.21815668934710344,0.1682833880451251,-1.2963649703118933,0.19484977457889063,0.2112246788812817,-0.571706968297542,0.1353935896033351,0.33141116321484104,0.4099409940994099,9999,0.42034203420342037,Aw2 FE equal-country-weight: dig + controls,NUTS2,x_dig+ln_gvapc04+ind_share04
g_ind,x_dig,183,19,10.954687799009621,2.203555022395124,FI,0.6624783229149082,0.520506756164542,-0.2670216085148352,0.17689137041158898,-1.5095230925823693,0.13116515851122568,0.14851920892979198,-0.638656587340984,0.10461337031131357,0.33141116321484104,0.2852285228522852,9999,0.26792679267926794,Aw3 FE equal-country-weight: dig + nondig + controls,NUTS2,x_dig+x_nondig+ln_gvapc04+ind_share04
g_ind,x_total,183,19,10.559415874429732,2.9135744500648806,FI,0.48197588401940944,0.665369259620462,-0.027599097742285812,0.2261220988393881,-0.12205396059891134,0.902856283303918,0.9042086182626461,-0.5026639989795189,0.4474658034949472,0.2566250369114933,0.8943894389438944,9999,0.9005900590059006,Aw4 FE equal-country-weight: total patents + controls,NUTS2,x_total+ln_gvapc04+ind_share04
g_ind_real,x_dig,183,19,9.345749658283626,5.397504258119527,EL,0.34352458385253704,0.3724939580194424,0.31812944438639557,0.12659003158696114,2.5130686863590537,0.011968602979094412,0.021709720189495352,0.052173656950539715,0.5840852318222514,2.008499257728341,0.0735073507350735,9999,0.0739073907390739,B1 pooled: dig + controls,NUTS2,x_dig+ln_gvapc04+ind_share04
g_ind_real,x_dig,183,19,11.439448206083535,7.2779828325912534,FR,0.22553308755763815,0.30238867893756227,0.1727886374657399,0.1027651364381257,1.681393548966628,0.09268649774147053,0.10995493225835551,-0.043112902645495776,0.3886901775769756,2.008499257728341,0.15921592159215922,9999,0.15781578157815782,B2 pooled: dig + nondig + controls,NUTS2,x_dig+x_nondig+ln_gvapc04+ind_share04
g_ind_real,x_dig,183,19,11.853135791846805,7.763131283297423,PL,0.23877921812647118,0.22639533669725165,0.10480773258087195,0.07693921527218411,1.3622147328913967,0.17313012760688218,0.18993442749265865,-0.05683556054330954,0.2664510257050534,2.008499257728341,0.20252025202520252,9999,0.21312131213121313,B3 pooled: + accession dummy,NUTS2,x_dig+x_nondig+acc+ln_gvapc04+ind_share04
g_ind,x_dig,142,12,7.520177167851837,4.825964522127896,IT,0.2766668980845824,0.43265868168795174,-0.011044531324432488,0.14220100964237944,-0.07766844519745901,0.9380917953420773,0.9394865711950451,-0.3240268432973577,0.3019377806484927,1.1449006788977871,0.94091796875,4096,0.9408940894089409,C EU15 only: dig + nondig + controls,NUTS2,x_dig+x_nondig+ln_gvapc04+ind_share04
g_ind,x_dig,41,7,2.5142367820441867,2.2504063547956066,PL,0.5189991628929652,0.9810810234324421,-0.3008518519166329,0.29833586371016235,-1.0084334084919635,0.31324644126685586,0.3521698410589835,-1.0308534124506021,0.4291497086173365,0.9199595092373418,0.640625,128,0.6238623862386239,C ACC only: dig + nondig + controls,NUTS2,x_dig+x_nondig+ln_gvapc04+ind_share04
g_ind,x_dig_acc,183,19,4.125721605736498,3.4748349522334823,HU,0.37742848866562945,0.8210599670138109,-0.27453246571856205,0.27903273307225707,-0.983871901679257,0.3251785007465382,0.3382193810909131,-0.8607584845787614,0.31169355314163727,0.43544679299601824,0.48954895489548955,9999,0.48004800480048004,C interaction: dig x ACC (own-group slopes for dig & nondig),NUTS2,x_dig+x_dig_acc+x_nondig+x_nondig_acc+ln_gvapc04+ind_share04
g_ind,xd,183,19,9.655051357307412,5.737361768718495,FR,0.25071536688905893,0.3408497596308273,-0.047360830136788275,0.11583592407107557,-0.40886133137530134,0.6826414279149469,0.6874649263753825,-0.29072307606939835,0.1960014157958218,1.1161593713380862,0.7015701570157016,9999,0.6994699469946994,D depreciation d10,NUTS2,xd+xn+ln_gvapc04+ind_share04
g_ind,xd,183,19,9.316642516519238,5.378127967341904,FR,0.3246428626318711,0.34159175200511926,-0.05315032291674354,0.11608808611579256,-0.45784476852972256,0.6470639696995135,0.6525425837161358,-0.29704234164681176,0.1907416958133247,1.0857678480086972,0.6691669166916692,9999,0.6603660366036603,D depreciation d20,NUTS2,xd+xn+ln_gvapc04+ind_share04
g_ind,xd,183,19,9.949667651853385,4.955227059778951,DE,0.2805427700205385,0.34911120923340944,-0.02343622108948783,0.1186435324728483,-0.19753475474823068,0.8434090868426536,0.8456226326422864,-0.2726970333937481,0.22582459121477247,1.177319832139474,0.8556855685568557,9999,0.8472847284728473,D depreciation cum,NUTS2,xd+xn+ln_gvapc04+ind_share04
g_ind,xd,183,19,9.501142787579889,6.2032244901097915,IT,0.25552774493218217,0.28630341438717,-0.06821133346472566,0.09729864737520107,-0.7010511996296361,0.48327106360246974,0.49223542154560174,-0.27262820622092643,0.1362055392914751,1.157765191946633,0.5158515851585158,9999,0.5107510751075107,D normalised per emp,NUTS2,xd+xn+ln_gvapc04+ind_share04
g_ind,xd,183,19,7.045344011851254,4.430734871550889,FR,0.35603469410695804,0.5831954385473855,0.008136887697577356,0.19819577579089695,0.04105479879733683,0.9672522095321077,0.9677041697314659,-0.40825698594418924,0.424530761339344,0.6783555319483423,0.9691969196919692,9999,0.9645964596459646,D normalised per gva,NUTS2,xd+xn+ln_gvapc04+ind_share04
g_ind,xd,183,19,8.888435936655563,4.976344945940149,FR,0.33193799443311106,0.3918052864487003,-0.04235287395170568,0.13315288079086243,-0.31807703821464844,0.7504265006842374,0.7540871627116745,-0.3220966959268161,0.23739094802340477,1.0024345785136566,0.7620762076207621,9999,0.7551755175517552,D log1p instead of asinh,NUTS2,xd+xn+ln_gvapc04+ind_share04
g_ind,x_digb,183,19,9.412280671789999,4.877417295624356,DE,0.2893010841400876,0.455632488413184,-0.14229494145494706,0.15484420581463532,-0.9189555444217846,0.35811882531438455,0.37026990367337076,-0.4676105462545339,0.18302066334463982,1.0786952146814923,0.42474247424742473,9999,0.42514251425142513,"D broad digital (+H01,G05,G08,G09) vs matching non-digital",NUTS2,x_digb+x_nondigb+ln_gvapc04+ind_share04
g_ind,x_dig,183,19,8.594013059150392,6.399533759252419,DE,0.21573816580433733,0.3075965569532244,-0.045032135932296456,0.10453500525964708,-0.4307852266371856,0.6666245424554109,0.6717388829335846,-0.2646520324590019,0.17458776059440895,1.098515141902132,0.6823682368236824,9999,0.6845684568456846,"D comparison field = mech/chem (B,C,F sections) instead of non-digital",NUTS2,x_dig+x_mechchem+ln_gvapc04+ind_share04
g_ind,x_dig,183,19,8.805910823438822,5.528555792345107,FR,0.2821711310699055,0.365045827807582,0.06259028320439373,0.12405882532580081,0.5045210047735047,0.6138953055394902,0.6200155393847271,-0.19804763720899426,0.32322820361778176,1.098515141902132,0.6411641164116412,9999,0.643964396439644,D + ln population control,NUTS2,x_dig+x_nondig+ln_pop04+ln_gvapc04+ind_share04
g_ind_smooth,x_dig,183,19,9.475346904235929,6.303637612952258,FR,0.23175805202098002,0.31627947527863337,-0.03339581772755195,0.10748584749860537,-0.3106996735359533,0.7560289454615348,0.7595980099767798,-0.25921520375135904,0.19242356829625515,1.098515141902132,0.7732773277327732,9999,0.7591759175917592,D outcome: 3-yr endpoint averages,NUTS2,x_dig+x_nondig+ln_gvapc04+ind_share04
g_man,x_dig,183,19,9.475346904235929,3.458023801918994,FR,0.46159949643793363,0.42373457150686944,-0.0889500194791025,0.14400387345005544,-0.6176918533372149,0.5367784831465201,0.5445147996789901,-0.3914909310904052,0.21359089213220026,1.098515141902132,0.5760576057605761,9999,0.5642564256425643,D outcome: manufacturing (C) growth,NUTS2,x_dig+x_nondig+ln_gvapc04+ind_share04
g_tot,x_dig,183,19,9.475346904235929,4.542108624055081,DE,0.39008489453272055,0.1765769399353526,0.017950879981223657,0.060008705974174514,0.29913792823576363,0.7648348079123619,0.7682611686220553,-0.10812273300626363,0.14402449296871095,1.098515141902132,0.7750775077507751,9999,0.7798779877987799,D outcome: TOTAL-economy GVA growth (specificity check),NUTS2,x_dig+x_nondig+ln_gvapc04+ind_share04
g_ind_0512,x_dig,183,19,9.475346904235929,4.749012927000232,FI,0.36799905188702775,0.5022033898544611,-0.22960343415595694,0.17067107161356143,-1.3452978995516705,0.17852905161391108,0.19523356800325442,-0.5881700501404448,0.12896318182853087,1.098515141902132,0.1995199519951995,9999,0.20442044204420443,D outcome: growth 2005-2012 only,NUTS2,x_dig+x_nondig+ln_gvapc04+ind_share04
g_ind_1219,x_dig,183,19,9.475346904235929,3.8551112522218847,FR,0.4100766605842511,0.3961987899591974,0.12601160289117538,0.13464598889690646,0.9358734257405759,0.34933836095927084,0.3617255652764153,-0.1568691228123855,0.40889232859473623,1.098515141902132,0.43114311431143115,9999,0.41264126412641267,D outcome: growth 2012-2019 only,NUTS2,x_dig+x_nondig+ln_gvapc04+ind_share04
g_ind,x_dig,995,25,3.4204707669547383,4.1770290132885775,DE,0.346824035267655,0.11073989251174358,0.019622917698835105,0.03811390374590074,0.5148493271552014,0.6066583128881944,0.6113676947897968,-0.05904031342035841,0.09828614881802862,1.3681304899729834,0.6160616061606161,9999,0.6262626262626263,A1 FE: dig only,NUTS3,x_dig
g_ind,x_dig,995,25,3.3296119438724805,4.278846477620054,FR,0.36060993305651956,0.08764627490065702,0.06751420707560633,0.030165657645876302,2.23811487447666,0.025213564906719332,0.03475626880319549,0.005255349649718813,0.12977306450149384,1.3681304899729834,0.13671367136713672,9999,0.11961196119611961,A2 FE: dig + controls,NUTS3,x_dig+ln_gvapc04+ind_share04
g_ind,x_dig,995,25,5.104521132566174,1.9621207162204044,IT,0.6898535906365201,0.198176240065581,-0.02494625520673184,0.06820730964483349,-0.36574166810904923,0.7145578504488557,0.7177618272899475,-0.16571922347522094,0.11582671306175728,1.3681304899729834,0.8357835783578358,9999,0.8307830783078308,A3 FE: dig + nondig + controls  [CLAIM],NUTS3,x_dig+x_nondig+ln_gvapc04+ind_share04
g_ind,x_nondig,995,25,8.591979001195984,2.3353721516821864,IT,0.600887521969575,0.5133605094110083,0.26469292035861297,0.17668585907795437,1.498099065425658,0.13410751388732822,0.14714598731579875,-0.09996877005238891,0.6293546107696149,1.0228000888012039,0.1692169216921692,9999,0.17001700170017,"A3b FE: same, target = NON-digital",NUTS3,x_dig+x_nondig+ln_gvapc04+ind_share04
g_ind,x_total,995,25,5.53093824250378,2.964631940694463,IT,0.44860273697482556,0.36460837218791997,0.23607160125193513,0.1254890905826574,1.8812121448632146,0.05994306630392643,0.0721290310945224,-0.022925152301620316,0.4950683548054906,1.0283524466356142,0.011001100110011002,9999,0.015101510151015102,A4 FE: total patents + controls,NUTS3,x_total+ln_gvapc04+ind_share04
g_ind,x_tilt,995,25,8.94149981592069,2.102706235246497,IT,0.660451466374019,0.3461019541984683,-0.14481958778267484,0.11911964396380172,-1.2157489979291984,0.22408055276201155,0.23590425749515176,-0.39067044962120756,0.1010312740558579,1.1310814277915586,0.38123812381238126,9999,0.36223622362236224,A5 FE: tilt (dig-nondig) + sum + controls,NUTS3,x_tilt+x_sum+ln_gvapc04+ind_share04
g_ind,x_dig,995,25,14.568969923307785,2.9823668160290713,FI,0.5044030303057412,0.28011466625493314,0.004676342727919325,0.09640846839654871,0.04850551829829434,0.9613133666542966,0.9617147705249316,-0.1943009565244784,0.20365364198031707,0.17743483309568617,0.9686968696869687,9999,0.9674967496749675,Aw2 FE equal-country-weight: dig + controls,NUTS3,x_dig+ln_gvapc04+ind_share04
g_ind,x_dig,995,25,15.261355429610143,3.526389415004799,FI,0.4914435767945432,0.2633960830681858,-0.08852568033632884,0.09065434984094374,-0.9765188376691275,0.328807417454293,0.3385484614640677,-0.2756270625783764,0.0985757019057187,0.17743483309568617,0.4138413841384138,9999,0.41394139413941394,Aw3 FE equal-country-weight: dig + nondig + controls,NUTS3,x_dig+x_nondig+ln_gvapc04+ind_share04
g_ind,x_total,995,25,13.803647809355384,4.339307456275652,HR,0.38841409344705724,0.48431732126834787,0.32983421097694465,0.16668991947356965,1.9787291998136887,0.047846503539072494,0.05943225956743303,-0.014196874062446962,0.6738652960163363,0.15986121469242934,0.0779077907790779,9999,0.07640764076407641,Aw4 FE equal-country-weight: total patents + controls,NUTS3,x_total+ln_gvapc04+ind_share04
g_ind_real,x_dig,995,25,4.487529899449405,2.411885133552367,EL,0.6270059891941959,0.2797379803484263,0.32677865243978943,0.09627882252045651,3.3940865071377275,0.000688579376344256,0.0023921043178691814,0.12806892912457937,0.5254883757549995,2.1337534742403688,0.050805080508050805,9999,0.05510551055105511,B1 pooled: dig + controls,NUTS3,x_dig+ln_gvapc04+ind_share04
g_ind_real,x_dig,995,25,5.860147879173372,5.329382672335368,IT,0.3098890215025836,0.18080075984129107,0.08967719675089691,0.06222710354397278,1.4411276058755735,0.14954863582667666,0.16246961776751467,-0.038753232747786664,0.2181076262495805,2.1337534742403688,0.16691669166916692,9999,0.1646164616461646,B2 pooled: dig + nondig + controls,NUTS3,x_dig+x_nondig+ln_gvapc04+ind_share04
g_ind_real,x_dig,995,25,6.197972733522029,6.855354566620422,IT,0.2788708710840064,0.1757865207671948,0.029441975240670715,0.06050132775446881,0.48663353902172907,0.6265180512788096,0.6309325474554015,-0.09542662808836314,0.15431057856970457,2.1337534742403688,0.5957595759575958,9999,0.5948594859485948,B3 pooled: + accession dummy,NUTS3,x_dig+x_nondig+acc+ln_gvapc04+ind_share04
g_ind,x_dig,812,13,4.360761996029464,1.8789635599333696,IT,0.7092121069412486,0.2924654811488441,-0.031220890243222627,0.09682963807999259,-0.32243113639886295,0.7471260992390318,0.7526743444977937,-0.2421945479839449,0.17975276749749963,1.4737451606017624,0.8983898389838983,9999,0.8846884688468847,C EU15 only: dig + nondig + controls,NUTS3,x_dig+x_nondig+ln_gvapc04+ind_share04
g_ind,x_dig,183,12,4.816712609530868,3.299655442533621,HU,0.45366470270344095,0.29002546319703904,-0.09687002579362429,0.09532205277314369,-1.0162394008043931,0.30951539797961036,0.3313467808755972,-0.3066724493767856,0.11293239778953702,0.7348439338687247,0.291015625,4096,0.28802880288028804,C ACC only: dig + nondig + controls,NUTS3,x_dig+x_nondig+ln_gvapc04+ind_share04
