NUTS_ID,year,co2_region_t,log_emissions,d_log_emissions,dii_regional_composite,n_components,CNTR_CODE
AT11,2023,,,,-0.8238926716902858,3.0,AT
AT12,2007,8533000000.0,22.86720683650086,,,,AT
AT12,2008,8312000000.0,22.840966090743336,-0.026240745757522888,,,AT
AT12,2009,7242000000.0,22.70316324828986,-0.13780284245347474,,,AT
AT12,2010,8216000000.0,22.829349309572667,0.12618606128280518,,,AT
AT12,2011,8494000000.0,22.86262586883749,0.033276559264823646,,,AT
AT12,2012,7713000000.0,22.766173053898275,-0.09645281493921587,,,AT
AT12,2013,7561000000.0,22.746269293522545,-0.019903760375729718,,,AT
AT12,2014,6588000000.0,22.608515649261804,-0.13775364426074077,,,AT
AT12,2015,6966000000.0,22.66430700889022,0.055791359628415194,,,AT
AT12,2016,6494000000.0,22.594144510627064,-0.07016249826315502,,,AT
AT12,2017,6522000000.0,22.598446914313538,0.00430240368647361,,,AT
AT12,2018,6632000000.0,22.615172254779406,0.016725340465868044,,,AT
AT12,2019,6332000000.0,22.568881978965177,-0.046290275814229176,,,AT
AT12,2020,5677000000.0,22.459688761135002,-0.10919321783017466,,,AT
AT12,2021,5744000000.0,22.471421668692333,0.011732907557330918,,,AT
AT12,2022,5000000000.0,22.33270374938051,-0.13871791931182287,,,AT
AT12,2023,4981000000.0,22.32889651103756,-0.003807238342950825,-0.21694294675588496,4.0,AT
AT12,2024,4421000000.0,22.209631751790518,-0.1192647592470415,0.3595299120143741,2.0,AT
AT12,2025,,,,0.5209851039062248,4.0,AT
AT13,2007,2542000000.0,21.656217009713675,,,,AT
AT13,2008,3106000000.0,21.856601561672907,0.20038455195923177,,,AT
AT13,2009,3596000000.0,22.003087953555784,0.1464863918828776,,,AT
AT13,2010,3943000000.0,22.0952076918419,0.0921197382861152,,,AT
AT13,2011,3519000000.0,21.98144269528586,-0.11376499655603922,,,AT
AT13,2012,2795000000.0,21.751097943553475,-0.23034475173238533,,,AT
AT13,2013,2614000000.0,21.68414745214844,-0.06695049140503428,,,AT
AT13,2014,2383000000.0,21.591626035063015,-0.09252141708542538,,,AT
AT13,2015,2852000000.0,21.77128633949846,0.17966030443544412,,,AT
AT13,2016,3070000000.0,21.844943398545517,0.07365705904705777,,,AT
AT13,2017,3219000000.0,21.89233658926308,0.04739319071756398,,,AT
AT13,2018,3183000000.0,21.881089985246366,-0.011246604016715622,,,AT
AT13,2019,3588000000.0,22.00086078114296,0.11977079589659567,,,AT
AT13,2020,3509000000.0,21.97859693354749,-0.02226384759547173,,,AT
AT13,2021,3433000000.0,21.956700351421965,-0.02189658212552459,,,AT
AT13,2022,3427000000.0,21.95495107983888,-0.001749271583083356,,,AT
AT13,2023,2891000000.0,21.78486829998062,-0.17008277985826226,0.6076310163564944,3.0,AT
AT13,2024,2580000000.0,21.671055235879937,-0.11381306410068248,,,AT
AT13,2025,,,,0.6317720185635052,3.0,AT
AT21,2007,1511000000.0,21.136037520237014,,,,AT
AT21,2008,1366000000.0,21.03515259809501,-0.10088492214200429,,,AT
AT21,2009,1390000000.0,21.05256958408901,0.0174169859940001,,,AT
AT21,2010,1443000000.0,21.089990116738146,0.03742053264913636,,,AT
AT21,2011,962000000.0,20.68452500862998,-0.40546510810816727,,,AT
AT21,2012,1493000000.0,21.124053355503463,0.43952834687348386,,,AT
AT21,2013,1136000000.0,20.85077915724537,-0.2732741982580933,,,AT
AT21,2014,1128000000.0,20.84371199002228,-0.0070671672230915306,,,AT
AT21,2015,1608000000.0,21.198257007703187,0.35454501768090907,,,AT
AT21,2016,741000000.0,20.42351118326036,-0.774745824442828,,,AT
AT21,2017,843000000.0,20.552477515966128,0.12896633270576885,,,AT
AT21,2018,1752000000.0,21.28402382946061,0.7315463134944835,,,AT
AT21,2019,1668000000.0,21.234891140882965,-0.04913268857764663,,,AT
AT21,2020,1551000000.0,21.162165721140813,-0.0727254197421523,,,AT
AT21,2021,1571000000.0,21.174978196219897,0.012812475079083896,,,AT
AT21,2022,1654000000.0,21.226462433547912,0.051484237328015325,,,AT
AT21,2023,1339000000.0,21.015188903655446,-0.21127352989246617,-0.44167102654795215,3.0,AT
AT21,2024,1555000000.0,21.16474138257761,0.14955247892216406,1.260282448666006,1.0,AT
AT21,2025,,,,-0.14488121625167433,2.0,AT
AT22,2007,5897000000.0,22.497709583964777,,,,AT
AT22,2008,6987000000.0,22.667317116516724,0.1696075325519466,,,AT
AT22,2009,5268000000.0,22.384916620827447,-0.28240049568927716,,,AT
AT22,2010,5464000000.0,22.4214469592149,0.03653033838745401,,,AT
AT22,2011,5834000000.0,22.48696870839194,0.06552174917704079,,,AT
AT22,2012,6748000000.0,22.632512001630133,0.14554329323819104,,,AT
AT22,2013,6499000000.0,22.59491415585862,-0.03759784577151137,,,AT
AT22,2014,6048000000.0,22.522993475823643,-0.07192068003497809,,,AT
AT22,2015,6307000000.0,22.564925964627925,0.041932488804281576,,,AT
AT22,2016,6407000000.0,22.580656979603297,0.01573101497537266,,,AT
AT22,2017,6323000000.0,22.567459616022887,-0.013197363580410126,,,AT
AT22,2018,5733000000.0,22.469504790872655,-0.09795482515023224,,,AT
AT22,2019,6788000000.0,22.63842218431839,0.1689173934457351,,,AT
AT22,2020,5778000000.0,22.477323438990453,-0.1610987453279371,,,AT
AT22,2021,6429000000.0,22.584084842105963,0.10676140311550952,,,AT
AT22,2022,6262000000.0,22.557765459850625,-0.026319382255337587,,,AT
AT22,2023,5770000000.0,22.47593791746642,-0.08182754238420387,-0.1528138555106362,4.0,AT
AT22,2024,5894000000.0,22.497200721261915,0.02126280379549428,0.47621898854510514,2.0,AT
AT22,2025,,,,0.2854716048038105,4.0,AT
AT31,2007,13981000000.0,23.3609651019521,,,,AT
AT31,2008,14467000000.0,23.395136030593864,0.034170928641763965,,,AT
AT31,2009,11985000000.0,23.20692170483276,-0.18821432576110553,,,AT
AT31,2010,14113000000.0,23.37036219537828,0.163440490545522,,,AT
AT31,2011,14065000000.0,23.36695527888823,-0.0034069164900500937,,,AT
AT31,2012,13681000000.0,23.33927384588439,-0.02768143300384196,,,AT
AT31,2013,13269000000.0,23.308696324500712,-0.030577521383676753,,,AT
AT31,2014,13249000000.0,23.307187914832397,-0.0015084096683146697,,,AT
AT31,2015,13500000000.0,23.325955522390796,0.01876760755839868,,,AT
AT31,2016,13615000000.0,23.334437963072133,0.008482440681337522,,,AT
AT31,2017,4462000000.0,22.218862932956753,-1.1155750301153802,,,AT
AT31,2018,12583000000.0,23.255612533556242,1.0367496005994887,,,AT
AT31,2019,13973000000.0,23.360392733044723,0.10478019948848072,,,AT
AT31,2020,13451000000.0,23.322319289672855,-0.03807344337186791,,,AT
AT31,2021,14626000000.0,23.40606660379517,0.0837473141223164,,,AT
AT31,2022,13944000000.0,23.35831514516413,-0.04775145863104058,,,AT
AT31,2023,13237000000.0,23.306281775678045,-0.052033369486085945,0.08883861811240909,4.0,AT
AT31,2024,13124000000.0,23.297708452045267,-0.00857332363277763,1.0313068924655833,2.0,AT
AT31,2025,,,,0.8957546138694046,4.0,AT
AT32,2007,1558000000.0,21.166668784394968,,,,AT
AT32,2008,1454000000.0,21.09758421605774,-0.06908456833722809,,,AT
AT32,2009,1232000000.0,20.93190470205774,-0.1656795140000007,,,AT
AT32,2010,1383000000.0,21.047520889629034,0.11561618757129466,,,AT
AT32,2011,1181000000.0,20.889627374161638,-0.15789351546739638,,,AT
AT32,2012,1155000000.0,20.86736618092017,-0.022261193241469357,,,AT
AT32,2013,1130000000.0,20.84548346967066,-0.021882711249507025,,,AT
AT32,2014,973000000.0,20.69589464015028,-0.14958882952038266,,,AT
AT32,2015,1007000000.0,20.730241450682836,0.034346810532557726,,,AT
AT32,2016,1082000000.0,20.8020770173707,0.07183556668786295,,,AT
AT32,2017,1117000000.0,20.833912357033476,0.031835339662777073,,,AT
AT32,2018,1136000000.0,20.85077915724537,0.016866800211893462,,,AT
AT32,2019,1102000000.0,20.820392547677134,-0.03038660956823591,,,AT
AT32,2020,1133000000.0,20.848134818992282,0.02774227131514806,,,AT
AT32,2021,954000000.0,20.67617422941256,-0.17196058957972227,,,AT
AT32,2022,1082000000.0,20.8020770173707,0.12590278795813958,,,AT
AT32,2023,1047000000.0,20.76919476883481,-0.032882248535887726,0.23840128157764123,2.0,AT
AT32,2024,1009000000.0,20.732225578317884,-0.0369691905169276,2.100156712983974,1.0,AT
AT32,2025,,,,-1.37610135742267,1.0,AT
AT33,2007,416000000.0,19.84619581822554,,,,AT
AT33,2008,401000000.0,19.809471985270843,-0.03672383295469572,,,AT
