spec,n,coef,se,p_asymptotic_z,r2
bare,48,0.1936615785635212,0.13480742835592316,0.15083753194765923,0.05237866310216999
levels,48,0.35800644569084156,0.10962248132206923,0.0010915058077383831,0.14566397596621117
changes,48,0.20046618216948625,0.1607600883159751,0.2124012563384673,0.0790663824358836
lagged,48,0.34045462524161224,0.12665508264946007,0.007187160216264419,0.14335391010134801
