instrument,ACC2004+,EU15,all,pass_gate
Z_DOCSISxFTTP,1.0948674893594452,0.36345339500588775,1.382267432935846,False
Z_DOCSISxG100,1.0078872719807943,0.2844230474165884,1.154882856850208,False
Z_DOCSISzxFTTP,1.0948674893594452,4.223880978169109,5.4620154393571205,False
Z_DOCSISzxG100,1.0078872719807943,4.047091642464511,4.912667469106221,False
Z_DSLxFTTP,0.021080779855097997,4.249942030146435,0.6155061919599866,False
Z_DSLxG100,0.01209387049644249,3.48541027853702,0.5760381809023487,False
Z_G100xFTTP,0.8309172858951718,0.46498730842158104,1.24371720858862,False
Z_G100xG100,0.7354351976053668,0.30316116832245127,0.8604090195137176,False
Z_NGAxFTTP,0.655995164810864,12.062829796274967,4.851339323951167,False
Z_NGAxG100,0.8465126572561759,11.69492027680049,4.434053745978216,False
Z_VDSLxFTTP,2.193391733754951,0.06701066265778968,0.001257759436721159,False
Z_VDSLxG100,1.8161147464984646,0.09719312434532801,0.0039329351246695675,False
Z_lag2_G100,0.0012091089295528212,0.22267350413051817,0.17500582678500518,False
Z_ruralgap_NGA,2.0380667489267745,5.034382147696344,6.188784112239524,False
