baseline,n,corr_gdp13,R2_on_gdp13,R2_on_gdp13_eu15,mean_EU15,mean_ACC
b_NGA,28,0.3875362541085782,0.15018434824850857,0.30805661093692105,66.42666666666666,63.97692307692308
b_DOCSIS,26,0.35312106271762955,0.12469448493482793,0.12479652762664373,54.176923076923075,41.96153846153846
b_VDSL,25,0.45207977007309097,0.20437611850933846,0.3629101703744595,37.59285714285714,31.663636363636364
b_G100,28,0.4042607129066819,0.16342672399981895,0.3069563576641705,46.76,42.33846153846154
