country_code,year,verified_emissions_t,log_emissions,d_log_emissions,digital_multi,digital_single,genai_share,climate_target_share,energy_efficiency_invest_share,energy_efficiency_firms_share,gdp_per_capita,industry_va_share,electricity_price,log_gdp_per_capita
AT,2023,24413340.0,17.010640262177258,-0.08676812996979422,0.56,0.26,,0.48,0.13,0.63,45670,22.4,0.22135,10.729196906179045
AT,2024,23923093.0,16.99035478470747,-0.020285477469787594,0.6,0.23,,0.47,0.11,0.62,45140,21.0,0.17425000000000002,10.717524050371527
AT,2025,25580873.0,17.057355481757792,0.06700069705032163,0.6,0.27,0.45,0.47,0.1,0.56,45390,20.8,0.16035,10.72304709545051
BE,2023,35402662.0,17.382297573016906,-0.11513232355478209,0.58,0.19,,0.47,0.09,0.63,44190,16.0,0.1688,10.696253798124786
BE,2024,35849295.0,17.394834459544573,0.012536886527666269,0.71,0.2,,0.48,0.08,0.59,44410,15.3,0.12685,10.701219948286148
BE,2025,36120855.0,17.40238095732925,0.007546497784677086,0.6,0.18,0.5,0.62,0.19,0.65,44650,15.1,0.1383,10.706609586304646
BG,2023,21639927.0,16.89005063855424,-0.4498734911192841,0.24,0.33,,0.23,0.15,0.36,10950,21.5,0.14200000000000002,9.301094735244646
BG,2024,18999979.0,16.759948431866945,-0.1301022066872939,0.26,0.31,,0.2,0.14,0.4,11330,19.4,0.1296,9.335209354022052
BG,2025,10285251.0,16.14622148524394,-0.6137269466230038,0.35,0.3,0.22,0.25,0.11,0.45,11710,19.2,0.13485000000000003,9.368198456591763
CY,2023,4343281.0,15.284140611242906,0.003450808350796919,0.29,0.27,,0.24,0.07,0.26,29320,7.2,0.2012,10.286025156000587
CY,2024,4346576.0,15.284898966681416,0.0007583554385099944,0.37,0.25,,0.2,0.09,0.45,29950,6.9,0.1789,10.307284603543595
CY,2025,4334042.0,15.282011151848284,-0.002887814833131941,0.32,0.26,0.24,0.2,0.08,0.49,30590,6.8,0.1734,10.328428437144948
CZ,2023,46672102.0,17.65865715655177,-0.20068986966843383,0.59,0.2,,0.33,0.09,0.5,21680,27.1,0.2,9.984145455553582
CZ,2024,40564392.0,17.51840119540858,-0.14025596114318972,0.64,0.26,,0.35,0.07,0.56,21950,26.9,0.17575000000000002,9.996522418503318
CZ,2025,40028299.0,17.505097236935747,-0.013303958472832278,0.48,0.3,0.49,0.34,0.13,0.56,22510,25.5,0.17205,10.021714933900778
DE,2023,289340809.0,19.483115821180334,-0.20141204586039052,0.41,0.33,,0.42,0.13,0.6,43770,24.3,0.18075000000000002,10.68670393018494
DE,2024,272950271.0,19.42480017904738,-0.05831564213295337,0.5,0.26,,0.51,0.11,0.48,43650,23.4,0.1767,10.683958561267747
DE,2025,263564247.0,19.389807717857906,-0.034992461189474966,0.56,0.26,0.39,0.45,0.12,0.5,43750,22.8,0.1623,10.68624689178576
DK,2023,9244100.0,16.039496068145677,-0.19325586861085498,0.53,0.24,,0.42,0.14,0.61,56770,20.4,0.13235,10.946763296164772
DK,2024,8268287.0,15.927937911324547,-0.1115581568211308,0.64,0.23,,0.62,0.12,0.62,58670,22.2,0.11725,10.979683801919906
DK,2025,6842939.0,15.738727875675993,-0.18921003564855354,0.72,0.2,0.58,0.64,0.14,0.61,60390,22.9,0.12310000000000001,11.008578807301946
EE,2023,5260450.0,15.475727132385385,-0.46890283254300513,0.38,0.24,,0.26,0.09,0.41,21580,17.7,0.14235,9.979522238812125
EE,2024,4497104.0,15.318944192014227,-0.15678294037115847,0.4,0.27,,0.41,0.1,0.34,21470,16.7,0.13365,9.974411890872826
