dropped,spec,F,fs_coef,RF_va,RF_t
AT,S1 Phase-D controls,19.792014673302486,0.40043206325321185,0.05160491674240633,2.4053596823702983
AT,S3 +GDPpc2013 x year FE,4.371417196989946,0.19503614756393584,-0.005666236271094059,-0.2577686415711977
BE,S1 Phase-D controls,15.415530628794464,0.4015858958469068,0.061457424875417284,2.8047552400033546
BE,S3 +GDPpc2013 x year FE,3.1193770471649533,0.18406419877988722,0.004025578604095956,0.181950049971833
BG,S1 Phase-D controls,20.61259259618055,0.40427306529964646,0.0517236081826419,2.3915086490146904
BG,S3 +GDPpc2013 x year FE,5.719921476823403,0.22053598454517456,-0.002274152726815662,-0.10317658554923967
CY,S1 Phase-D controls,23.109337384397293,0.41841655578484804,0.04952307307534989,2.2239342710866374
CY,S3 +GDPpc2013 x year FE,5.93098240908579,0.20708817294525195,-0.00439879346065393,-0.2019228074114473
CZ,S1 Phase-D controls,18.857704357735102,0.39891398697954855,0.05114880762309245,2.373116761281961
CZ,S3 +GDPpc2013 x year FE,4.860533324241591,0.2051520298050428,-0.003243892567548904,-0.15086466519147393
DE,S1 Phase-D controls,19.179882493020045,0.41066191300772714,0.05231834477948042,2.394593514441604
DE,S3 +GDPpc2013 x year FE,5.345702081205249,0.21402392962033137,-0.0038752137041226592,-0.17835789196299406
DK,S1 Phase-D controls,18.56783065154604,0.3664945439111415,0.04132650367622642,2.0274476074626415
DK,S3 +GDPpc2013 x year FE,3.8265709021596273,0.17861059112564187,-0.011415024034609745,-0.5849466867941729
EE,S1 Phase-D controls,19.18395019098312,0.39965902991039753,0.05061955349193735,2.336930097771089
EE,S3 +GDPpc2013 x year FE,4.62495988255633,0.19995550885147423,-0.005726790389840715,-0.25986064922356344
EL,S1 Phase-D controls,15.495241311791927,0.34745325846168856,0.052645004861781,2.4233375209332357
EL,S3 +GDPpc2013 x year FE,3.503935366684349,0.18289501499844174,0.0008205173563327825,0.04171427156493988
ES,S1 Phase-D controls,18.095553315716256,0.3956805419542861,0.05129905843028831,2.3567277603972845
ES,S3 +GDPpc2013 x year FE,4.748410042154815,0.20849138041289084,-0.0059599256967255935,-0.26618900445336185
FI,S1 Phase-D controls,19.979290645808753,0.3826013617325597,0.050639388640797894,2.340829231115245
FI,S3 +GDPpc2013 x year FE,4.2717807759441575,0.1817217277838638,-0.0053899045390486495,-0.24990051203291822
FR,S1 Phase-D controls,15.899406974227007,0.3711872242417761,0.048068322551325725,2.1835747105089878
FR,S3 +GDPpc2013 x year FE,2.836134921134219,0.15283236049601207,-0.011547639714359712,-0.503204126941055
HR,S1 Phase-D controls,22.614879550338532,0.43924908740645496,0.044543458091357305,2.0349093903414786
HR,S3 +GDPpc2013 x year FE,7.339986305889834,0.23934848565963412,-0.015562099016505336,-0.7531606516819109
HU,S1 Phase-D controls,21.402634584103758,0.411276054664102,0.05357986678348638,2.4744349542085256
HU,S3 +GDPpc2013 x year FE,4.989775292960543,0.20894258136316718,-0.003924401838945682,-0.17717001245512584
IE,S1 Phase-D controls,21.259830889791058,0.40844961874594893,0.0407205123667366,2.132010496883423
IE,S3 +GDPpc2013 x year FE,4.883082942387883,0.20554956078462366,-0.00838514992403379,-0.40210101247091856
IT,S1 Phase-D controls,12.214995893441385,0.39464451100083137,0.05333250243619493,2.1641286116855283
IT,S3 +GDPpc2013 x year FE,2.1387376167134673,0.16755854740348014,-0.011861774081271143,-0.44108135514183694
LT,S1 Phase-D controls,21.746377471759182,0.42613784041318753,0.055290337329496016,2.5595863513906543
LT,S3 +GDPpc2013 x year FE,7.062392653735122,0.2328039985328665,-0.001409194812170041,-0.06571223567508708
LU,S1 Phase-D controls,24.025925812244633,0.44294517800825234,0.03988258665667001,1.9974291319718618
LU,S3 +GDPpc2013 x year FE,4.775117232391457,0.19185875936845764,-0.0056865567185735355,-0.26285555537879474
LV,S1 Phase-D controls,19.399407986337433,0.39669335191593685,0.050186678991643724,2.3222678136999013
LV,S3 +GDPpc2013 x year FE,4.8056280400558755,0.19960770243815995,-0.006172009809195722,-0.2888981008271273
MT,S1 Phase-D controls,14.016772767592586,0.3885290658580391,0.051282081926421995,1.9913328170098221
MT,S3 +GDPpc2013 x year FE,3.7355349592087137,0.19320832748367597,-0.005003389234364207,-0.20602694331293278
NL,S1 Phase-D controls,13.982016686420597,0.3884878681497207,0.056941331451093605,2.3316522109932425
NL,S3 +GDPpc2013 x year FE,2.826354427498841,0.17266936872941202,-0.002089040344024103,-0.08603472859050544
NO,S1 Phase-D controls,19.73775584447277,0.39855458270033206,0.049181400890448625,2.134591369227465
NO,S3 +GDPpc2013 x year FE,4.99154133205853,0.204213536982538,-0.006731739007329309,-0.3076874578386007
PL,S1 Phase-D controls,18.96615479833308,0.4024192574509962,0.051005478174175355,2.3618622635334265
PL,S3 +GDPpc2013 x year FE,4.977078147092239,0.20346832913235474,-0.0045888755007090585,-0.21229402185692967
PT,S1 Phase-D controls,17.008607323494363,0.3940232736964571,0.05097981446008884,2.361321938275485
PT,S3 +GDPpc2013 x year FE,6.079229059416136,0.235724707858373,-0.01241429541041516,-0.5920107379291971
RO,S1 Phase-D controls,20.48527708904025,0.4011502355123698,0.05150621389236777,2.355694971695835
RO,S3 +GDPpc2013 x year FE,5.544959389214424,0.21743915742796482,0.0010416676180026003,0.04944014249062478
SE,S1 Phase-D controls,19.945400143701704,0.3912299603327131,0.05167874144815944,2.3730322258034917
SE,S3 +GDPpc2013 x year FE,5.027988035643385,0.2010846937123651,-0.005586127656585529,-0.2532601152614618
SI,S1 Phase-D controls,18.587347913092497,0.3964077442974559,0.047791292386995345,2.2321969767758167
SI,S3 +GDPpc2013 x year FE,4.811199883707038,0.20067086808487247,-0.007056832844590113,-0.332130392356122
SK,S1 Phase-D controls,18.138581278621203,0.40160641606134334,0.05405925479203017,2.4013126621494303
SK,S3 +GDPpc2013 x year FE,3.9536416318141177,0.19346948932659855,-0.0029207551138776032,-0.12698022615969407
