,d_log_emissions,digital_multi,digital_any,genai_share,climate_target_share
count,81.0,81.0,81.0,27.0,81.0
mean,-0.10039871173528497,0.45432098765432105,0.717037037037037,0.372962962962963,0.4151851851851852
std,0.1205387863713926,0.1264015256197976,0.1038562040087693,0.1293122284304637,0.1161476550679254
min,-0.6137269466230038,0.23,0.52,0.19,0.2
25%,-0.17140159700627322,0.35,0.62,0.24,0.33
50%,-0.07922505959646386,0.44,0.74,0.38,0.4
75%,-0.019173118699516323,0.56,0.79,0.47,0.49
max,0.08876158994410588,0.72,0.9199999999999999,0.66,0.68
