spec,n,coef,se_hc3,p,loo_min,loo_max
dig only,27,-0.25552181459899603,0.13304429495452486,0.06626124325794813,-0.31962150025337493,-0.19262885355130913
dig + controls,27,-0.5165751774393241,0.26566629196646,0.06417028283723569,-0.6432186430540052,-0.38480959191576347
dig + nondig + controls,27,-0.2700310429222356,0.5696595705061656,0.6401550831816569,-0.42928383948711396,0.14596973729424723
dig + nondig + controls + ACC dummy,27,-0.08676039461919123,0.552435815408438,0.8767051079965691,-0.24371109707524274,0.3685372873410233
