country_name,year,co2_eprtr,country_code,log_co2,d_log_co2
Bulgaria,2010,308000000.0,BG,19.54561034093785,
Bulgaria,2011,745000000.0,BG,20.428894776343835,0.8832844354059866
Bulgaria,2012,843000000.0,BG,20.552477515966128,0.12358273962229305
Bulgaria,2013,702000000.0,BG,20.369443961990086,-0.18303355397604193
Bulgaria,2014,769000000.0,BG,20.46060152746992,0.09115756547983267
Bulgaria,2015,873000000.0,BG,20.587446113803875,0.1268445863339558
Bulgaria,2016,835000000.0,BG,20.54294228281513,-0.04450383098874511
Bulgaria,2017,843000000.0,BG,20.552477515966128,0.009535233150998579
Bulgaria,2018,1495773080.1,BG,21.12590902056832,0.5734315046021905
Bulgaria,2019,1469313452.0,BG,21.10806108918438,-0.017847931383940363
Bulgaria,2020,2003188584.0,BG,21.418006039972024,0.3099449507876457
Bulgaria,2021,2378999863.0,BG,21.58994601068001,0.17193997070798517
Bulgaria,2022,2172522117.0,BG,21.499154595489284,-0.09079141519072564
Bulgaria,2023,2206312110.0,BG,21.514588230090986,0.01543363460170255
Cyprus,2007,1140000000.0,CY,20.854294099352817,
Cyprus,2008,1130000000.0,CY,20.84548346967066,-0.008810629682155735
Cyprus,2009,1040000000.0,CY,20.76248655009969,-0.0829969195709701
Cyprus,2010,789000000.0,CY,20.48627687881015,-0.27620967128954277
Cyprus,2011,819000000.0,CY,20.523594641817343,0.037317763007195026
Cyprus,2012,798000000.0,CY,20.497619155414082,-0.025975486403261527
Cyprus,2013,3990000000.0,CY,22.10705706784818,1.6094379124340996
Cyprus,2014,4430000000.0,CY,22.211665421003456,0.10460835315527461
Cyprus,2015,4340000000.0,CY,22.191140185058725,-0.020525235944731435
Cyprus,2016,4600000000.0,CY,22.24932214044146,0.05818195538273585
Cyprus,2017,4600000000.0,CY,22.24932214044146,0.0
Cyprus,2018,4510000000.0,CY,22.229562990460998,-0.019759149980462354
Cyprus,2019,4400000000.0,CY,22.204870377870627,-0.024692612590371255
Cyprus,2020,4230000000.0,CY,22.165467830004598,-0.039402547866028925
Cyprus,2021,4240000000.0,CY,22.16782910619028,0.0023612761856810494
Cyprus,2022,4270000000.0,CY,22.174879664186946,0.007050557996667095
Cyprus,2023,4249000000.0,CY,22.169949498079085,-0.004930166107861567
Czechia,2010,66261000000.0,CZ,24.916867325765853,
Czechia,2011,66627500000.0,CZ,24.92238324218059,0.005515916414736921
Czechia,2012,63429027800.0,CZ,24.873187445342484,-0.04919579683810582
Czechia,2013,58670713000.0,CZ,24.79520651252893,-0.07798093281355278
Czechia,2014,59107400000.0,CZ,24.80262196502608,0.007415452497149033
Czechia,2015,59724730000.0,CZ,24.8130120094281,0.010390044402019072
Czechia,2016,62985784000.0,CZ,24.86617488708132,0.053162877653221585
Czechia,2017,60535440000.0,CZ,24.826494815602043,-0.03968007147927821
Czechia,2018,63317351593.53588,CZ,24.871425245334912,0.04493042973286876
Czechia,2019,59720380822.5237,CZ,24.812939186397532,-0.05848605893737968
Czechia,2020,48905691138.67694,CZ,24.613159609859267,-0.1997795765382655
Czechia,2021,54317214503.47209,CZ,24.718107039490857,0.10494742963158998
Czechia,2022,53147109973.07336,CZ,24.69632956533734,-0.021777474153516607
Germany,2009,78353061542.9,DE,25.08449088019753,
Germany,2010,76381264099.0,DE,25.059003268737754,-0.02548761145977707
Germany,2011,78914391200.0,DE,25.09162944613787,0.03262617740011464
Germany,2012,102995222000.0,DE,25.35794843575056,0.2663189896126923
Germany,2013,101525777000.0,DE,25.343578563776855,-0.014369871973705983
Germany,2014,95286395000.0,DE,25.28015287770924,-0.0634256860676139
Germany,2015,107068752250.0,DE,25.396737009457578,0.11658413174833626
Germany,2016,108143300000.00311,DE,25.406723036432474,0.009986026974896589
Germany,2017,78905019199.0,DE,25.09151067746439,-0.31521235896808264
Germany,2018,190608458000.0,DE,25.973487202837767,0.8819765253733749
Germany,2019,119789965000.0,DE,25.50900575451163,-0.46448144832613636
Germany,2020,78353260000.0,DE,25.08449341305132,-0.4245123414603107
Germany,2021,78144780000.0,DE,25.081829096957318,-0.0026643160940018618
Germany,2022,76305321171.34,DE,25.058008512927504,-0.023820584029813574
Germany,2023,43942965701.214,DE,24.506158395963286,-0.5518501169642178
Germany,2024,31154307430.01,DE,24.162218352877183,-0.3439400430861035
Denmark,2020,140926000.0,DK,18.76374548787977,
Denmark,2021,267276390.688082,DK,19.403793852060783,0.6400483641810126
Denmark,2022,513875393.221261,DK,20.057491368390025,0.6536975163292418
Denmark,2023,2483540594.0,DK,21.632951037858263,1.5754596694682377
Denmark,2024,6487426840.0,DK,22.59313180830354,0.9601807704452767
Estonia,2007,14400000000.0,EE,23.390494043528367,
Estonia,2008,12577000000.0,EE,23.25513558601143,-0.13535845751693643
Estonia,2009,9514000000.0,EE,22.9760302349565,-0.2791053510549304
Estonia,2010,13684000000.0,EE,23.33949310406177,0.3634628691052697
Estonia,2011,13713000000.0,EE,23.341610124964127,0.002117020902357325
Estonia,2012,12227000000.0,EE,23.226912458108465,-0.11469766685566185
