instrument,sample,spec,n,G,F_cluster,p_F,partial_R2,fs_coef,fs_se,k,cr1_reliable
Z_VDSLxG100,all,S4 country FE + year FE,258,25,4.100969286421627,0.05411966580210259,0.05894374672401814,0.3784010361291538,0.18685686515980862,38,False
Z_VDSLxG100,all,S5 country FE + year FE + GDPpc2013 x year FE,258,25,0.8370538739059133,0.3693419528416886,0.017738544759702934,0.21574604998041072,0.23581213361746456,49,False
Z_VDSLxG100,EU15,S1 Phase-D controls,144,14,0.8255039407594685,0.3801114510063279,0.03926246620470464,0.12999299028088543,0.14307388126011095,14,True
Z_VDSLxG100,EU15,S2 +GDPpc2013 x EU-FTTP shock,144,14,0.08342258266303394,0.7772659935551066,0.004009388604982567,-0.05447752124436394,0.18861469394998248,15,False
Z_VDSLxG100,EU15,S3 +GDPpc2013 x year FE,144,14,0.09719312434532801,0.7601679326806079,0.006287574807484875,-0.05910654056335148,0.1895910229371606,25,False
Z_VDSLxG100,ACC2004+,S1 Phase-D controls,114,11,7.540181000402473,0.020621474318076816,0.26415728019702034,0.19348804411637424,0.07046334387070759,14,False
Z_VDSLxG100,ACC2004+,S2 +GDPpc2013 x EU-FTTP shock,114,11,1.3676560354709504,0.2693343381680471,0.03368970337360844,0.07634856914099582,0.06528485729238419,15,False
Z_VDSLxG100,ACC2004+,S3 +GDPpc2013 x year FE,114,11,1.8161147464984646,0.2075136942089657,0.03794987995995147,0.08240292657983897,0.06114641418394422,25,False
Z_DOCSISxFTTP,all,S1 Phase-D controls,265,26,4.886193358557559,0.03644853782231139,0.059181361375494124,0.2020471256180292,0.09140445255389903,15,True
Z_DOCSISxFTTP,all,S2 +GDPpc2013 x EU-FTTP shock,265,26,1.5068682895225731,0.23105122602074746,0.01984134098788859,0.11045631480521431,0.08998143248367747,16,True
Z_DOCSISxFTTP,all,S3 +GDPpc2013 x year FE,265,26,1.382267432935846,0.2507907229785259,0.019130830324675885,0.106102225134961,0.09024610229168105,26,True
Z_DOCSISxFTTP,all,S4 country FE + year FE,265,26,12.187769498712521,0.0018053393982184751,0.07583574980084218,0.3828806247729908,0.10967339157106468,39,False
