baseline,spec,n,coef_per_100pp,t_HC3,p
b_NGA,bare,28,0.0035706058644521164,0.14111321617035166,0.8877805031337402
b_NGA,+eu15,28,0.006688075246908503,0.3066457745119376,0.7591130080267924
b_NGA,+gdp13,28,0.02225129126618444,0.9704141945431832,0.331840076134144
b_G100,bare,28,0.000672403732348055,0.03327580095577342,0.9734546511103354
b_G100,+eu15,28,0.004073353118089706,0.25302922499182656,0.8002456295814082
b_G100,+gdp13,28,0.015667901607915685,0.9139969984636327,0.36071842287708145
