spec,n,G_clusters,coef,se_cluster,t_stat,p_asymptotic_z,p_t_G_minus_1,p_wild_bootstrap
levels pooled,48,25,0.3580064456908411,0.10962248132205986,3.2658122802297647,0.0010915058077374251,0.0032736075199628623,0.01880376075215043
levels +year FE,48,25,0.3718698432089657,0.1241044319241896,2.9964267789898593,0.0027316383075466355,0.00625863689234496,0.023404680936187236
lagged pooled,48,25,0.3404546252416123,0.12665508264945324,2.688045502160367,0.007187160216261201,0.012853921033840976,0.04120824164832967
lagged +year FE,48,25,0.3400402466041094,0.12453704075743842,2.730434612352866,0.00632508791051789,0.011662086074109457,0.03700740148029606
