FacilityInspireId,facilityName,countryName,Longitude,Latitude,NUTS_ID,CNTR_CODE,pollutant_def
EE.KAUR.TTR/38.FACILITY,"Silpower AS, Silpower Aktsiaselts",Estonia,27.7449635041,59.4036557852,EE00,EE,incl_biomass
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/45026224,BASF Schwarzheide GmbH,Germany,13.88698,51.48034,DE40,DE,incl_biomass
ES.CAED/003462000.FACILITY,"XALLAS ELECTRICIDAD Y ALEACIONES, SAU-DUMBRIA",Spain,-9.08549,42.983626,ES11,ES,incl_biomass
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-570020-500-0055819,Heidelberg Materials AG Zementwerk Ennigerloh,Germany,8.02882,51.85617,DEA3,DE,incl_biomass
NO.EEA/1833.0035.01.FACILITY,Elkem Rana AS,Norway,14.16755,66.31336,NO07,NO,incl_biomass
CZ.MZP.M714/CZ44196175.FACILITY,"Cement Hranice, akciová společnost",Czechia,17.760955555555,49.561166666666,CZ07,CZ,incl_biomass
FR.CAED/6359.FACILITY,INEOS POLYMERS SARRALBE SAS,France,7.03121,49.0053,FRF3,FR,incl_biomass
PL.MŚ/000000124.FACILITY,TAURON Wytwarzanie Spółka Akcyjna - Oddział Elektrownia Siersza w Trzebini,Poland,19.4627780914307,50.2063903808594,PL21,PL,incl_biomass
DK.CAED/000106201.FACILITY,H.C. Ørsted Værket,Denmark,12.557639743126568,55.65735552062659,DK01,DK,incl_biomass
PL.MŚ/000000898.FACILITY,"ZAKŁAD PRODUKCYJNY ""JANIKOSODA"" W JANIKOWIE",Poland,18.1108341217041,52.7644462585449,PL61,PL,incl_biomass
https://registry.gdi-de.org/id/de.by.inspire.pf.ied/S00233,HBB Heizkraftwerk Bauernfeind Betreibergesellschaft mbH,Germany,12.1183570779477,47.79596928009436,DE21,DE,incl_biomass
UK.CAED/EW_EA-1567.FACILITY,Ince Fertiliser Manufacturing Site EPR/JP3837KT,United Kingdom,-2.7971083,53.281007,UKD6,UK,incl_biomass
DK.CAED/000095033.FACILITY,Scanfield ApS (tidligere navn Jordrens Køge ApS),Denmark,12.195936583169768,55.46507822968011,DK02,DK,incl_biomass
https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/pf-450-1383701-00000000,Fernwärme Ulm HKW ,Germany,9.96546,48.39664,DE14,DE,incl_biomass
PL.MŚ/000000268.FACILITY,Veolia Energia Poznań ZEC  Spółka Akcyjna EC II Karolin,Poland,16.9888896942139,52.4361114501953,PL41,PL,incl_biomass
FR.CAED/7420.FACILITY,ZEPHIRE,France,5.93276,43.13648,FRL0,FR,incl_biomass
https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/pf-450-9169156-00000000,MVV Umwelt Asset GmbH - MHKW Mannheim ,Germany,8.45246,49.52137,DE12,DE,incl_biomass
https://registry.gdi-de.org/id/de.sl.inspire.pf/0101003-G,Kraftwerk Weiher ,Germany,7.03091,49.33559,DEC0,DE,incl_biomass
UK.CAED/EW_EA-1563.FACILITY,Keadby Power Station EPR/YP3133LL,United Kingdom,-0.75044205,53.594445,UKE1,UK,incl_biomass
UK.CAED/EW_EA-17008.FACILITY,Eye Power Station EPR/BP3635LA,United Kingdom,1.128652,52.335662,UKH1,UK,incl_biomass
NO.EEA/0000.0004.01.FACILITY,Visund,Norway,2.457112,61.3696442,NO0A,NO,incl_biomass
FR.CAED/11626.FACILITY,VERALLIA FRANCE,France,-0.31449,45.67644,FRI3,FR,incl_biomass
IT.CAED/101562001.FACILITY,Sito Basse di Stura,Italy,7.6942,45.1031,ITC1,IT,incl_biomass
FR.CAED/146.FACILITY,SAICA PAPER FRANCE,France,3.41373,49.36547,FRE2,FR,incl_biomass
PL.MŚ/000000260.FACILITY,PGE Górnictwo i Energetyka Konwencjonalna S.A. - Oddział Elektrownia Opole,Poland,17.8822231292725,50.7516670227051,PL52,PL,incl_biomass
IT.CAED/301761003.FACILITY,Stabilimento di P.to Marghera,Italy,12.2363,45.4438,ITH3,IT,incl_biomass
ES.CAED/006133000.FACILITY,SAICA 3,Spain,-0.678377,41.546601,ES24,ES,incl_biomass
ES.CAED/001529000.FACILITY,"REPSOL PETRÓLEO, S.A. - C.I. CARTAGENA",Spain,-0.982184,37.622214,ES62,ES,incl_biomass
IT.CAED/471222018.FACILITY,HERAMBIENTE - 3^ LINEA,Italy,12.0883,44.2331,ITH5,IT,incl_biomass
ES.CAED/005819000.FACILITY,COGENERACIÓN SIDERÚRGICA ASTURIANA S.A.,Spain,-5.85391,43.549466,ES12,ES,incl_biomass
NL.RIVM/000115181.FACILITY,EP NL Rijnmond 1 B.V.,Netherlands,4.35179,51.89085,NL33,NL,incl_biomass
UK.CAED/EW_EA-10346.FACILITY,Saddlebow Paper Mill,United Kingdom,0.38603075,52.733809,UKH1,UK,incl_biomass
NO.EEA/0805.0028.01.FACILITY,Norcem Brevik,Norway,9.68933,59.06192,NO09,NO,incl_biomass
UK.CAED/EW_EA-676.FACILITY,Trafford Park Wheat Milling Plant,United Kingdom,-2.3288724,53.476834,UKD3,UK,incl_biomass
https://registry.gdi-de.org/id/de.st.lau.pf.anlagen-ied-euregistry/100150,MHKW Müllheizkraftwerk Rothensee GmbH ,Germany,11.68033,52.1852,DEE0,DE,incl_biomass
FR.CAED/8363.FACILITY,ENORIS,France,2.27887,48.71938,FR10,FR,incl_biomass
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001115.ProductionFacility,"Fortum Power and Heat Oy, Suomenojan voimalaitos",Finland,24.7174,60.14913,FI1B,FI,incl_biomass
ES.CAED/008330000.FACILITY,CENTRAL TÉRMICA DE CICLO COMBINADO BAHÍA DE ALGECIRAS,Spain,-5.39,36.18,ES61,ES,incl_biomass
NL.RIVM/000028091.FACILITY,HVC N.V.,Netherlands,4.76268,52.60979,NL32,NL,incl_biomass
CZ.MZP.U424/CZ44746297.FACILITY,Elektrárna Počerady,Czechia,13.67737464,50.42667116,CZ04,CZ,incl_biomass
BG.CAED/003000005.FACILITY,Cement company Devnia cement,Bulgaria,27.594131,43.235107,BG33,BG,incl_biomass
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-754008-700-0128330,Pfleiderer Gütersloh GmbH (Werk 2),Germany,8.40002,51.91545,DEA4,DE,incl_biomass
ES.CAED/003590000.FACILITY,CENTRAL TÉRMICA DE VELILLA,Spain,-4.854434,42.818259,ES41,ES,incl_biomass
https://registry.gdi-de.org/id/de.he.0945.de7.pf.eu_industrie/20000094,HIM GmbH ,Germany,8.49491,49.77909,DE71,DE,incl_biomass
https://registry.gdi-de.org/id/de.rp.inspire.pf.bube-eureg/1000136,Moritz J. Weig GmbH & Co. KG,Germany,7.23433,50.32068,DEB1,DE,incl_biomass
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000027131.ProductionFacility,"Neve Oy, Suosiolan voimalaitos",Finland,25.67594,66.4953,FI1D,FI,incl_biomass
https://data.ied_registry.omgeving.vlaanderen.be/id/productionfacility/BE.VL.000000876.FACILITY,ELECTRABEL - CENTRALE DROGENBOS,Belgium,4.30104,50.80405,BE24,BE,incl_biomass
FR.CAED/11460.FACILITY,EDF PRODUCTION ELECTRIQUE INSULAIRE SAS,France,55.32781,-20.92879,FRY4,FR,incl_biomass
ES.CAED/007775000.FACILITY,UFICSA,Spain,1.686739,41.553074,ES51,ES,incl_biomass
