FacilityInspireId,facilityName,countryName,Longitude,Latitude,NUTS_ID,CNTR_CODE,pollutant_def
https://registry.gdi-de.org/id/de.hb/de.hb.pf.bube-eureg.06-04-11/2005382/5/0,ArcelorMittal Bremen GmbH ,Germany,8.68673,53.12494,DE50,DE,excl_biomass
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-974016-900-0014855,Portlandzementwerk -Wittekind- Hugo Miebach Söhne KG,Germany,8.33468,51.59448,DEA5,DE,excl_biomass
SE.CAED/10019131.Facility,Munksjö Paper AB Billingsfors,Sweden,12.25601,58.9878,SE23,SE,excl_biomass
NO.EEA/1238.0012.01.FACILITY,ELKEM ASA AVD BJØLVEFOSSEN,Norway,6.430421,60.43092,NO0A,NO,excl_biomass
https://registry.gdi-de.org/id/de.by.inspire.pf.ied/S00052,Müllheizkraftwerk Burgkirchen,Germany,12.73468924808328,48.185158456956536,DE21,DE,excl_biomass
NO.EEA/1845.0004.01.FACILITY,Elkem Salten,Norway,15.5893822,67.36347,NO07,NO,excl_biomass
CZ.MZP.T804/CZ80742253.FACILITY,KOTOUČ ŠTRAMBERK,Czechia,18.11595116,49.57982179,CZ08,CZ,excl_biomass
NO.EEA/1833.0007.01.FACILITY,Ferroglobe Mangan Norge AS,Norway,14.1634941,66.31256,NO07,NO,excl_biomass
https://registry.gdi-de.org/id/de.ni.mu/06221720040,Holcim (Deutschland) GmbH Werk Höver,Germany,9.88593,52.34983,DE92,DE,excl_biomass
NO.EEA/1416.0007.01.FACILITY,"Hydro Aluminium, Høyanger",Norway,6.06832,61.21873,NO0A,NO,excl_biomass
SE.CAED/10020475.Facility,Hedenverket,Sweden,13.57206,59.38647,SE31,SE,excl_biomass
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-358008-300-0890760,Schoellershammer GmbH,Germany,6.48949,50.77652,DEA2,DE,excl_biomass
GB.EEA/Scotland-30.FACILITY,Cockenzie Power Station,United Kingdom,-2.96903,55.9684,UKM7,UK,excl_biomass
EE.KAUR.TTR/88.FACILITY,"Horizon Tselluloosi ja Paberi AS, Kehra paberivabrik",Estonia,25.3401582309,59.3405854971,EE00,EE,excl_biomass
https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/pf-450-2951606-00000000,Essity Operations Mannheim GmbH ,Germany,8.45708,49.53548,DE12,DE,excl_biomass
SE.CAED/10023054.Facility,Jämtkraft Lugnviksverket,Sweden,14.65081,63.20689,SE32,SE,excl_biomass
SE.CAED/10014627.Facility,Idbäckens Kraftvärmeverk,Sweden,17.0011,58.74324,SE12,SE,excl_biomass
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001495.ProductionFacility,"Mondi Powerflute Oy, Puunjalostusteollisuus, Mondi Powerflute Oy",Finland,27.71085,62.94477,FI1D,FI,excl_biomass
CZ.MZP.U424/CZ0117068E.FACILITY,Paroplynový zdroj Počerady,Czechia,13.676777778,50.429361111,CZ04,CZ,excl_biomass
SE.CAED/10019773.Facility,Vargön Alloys AB,Sweden,12.3793,58.35852,SE23,SE,excl_biomass
NL.EEA/12147.FACILITY,E.ON Warmte Station Galileistraat,Netherlands,4.42707,51.91036,NL33,NL,excl_biomass
NL.RIVM/000010928.FACILITY,Aluminium & Chemie Rotterdam B.V.,Netherlands,4.32096,51.87343,NL33,NL,excl_biomass
NO.EEA/0605.0024.01.FACILITY,"Norske Skogindustrier ASA, Follum Fabrikker",Norway,10.2392626,60.18416,NO08,NO,excl_biomass
NO.EEA/1576.0023.01.FACILITY,Equinor ASA avd.Tjeldbergodden Metanolfabrikk,Norway,8.68502,63.4124222,NO0A,NO,excl_biomass
SE.CAED/10014660.Facility,SSAB EMEA AB Oxelösund,Sweden,17.12562,58.67695,SE12,SE,excl_biomass
SE.CAED/10018676.Facility,Södra Cell Värö,Sweden,12.17193,57.22166,SE23,SE,excl_biomass
SE.CAED/10022056.Facility,Karskärsverket,Sweden,17.27094,60.68225,SE31,SE,excl_biomass
NO.EEA/0105.0014.01.FACILITY,"Borregaard AS, avd. spesialcellulose",Norway,11.1162872,59.2729225,NO08,NO,excl_biomass
https://registry.gdi-de.org/id/de.sn.sax4inspire.pf/70019073,Thermische Abfallbehandlung Lauta GmbH & Co. oHG ,Germany,14.1121,51.45044,DED2,DE,excl_biomass
NL.EEA/5746.FACILITY,Nuon Power Generation BV (Buggenum),Netherlands,5.97168,51.2235,NL42,NL,excl_biomass
UK.CAED/EW_EA-67.FACILITY,Drax Power Station EPR/VP3530LS,United Kingdom,-0.996528,53.736715,UKE2,UK,excl_biomass
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0100239220.ProductionFacility,"Oy Linde Gas Ab, Kilpilahden vedyntuotantolaitos",Finland,25.51675,60.31768,FI1B,FI,excl_biomass
NL.RIVM/000012149.FACILITY,Uniper Benelux NV (Maasvlakte),Netherlands,4.02657,51.95906,NL33,NL,excl_biomass
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-114000-100-9021122,LANXESS Deutschland GmbH CHEMPARK Krefeld-Uerdingen,Germany,6.66238,51.36819,DEA1,DE,excl_biomass
SE.CAED/10020018.Facility,"Lidköpings Värmeverk, Filen",Sweden,13.17413,58.50765,SE23,SE,excl_biomass
SE.CAED/10022490.Facility,Domsjö Fabriker AB,Sweden,18.69583,63.26929,SE32,SE,excl_biomass
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-978024-900-9139128,Biomassekraftwerk Lünen GmbH,Germany,7.47233,51.61958,DEA5,DE,excl_biomass
NL.RIVM/000000148.FACILITY,ENCI BV (Maastricht),Netherlands,5.68909,50.81815,NL42,NL,excl_biomass
NO.EEA/1228.0021.01.FACILITY,TiZir Titanium & Iron AS,Norway,6.55428,60.1151352,NO0A,NO,excl_biomass
NL.RIVM/000051104.FACILITY,Dow Benelux BV (Hoek),Netherlands,3.78247,51.34225,NL34,NL,excl_biomass
