NUTS_ID,year,dii_regional_composite,n_components
AT11,2023,-0.8238926716902858,3
AT12,2023,-0.21694294675588496,4
AT12,2024,0.3595299120143741,2
AT12,2025,0.5209851039062248,4
AT13,2023,0.6076310163564944,3
AT13,2025,0.6317720185635052,3
AT21,2023,-0.44167102654795215,3
AT21,2024,1.260282448666006,1
AT21,2025,-0.14488121625167433,2
AT22,2023,-0.1528138555106362,4
AT22,2024,0.47621898854510514,2
AT22,2025,0.2854716048038105,4
AT31,2023,0.08883861811240909,4
AT31,2024,1.0313068924655833,2
AT31,2025,0.8957546138694046,4
AT32,2023,0.23840128157764123,2
AT32,2024,2.100156712983974,1
AT32,2025,-1.37610135742267,1
AT33,2023,-0.12633440555589032,1
AT33,2025,0.32713709895053034,3
AT34,2023,-0.15878456726677187,2
AT34,2025,0.21504291661958436,2
BG31,2023,-1.500537533794449,2
BG31,2024,-0.9572599934142358,2
BG31,2025,-1.441768336257014,4
BG32,2023,-1.2983641291144998,2
BG32,2024,-1.2905770584781635,2
BG32,2025,-1.2344454533005358,4
BG33,2023,-1.37912773960749,2
BG33,2024,-1.1072863545086784,2
BG33,2025,-1.0590339492170673,4
BG34,2023,-1.277820520973833,2
BG34,2024,-1.5100317095398275,2
BG34,2025,-1.375303917307285,4
BG41,2023,-1.314629657437227,2
BG41,2024,-0.9336849468399389,2
BG41,2025,-0.8315599092715106,4
BG42,2023,-1.3527965820700398,2
BG42,2024,-0.8770329938377095,2
BG42,2025,-1.02864528351593,4
CZ01,2025,1.114397084454004,4
CZ02,2025,0.5718491910370882,4
CZ03,2025,0.5233061207273527,4
CZ04,2025,0.268553399154715,4
CZ05,2025,0.5978216211265612,4
CZ06,2025,0.7953593520162204,4
CZ07,2025,0.8877060042337512,4
CZ08,2025,0.6602778497620705,4
DK01,2023,-0.041878472770481234,2
DK01,2024,0.09603536084295261,2
DK01,2025,1.2097115441159292,4
DK02,2023,0.5491701957920407,2
DK02,2024,1.21881213432443,2
DK02,2025,1.7494114697493783,4
DK03,2023,0.4904971031702707,2
DK03,2024,0.35056674772694363,2
DK03,2025,1.6599211596722476,4
DK04,2023,0.5357350688842368,2
DK04,2024,1.750169749556369,2
DK04,2025,2.7328095199933005,4
DK05,2023,0.44153797004024253,2
DK05,2024,0.38326639165354726,2
DK05,2025,1.3862930981790322,4
ES11,2023,0.12916694210464072,4
ES11,2024,-0.13712140538867781,2
ES11,2025,0.5184441391677188,4
ES12,2023,0.6341343047365786,4
ES12,2024,-0.09452852869079847,2
ES12,2025,0.4524916556614919,4
ES13,2023,0.18501343511187202,4
ES13,2024,0.6661125817083438,2
ES13,2025,0.29211767992656723,4
ES21,2023,0.5437176943576882,4
ES21,2024,-0.07792712608232283,2
ES21,2025,0.7809191215844343,4
ES22,2023,0.5837498919299461,4
ES22,2024,0.006887700384650405,2
ES22,2025,1.3206990942323344,4
ES23,2023,0.3642213377202008,4
ES23,2024,0.03202950574401958,2
ES23,2025,0.8970488872106068,4
ES24,2023,0.3571631799159929,4
ES24,2024,-0.2547619467279911,2
ES24,2025,0.8664517208005801,4
ES30,2023,0.08875443104783398,4
ES30,2024,-0.37451364443387003,2
ES30,2025,0.9478479225018042,4
ES41,2023,0.48998553342482876,4
ES41,2024,0.540044548483443,2
ES41,2025,1.1106528468569863,4
ES42,2023,0.5214537311643542,4
ES42,2024,-0.1955454653829276,2
ES42,2025,0.7977936994160877,4
ES43,2023,0.0012560018062250516,4
ES43,2024,-0.09424974985983642,2
ES43,2025,0.431009980923057,4
ES51,2023,0.5715088738790906,4
ES51,2024,0.3278680068221701,2
ES51,2025,1.3258800525122179,4
ES52,2023,0.029351667222820704,4
ES52,2024,0.5633301903753642,2
ES52,2025,0.8281300467216217,4
ES53,2023,0.22472922380170007,4
ES53,2024,0.17853019817151328,2
ES53,2025,-0.5520038196693124,4
ES61,2023,0.12317530885346528,4
ES61,2024,1.161617539790561,2
ES61,2025,0.3999489149512171,4
ES62,2023,0.24374014751549095,4
ES62,2024,0.2164415159879865,2
ES62,2025,0.34352720925630037,4
