sample,n,coef,p_value
Full sample,81,0.21121036349796943,0.046604049305868374
Drop BG-2025 only,80,0.1702584476438023,0.0859520056497964
Drop Bulgaria entirely,78,0.11004081016290353,0.2104369200311268
