country_code,year,d_log_emissions,digital_multi,log_gdp_per_capita,industry_va_share,electricity_price,log_gdp_per_capita_lag,industry_va_share_lag,electricity_price_lag,d_log_gdp,d_industry_va_share,d_electricity_price
AT,2024,-0.020285477469787594,0.6,10.717524050371527,21.0,0.17425000000000002,10.729196906179045,22.4,0.22135,-0.01167285580751809,-1.3999999999999986,-0.047099999999999975
AT,2025,0.06700069705032163,0.6,10.72304709545051,20.8,0.16035,10.717524050371527,21.0,0.17425000000000002,0.005523045078984268,-0.1999999999999993,-0.013900000000000023
BE,2024,0.012536886527666269,0.71,10.701219948286148,15.3,0.12685,10.696253798124786,16.0,0.1688,0.004966150161362037,-0.6999999999999993,-0.041950000000000015
BE,2025,0.007546497784677086,0.6,10.706609586304646,15.1,0.1383,10.701219948286148,15.3,0.12685,0.005389638018497678,-0.20000000000000107,0.011450000000000016
BG,2024,-0.1301022066872939,0.26,9.335209354022052,19.4,0.1296,9.301094735244646,21.5,0.14200000000000002,0.03411461877740507,-2.1000000000000014,-0.012400000000000022
BG,2025,-0.6137269466230038,0.35,9.368198456591763,19.2,0.13485000000000003,9.335209354022052,19.4,0.1296,0.03298910256971155,-0.1999999999999993,0.005250000000000032
CY,2024,0.0007583554385099944,0.37,10.307284603543595,6.9,0.1789,10.286025156000587,7.2,0.2012,0.02125944754300768,-0.2999999999999998,-0.022299999999999986
CY,2025,-0.002887814833131941,0.32,10.328428437144948,6.8,0.1734,10.307284603543595,6.9,0.1789,0.021143833601353634,-0.10000000000000053,-0.005500000000000005
CZ,2024,-0.14025596114318972,0.64,9.996522418503318,26.9,0.17575000000000002,9.984145455553582,27.1,0.2,0.01237696294973567,-0.20000000000000284,-0.024249999999999994
CZ,2025,-0.013303958472832278,0.48,10.021714933900778,25.5,0.17205,9.996522418503318,26.9,0.17575000000000002,0.02519251539746037,-1.3999999999999986,-0.003700000000000009
