n2,same_children,anyflag,pop_ratio,pop_bad,pop_unvalidated,n_pat_children,n_gva_children,stable_strict,stable_lenient,stable
RO11,True,False,1.0008976022509735,False,False,6,6,True,True,True
RO12,True,False,1.0176377106960874,False,False,6,6,True,True,True
RO21,True,False,1.0171749448962653,False,False,6,6,True,True,True
RO22,False,False,1.0164150624524573,False,False,5,6,False,True,False
RO31,False,False,1.0088693104646167,False,False,5,7,False,True,False
RO32,True,False,0.995620071141102,False,False,2,2,True,True,True
RO41,True,False,1.0241120694525863,False,False,5,5,True,True,True
RO42,True,False,0.9912696043649201,False,False,4,4,True,True,True
ROZZ,False,False,,False,True,0,1,False,False,False
RS11,False,False,,False,True,0,1,False,False,False
RS12,False,False,,False,True,0,7,False,False,False
RS21,False,False,,False,True,0,8,False,False,False
RS22,False,False,,False,True,0,9,False,False,False
RSZZ,False,False,,False,True,0,1,False,False,False
SE11,True,False,0.9966664815125419,False,False,1,1,True,True,True
SE12,True,False,0.9975498123583376,False,False,5,5,True,True,True
SE21,True,False,1.000206895224752,False,False,4,4,True,True,True
SE22,True,False,0.9964521549345002,False,False,2,2,True,True,True
SE23,True,False,0.9972003776617584,False,False,2,2,True,True,True
SE31,True,False,1.0010305256347287,False,False,3,3,True,True,True
SE32,True,False,1.0016377772019207,False,False,2,2,True,True,True
SE33,True,False,0.9994936594930469,False,False,2,2,True,True,True
SEZZ,False,False,,False,True,0,1,False,False,False
SI01,False,True,,False,True,4,0,False,False,False
SI02,False,True,,False,True,1,0,False,False,False
SI03,False,False,,False,True,4,8,False,False,False
SI04,False,False,,False,True,3,4,False,False,False
SK01,True,False,0.9982473738854964,False,False,1,1,True,True,True
SK02,True,False,1.0006302206361049,False,False,3,3,True,True,True
SK03,True,False,0.9998453572514118,False,False,2,2,True,True,True
SK04,True,False,1.0004035190075342,False,False,2,2,True,True,True
TR10,True,False,,False,True,1,1,True,False,True
TR21,False,False,,False,True,1,3,False,False,False
TR22,False,False,,False,True,0,2,False,False,False
TR31,True,False,,False,True,1,1,True,False,True
TR32,True,False,,False,True,3,3,True,False,True
TR33,False,False,,False,True,1,4,False,False,False
TR41,False,False,,False,True,1,3,False,False,False
TR42,False,False,,False,True,4,5,False,False,False
TR51,True,False,,False,True,1,1,True,False,True
TR52,False,False,,False,True,1,2,False,False,False
TR61,False,False,,False,True,1,3,False,False,False
TR62,False,False,,False,True,1,2,False,False,False
TR63,False,False,,False,True,1,3,False,False,False
TR71,False,False,,False,True,1,5,False,False,False
TR72,False,False,,False,True,0,3,False,False,False
TR81,False,False,,False,True,1,3,False,False,False
TR82,False,False,,False,True,0,3,False,False,False
TR83,False,False,,False,True,2,4,False,False,False
TR90,False,False,,False,True,2,6,False,False,False
TRA1,False,False,,False,True,1,3,False,False,False
TRA2,False,False,,False,True,0,4,False,False,False
TRB1,False,False,,False,True,1,4,False,False,False
TRB2,False,False,,False,True,1,4,False,False,False
TRC1,False,False,,False,True,0,3,False,False,False
TRC2,False,False,,False,True,0,2,False,False,False
TRC3,False,False,,False,True,0,4,False,False,False
UKC1,False,False,,False,True,4,0,False,False,False
UKC2,False,False,,False,True,3,0,False,False,False
UKD1,False,False,,False,True,2,0,False,False,False
UKD3,False,True,,False,True,2,0,False,False,False
UKD4,False,True,,False,True,3,0,False,False,False
UKD6,False,False,,False,True,3,0,False,False,False
UKD7,False,False,,False,True,4,0,False,False,False
UKE1,False,False,,False,True,3,0,False,False,False
UKE2,False,False,,False,True,2,0,False,False,False
UKE3,False,False,,False,True,2,0,False,False,False
UKE4,False,False,,False,True,4,0,False,False,False
UKF1,False,False,,False,True,6,0,False,False,False
UKF2,False,False,,False,True,4,0,False,False,False
UKF3,False,False,,False,True,1,0,False,False,False
UKG1,False,False,,False,True,3,0,False,False,False
UKG2,False,False,,False,True,4,0,False,False,False
UKG3,False,False,,False,True,7,0,False,False,False
UKH1,False,True,,False,True,4,0,False,False,False
UKH2,False,False,,False,True,4,0,False,False,False
UKH3,False,True,,False,True,3,0,False,False,False
UKI1,False,True,,False,True,2,0,False,False,False
UKI2,False,True,,False,True,3,0,False,False,False
UKJ1,False,False,,False,True,4,0,False,False,False
UKJ2,False,True,,False,True,4,0,False,False,False
UKJ3,False,True,,False,True,4,0,False,False,False
UKJ4,False,True,,False,True,2,0,False,False,False
UKK1,False,False,,False,True,5,0,False,False,False
UKK2,False,False,,False,True,3,0,False,False,False
UKK3,False,False,,False,True,1,0,False,False,False
UKK4,False,False,,False,True,3,0,False,False,False
UKL1,False,False,,False,True,8,0,False,False,False
UKL2,False,False,,False,True,4,0,False,False,False
UKM5,False,False,,False,True,1,0,False,False,False
UKM6,False,False,,False,True,6,0,False,False,False
UKM7,False,False,,False,True,7,0,False,False,False
UKM8,False,False,,False,True,4,0,False,False,False
UKM9,False,False,,False,True,5,0,False,False,False
UKN0,False,True,,False,True,5,0,False,False,False
