country_code,year,verified_emissions_t,log_emissions,d_log_emissions,dii_high_share_manufacturing,dii_version,dii_high_share_d35,dii_high_share_c_or_d35,eibis_digital_multi,gdp_per_capita,d_log_gdp_per_capita,energy_import_dependency_pct,eu_accession_cohort,dii_version_break_vs_prior_year
AT,2005,33373155.0,17.323262392257767,,,,,,,40270.0,0.016272733592957778,71.76,EU-15,True
AT,2006,32384372.0,17.293186518717448,-0.030075873540319265,,,,,,41370.0,0.026949205609957616,72.248,EU-15,True
AT,2007,31751260.0,17.273442967554914,-0.019743551162534345,,,,,,42790.0,0.03374844995540549,68.475,EU-15,True
AT,2008,32078974.0,17.283711357907496,0.010268390352582202,,,,,,43270.0,0.011155123808068268,68.738,EU-15,True
AT,2009,27359833.0,17.124586546898826,-0.15912481100867026,,,,,,41620.0,-0.03887873327130542,65.122,EU-15,True
AT,2010,30919711.0,17.24690443493865,0.12231788803982369,,,,,,42280.0,0.015733340036549137,62.782,EU-15,True
AT,2011,30599418.0,17.23649154713389,-0.010412887804758242,,,,,,43370.0,0.02545379684523752,69.981,EU-15,True
AT,2012,28387060.0,17.161443965495994,-0.0750475816378966,,,,,,43450.0,0.0018428938641257275,63.785,EU-15,True
AT,2013,29771753.0,17.209070616041657,0.04762665054566284,,,,,,43080.0,-0.008551999423213275,61.26,EU-15,True
AT,2014,28023947.0,17.14856995262159,-0.060500663420068435,,,,,,43070.0,-0.0002321532221678524,65.625,EU-15,True
AT,2015,29459819.0,17.19853782505592,0.04996787243432976,0.24630000000000002,1,,0.24630000000000002,,43200.0,0.003013796184045958,60.379,EU-15,True
AT,2016,28967793.0,17.181695184586008,-0.016842640469910464,0.14150000000000001,1,,0.14150000000000001,,43550.0,0.008069208048446797,62.102,EU-15,False
AT,2017,30529853.0,17.23421554976334,0.05252036517733316,0.26739999999999997,1,,0.26739999999999997,,44260.0,0.01617163132439181,63.93,EU-15,False
AT,2018,28380243.0,17.16120379202738,-0.07301175773596214,0.1522,1,,0.1522,,45140.0,0.019687436766485433,64.223,EU-15,False
AT,2019,29540448.0,17.201271000829284,0.040067208801904286,0.3234,1,,0.3234,,45730.0,0.012985766280573685,71.601,EU-15,False
AT,2020,27013522.0,17.111848113417533,-0.0894228874117502,0.19119999999999998,2,,0.19119999999999998,,42650.0,-0.06972726373227545,58.281,EU-15,True
