country_code,year,verified_emissions_t,log_emissions,d_log_emissions,pct_change_emissions
AT,2005,33373155.0,17.323262392257767,,
AT,2006,32384372.0,17.293186518717448,-0.030075873540319265,-0.029628094796551263
AT,2007,31751260.0,17.273442967554914,-0.019743551162534345,-0.01954992364835728
AT,2008,32078974.0,17.283711357907496,0.010268390352582202,0.010321291186554449
AT,2009,27359833.0,17.124586546898826,-0.15912481100867026,-0.14711009772320027
AT,2010,30919711.0,17.24690443493865,0.12231788803982369,0.1301132941856773
AT,2011,30599418.0,17.23649154713389,-0.010412887804758242,-0.010358861374868633
AT,2012,28387060.0,17.161443965495994,-0.0750475816378966,-0.07230065617587889
AT,2013,29771753.0,17.209070616041657,0.04762665054566284,0.048779021145550105
AT,2014,28023947.0,17.14856995262159,-0.060500663420068435,-0.058706855454564555
AT,2015,29459819.0,17.19853782505592,0.04996787243432976,0.051237322137384966
AT,2016,28967793.0,17.181695184586008,-0.016842640469910464,-0.01670159616391398
AT,2017,30529853.0,17.23421554976334,0.05252036517733316,0.05392402520965267
AT,2018,28380243.0,17.16120379202738,-0.07301175773596214,-0.07041009991106084
AT,2019,29540448.0,17.201271000829284,0.040067208801904286,0.040880728188268156
AT,2020,27013522.0,17.111848113417533,-0.0894228874117502,-0.08554122131120012
AT,2021,28704509.0,17.172564776403615,0.06071666298608136,0.06259779824341316
AT,2022,26626257.0,17.097408392147052,-0.07515638425656235,-0.07240158680296538
AT,2023,24413340.0,17.010640262177258,-0.08676812996979422,-0.08311032977710686
AT,2024,23923093.0,16.99035478470747,-0.020285477469787594,-0.020081111392378115
AT,2025,25580873.0,17.057355481757792,0.06700069705032163,0.06929622352761822
BE,2005,55363232.0,17.829426249072444,,
BE,2006,54775326.0,17.818750395048358,-0.010675854024086107,-0.010619069349130483
BE,2007,52795333.0,17.781933354618335,-0.036817040430022985,-0.0361475347494965
BE,2008,55462027.0,17.83120914634806,0.049275791729723295,0.050510032771267976
BE,2009,46206938.0,17.64864051793728,-0.18256862841077748,-0.16687253424762138
BE,2010,50103979.0,17.729610984059086,0.08097046612180492,0.08433887136169904
BE,2011,46203055.0,17.648556479406896,-0.08105450465219022,-0.07785657103201327
BE,2012,43006980.0,17.57687298606586,-0.07168349334103397,-0.06917453835033205
BE,2013,45231175.0,17.62729711944956,0.05042413338369656,0.05171707011280491
BE,2014,43853144.0,17.59635697318599,-0.03094014626356767,-0.030466398451952648
BE,2015,44713915.0,17.61579530867992,0.01943833549393048,0.019628490034830692
BE,2016,43655728.0,17.5918450572992,-0.02395025138072171,-0.023665720167871718
BE,2017,43772976.0,17.59452719863093,0.0026821413317321685,0.002685741490784377
BE,2018,44182748.0,17.60384495411244,0.009317755481507817,0.009361300908578896
BE,2019,44626399.0,17.61383614771273,0.009991193600288995,0.010041272217834907
BE,2020,41511613.0,17.541483777380744,-0.07235237033198416,-0.06979693790664132
BE,2021,41429547.0,17.539504879888085,-0.001978897492659115,-0.001976940765949009
BE,2022,39722562.0,17.49742989657169,-0.0420749833163967,-0.041202115968103636
BE,2023,35402662.0,17.382297573016906,-0.11513232355478209,-0.10875179702658655
BE,2024,35849295.0,17.394834459544573,0.012536886527666269,0.012615802732574233
BE,2025,36120855.0,17.40238095732925,0.007546497784677086,0.007575044362797101
BG,2007,39181984.0,17.483727607279256,,
BG,2008,38303052.0,17.46104013766013,-0.022687469619125267,-0.022432044278309138
BG,2009,32014545.0,17.281700888745963,-0.17933924891416808,-0.16417770051326463
BG,2010,33525096.0,17.32780485066259,0.04610396191662858,0.047183272478181326
BG,2011,39997538.0,17.50432846018393,0.1765236095213396,0.19306259406386195
BG,2012,35050852.0,17.372310479280678,-0.13201798090325312,-0.12367476218161233
BG,2013,32695619.0,17.30275165135679,-0.06955882792388834,-0.0671947432262131
BG,2014,34305079.0,17.35080397697578,0.048052325618989755,0.04922555526475891
BG,2015,36260861.0,17.40624950818281,0.055445531207030996,0.05701144136703484
BG,2016,33410834.0,17.32439077660743,-0.08185873157538026,-0.0785978854721624
BG,2017,34908095.0,17.368229308700847,0.04383853209341737,0.04481363739677979
BG,2018,31028875.0,17.25042878053046,-0.11780052817038822,-0.11112665987645554
BG,2019,29194151.0,17.189478938954963,-0.06094984157549632,-0.059129568829034196
BG,2020,23845295.0,16.9870974812043,-0.2023814577506613,-0.18321669981086275
BG,2021,28931536.0,17.180442769217287,0.1933452880129849,0.21330165971945414
BG,2022,33933868.0,17.339924129673523,0.15948136045623684,0.1729023996513701
BG,2023,21639927.0,16.89005063855424,-0.4498734911192841,-0.36229117765177843
BG,2024,18999979.0,16.759948431866945,-0.1301022066872939,-0.1219943117183343
BG,2025,10285251.0,16.14622148524394,-0.6137269466230038,-0.4586704016883387
CY,2005,5078877.0,15.440600732124514,,
CY,2006,5259273.0,15.47550336223385,0.03490263010933603,0.03551887553094901
