NUTS_ID,year,co2_region_t,log_emissions,d_log_emissions,dii_regional_composite,n_components,CNTR_CODE
AT11,2023,,,,-0.8238926716902858,3.0,AT
AT12,2023,,,,-0.21694294675588496,4.0,AT
AT12,2024,,,,0.3595299120143741,2.0,AT
AT12,2025,,,,0.5209851039062248,4.0,AT
AT13,2023,,,,0.6076310163564944,3.0,AT
AT13,2025,,,,0.6317720185635052,3.0,AT
AT21,2023,,,,-0.44167102654795215,3.0,AT
AT21,2024,,,,1.260282448666006,1.0,AT
AT21,2025,,,,-0.14488121625167433,2.0,AT
AT22,2023,,,,-0.1528138555106362,4.0,AT
AT22,2024,,,,0.47621898854510514,2.0,AT
AT22,2025,,,,0.2854716048038105,4.0,AT
AT31,2023,,,,0.08883861811240909,4.0,AT
AT31,2024,,,,1.0313068924655833,2.0,AT
AT31,2025,,,,0.8957546138694046,4.0,AT
AT32,2023,,,,0.23840128157764123,2.0,AT
AT32,2024,,,,2.100156712983974,1.0,AT
AT32,2025,,,,-1.37610135742267,1.0,AT
AT33,2023,,,,-0.12633440555589032,1.0,AT
AT33,2025,,,,0.32713709895053034,3.0,AT
AT34,2023,,,,-0.15878456726677187,2.0,AT
AT34,2025,,,,0.21504291661958436,2.0,AT
BG31,2010,308000000.0,19.54561034093785,,,,BG
BG31,2011,745000000.0,20.428894776343835,0.8832844354059866,,,BG
BG31,2012,843000000.0,20.552477515966128,0.12358273962229305,,,BG
BG31,2013,702000000.0,20.369443961990086,-0.18303355397604193,,,BG
BG31,2014,769000000.0,20.46060152746992,0.09115756547983267,,,BG
BG31,2015,873000000.0,20.587446113803875,0.1268445863339558,,,BG
BG31,2016,835000000.0,20.54294228281513,-0.04450383098874511,,,BG
BG31,2017,843000000.0,20.552477515966128,0.009535233150998579,,,BG
BG31,2018,848957089.0,20.559519200006527,0.007041684040398621,,,BG
BG31,2019,854256725.0,20.56574232133138,0.006223121324854475,,,BG
BG31,2020,760395000.0,20.449348593070344,-0.11639372826103767,,,BG
BG31,2021,731022519.0,20.40995482298512,-0.03939377008522271,,,BG
BG31,2022,729574127.0,20.407971534198676,-0.0019832887864446036,,,BG
BG31,2023,773848354.0,20.46688648729358,0.058914953094902245,-1.500537533794449,2.0,BG
BG31,2024,,,,-0.9572599934142358,2.0,BG
BG31,2025,,,,-1.441768336257014,4.0,BG
BG32,2021,242322000.0,19.305777978198222,,,,BG
BG32,2023,119321100.0,18.59732873647547,-0.7084492417227537,-1.2983641291144998,2.0,BG
BG32,2024,,,,-1.2905770584781635,2.0,BG
BG32,2025,,,,-1.2344454533005358,4.0,BG
BG33,2022,102524000.0,18.445607475476223,,,,BG
BG33,2023,,,,-1.37912773960749,2.0,BG
BG33,2024,,,,-1.1072863545086784,2.0,BG
BG33,2025,,,,-1.0590339492170673,4.0,BG
BG34,2023,,,,-1.277820520973833,2.0,BG
BG34,2024,,,,-1.5100317095398275,2.0,BG
BG34,2025,,,,-1.375303917307285,4.0,BG
BG41,2020,591099434.0,20.197494808257343,,,,BG
BG41,2021,752943000.0,20.439500085687833,0.24200527743048994,,,BG
BG41,2022,810331000.0,20.512953364134674,0.07345327844684135,,,BG
BG41,2023,823286000.0,20.52881420738704,0.015860843252365697,-1.314629657437227,2.0,BG
BG41,2024,,,,-0.9336849468399389,2.0,BG
BG41,2025,,,,-0.8315599092715106,4.0,BG
BG42,2018,646815991.1,20.28757240876915,,,,BG
BG42,2019,615056727.0,20.237225060541427,-0.05034734822772435,,,BG
BG42,2020,651694150.0,20.295085914739378,0.057860854197951284,,,BG
BG42,2021,652712344.0,20.296647075637427,0.001561160898049252,,,BG
BG42,2022,530092990.0,20.088563001950583,-0.20808407368684456,,,BG
BG42,2023,489856656.0,20.00962336749562,-0.07893963445496155,-1.3527965820700398,2.0,BG
BG42,2024,,,,-0.8770329938377095,2.0,BG
BG42,2025,,,,-1.02864528351593,4.0,BG
CY00,2007,1140000000.0,20.854294099352817,,,,CY
CY00,2008,1130000000.0,20.84548346967066,-0.008810629682155735,,,CY
CY00,2009,1040000000.0,20.76248655009969,-0.0829969195709701,,,CY
CY00,2010,789000000.0,20.48627687881015,-0.27620967128954277,,,CY
CY00,2011,819000000.0,20.523594641817343,0.037317763007195026,,,CY
CY00,2012,798000000.0,20.497619155414082,-0.025975486403261527,,,CY
CY00,2013,3990000000.0,22.10705706784818,1.6094379124340996,,,CY
CY00,2014,4430000000.0,22.211665421003456,0.10460835315527461,,,CY
CY00,2015,4340000000.0,22.191140185058725,-0.020525235944731435,,,CY
CY00,2016,4600000000.0,22.24932214044146,0.05818195538273585,,,CY
CY00,2017,4600000000.0,22.24932214044146,0.0,,,CY
CY00,2018,4510000000.0,22.229562990460998,-0.019759149980462354,,,CY
CY00,2019,4400000000.0,22.204870377870627,-0.024692612590371255,,,CY
CY00,2020,4230000000.0,22.165467830004598,-0.039402547866028925,,,CY
CY00,2021,4240000000.0,22.16782910619028,0.0023612761856810494,,,CY
CY00,2022,4270000000.0,22.174879664186946,0.007050557996667095,,,CY
CY00,2023,4249000000.0,22.169949498079085,-0.004930166107861567,,,CY
CZ01,2010,380000000.0,19.755681810684706,,,,CZ
CZ01,2011,827000000.0,20.533315252987965,0.7776334423032587,,,CZ
CZ01,2012,520300000.0,20.069916126260534,-0.4633991267274311,,,CZ
CZ01,2013,520100000.0,20.0695316587433,-0.000384467517232423,,,CZ
CZ01,2014,530700000.0,20.089707447798123,0.020175789054821536,,,CZ
CZ01,2015,523000000.0,20.075092022029196,-0.014615425768926826,,,CZ
CZ01,2016,515600000.0,20.060841829029307,-0.014250192999888611,,,CZ
CZ01,2017,538800000.0,20.104855002500482,0.04401317347117484,,,CZ
CZ01,2018,616513262.0,20.239590392097234,0.13473538959675224,,,CZ
