model,coef,se,p,r2
1b bare (n=74),0.24695988179020048,0.13881059143872987,0.0752210559300787,0.06907944268798905
1c + GDP/industry/energy controls (LEVELS -- see caveat below),0.40306921534507706,0.11686405755968797,0.000562576115553726,0.12787224926841867
"3 bare, year FE (n=74)",0.2021160739389487,0.14665923239783688,0.1681619212264912,0.19208762977157168
3c + year FE + controls (LEVELS -- see caveat below),0.39365957037759897,0.11751336009956583,0.0008083685234840725,0.3051869164824621
