variable,n,pearson_r,p_value
digital_multi,81,0.22148316717407557,0.04690915298245388
digital_any,81,0.17269605542436514,0.12314277219012017
genai_share,27,0.18226111963178832,0.3628766783229587
climate_target_share,81,0.15366259522362458,0.17080623460915997
