state_fips,year,total_co2e,total_co2e_excl_petro_ng,n_facilities,log_emissions,d_log_emissions,log_emissions_excl_petro_ng,d_log_emissions_excl_petro_ng,tech_emp_share,emp_total,emp_tech,tech_emp_share_diff
01,2010,101759585.564511,100179070.800511,151,18.438123584871995,,18.422469850551376,,,,,
01,2011,111411760.03208,108731832.19707999,170,18.528743445703373,0.09061986083137796,18.504395153720214,0.08192530316883762,,,,
01,2012,103267572.46055001,100416031.24855,179,18.452833968646694,-0.07590947705667972,18.424832426265738,-0.07956272745447635,,,,
01,2013,102201238.2038,99530871.04280001,184,18.44245435115755,-0.010379617489142845,18.415978415744284,-0.008854010521453404,,,,
01,2014,104227737.64856002,101793790.75756,187,18.462088848102987,0.019634496945435842,18.43845966569747,0.022481249953184346,,,,
01,2015,98231443.540244,95865209.228444,186,18.402836921056096,-0.05925192704689053,18.37845369226439,-0.06000597343307845,0.029160006709451385,1532167.0,44678.0,
01,2016,89547929.53966,87241473.62566,186,18.310284565485226,-0.09255235557087005,18.284190390783422,-0.09426330148096795,0.028502605522705268,1555542.0,44337.0,-0.000657401186746117
01,2017,85029384.731572,82838097.631572,189,18.25850745743755,-0.05177710804767699,18.232398629857766,-0.051791760925656405,0.02835712090385148,1574772.0,44656.0,-0.00014548461885378894
01,2018,88069388.122172,85680487.66217199,193,18.293635563126895,0.035128105689345546,18.266135675756242,0.03373704589847648,0.028903173648685433,1598129.0,46191.0,0.0005460527448339532
01,2019,81538343.92243199,79307792.258432,196,18.21658394514707,-0.07705161797982285,18.18884694480951,-0.07728873094673361,0.02880194272894247,1622460.0,46730.0,-0.00010123091974296311
01,2020,73842989.989524,71664758.277524,199,18.117451640154933,-0.0991323049921391,18.087509668383564,-0.10133727642594437,0.029049365759069242,1547125.0,44943.0,0.0002474230301267727
01,2021,78490900.71076,76443696.07875998,199,18.178493261521417,0.06104162136648483,18.152065028846096,0.0645553604625313,0.02870706837556184,1602985.0,46017.0,-0.00034229738350740127
01,2022,79692137.610996,77390261.96499601,200,18.193681489094935,0.015188227573517565,18.164371516238923,0.012306487392827137,0.029532766800228413,1660156.0,49029.0,0.0008256984246665725
01,2023,72015718.632968,69969126.65296799,200,18.0923949675,-0.10128652159493612,18.063564654908696,-0.1008068613302271,0.029461932994541692,1700160.0,50090.0,-7.083380568672151e-05
02,2010,17544758.662,6894319.022,64,16.680265811532944,,15.746208300300143,,,,,
02,2011,20227318.286000002,6999914.698000001,75,16.822544639111236,0.14227882757829136,15.761408520945338,0.015200220645194662,,,,
02,2012,20396143.286321,7000854.840321001,77,16.830856386349264,0.008311747238028744,15.7615428196094,0.00013429866406156066,,,,
02,2013,20250210.781999998,6758409.4860000005,81,16.823675760450303,-0.007180625898961068,15.726298137199633,-0.035244682409766526,,,,
02,2014,19580624.878000002,6454648.745999999,85,16.79005110865341,-0.03362465179689167,15.680311164980582,-0.045986972219051125,,,,
02,2015,18880752.316,6424823.812,81,16.75365356513351,-0.03639754351990021,15.67567976611275,-0.004631398867831038,0.029478129382545813,255274.0,7525.0,
