county_fips,state_fips,year,total_co2e,total_co2e_excl_petro_ng,n_facilities,log_emissions,d_log_emissions,log_emissions_excl_petro_ng,d_log_emissions_excl_petro_ng,tech_emp_share,emp_total,emp_tech,tech_emp_share_diff
01001,01,2010,2982136.6339999996,2982136.6339999996,4,14.908150592841308,,14.908150592841308,,,,,
01001,01,2011,4491863.358,4491863.358,4,15.317778175410751,0.40962758256944376,15.317778175410751,0.40962758256944376,,,,
01001,01,2012,6447401.892000001,6447401.892000001,4,15.679187800181385,0.36140962477063354,15.679187800181385,0.36140962477063354,,,,
01001,01,2013,5530155.518,5530155.518,4,15.525726495707064,-0.15346130447432138,15.525726495707064,-0.15346130447432138,,,,
01001,01,2014,5388098.431999999,5388098.431999999,4,15.49970308509088,-0.026023410616183185,15.49970308509088,-0.026023410616183185,,,,
01001,01,2015,6531961.946,6531961.946,4,15.69221790727475,0.1925148221838704,15.69221790727475,0.1925148221838704,0.007414730598121601,8092.0,60.0,
01001,01,2016,5999899.896,5999899.896,4,15.60725334305315,-0.08496456422160037,15.60725334305315,-0.08496456422160037,0.007689491028927133,8193.0,63.0,0.00027476043080553163
01001,01,2017,4796002.468,4796002.468,4,15.383293309724905,-0.223960033328245,15.383293309724905,-0.223960033328245,0.009459131700218287,8246.0,78.0,0.001769640671291154
01001,01,2018,5084529.918,5084529.918,4,15.441713138353752,0.058419828628846204,15.441713138353752,0.058419828628846204,0.010229570595931962,8407.0,86.0,0.0007704388957136751
01001,01,2019,4809894.8319999995,4809894.8319999995,4,15.386185777393848,-0.055527360959903405,15.386185777393848,-0.055527360959903405,0.0106657290201594,8532.0,91.0,0.0004361584242274386
01001,01,2020,5008617.182,5008617.182,4,15.426670423385996,0.04048464599214796,15.426670423385996,0.04048464599214796,0.010986357599903417,8283.0,91.0,0.00032062857974401657
01001,01,2021,4707873.446,4707873.446,4,15.364746866372297,-0.06192355701369934,15.364746866372297,-0.06192355701369934,0.010805158591843849,8607.0,93.0,-0.00018119900805956858
