freq,unit,inet_tec,terrtypo,geo,time,value
A,PC_HH,5G,DEG3,PL,2023,58.5
A,PC_HH,5G,DEG3,PL,2024,72.3
A,PC_HH,5G,DEG3,PL,2025,84.3
A,PC_HH,5G,DEG3,PT,2022,20.8
A,PC_HH,5G,DEG3,PT,2023,87.5
A,PC_HH,5G,DEG3,PT,2024,92.3
A,PC_HH,5G,DEG3,PT,2025,95.3
A,PC_HH,5G,DEG3,RO,2021,2.0
A,PC_HH,5G,DEG3,RO,2022,3.0
A,PC_HH,5G,DEG3,RO,2023,6.3
A,PC_HH,5G,DEG3,RO,2024,14.5
A,PC_HH,5G,DEG3,RO,2025,22.7
A,PC_HH,5G,DEG3,SE,2021,0.5
A,PC_HH,5G,DEG3,SE,2022,0.5
A,PC_HH,5G,DEG3,SE,2023,67.0
A,PC_HH,5G,DEG3,SE,2024,90.3
A,PC_HH,5G,DEG3,SE,2025,90.5
A,PC_HH,5G,DEG3,SI,2021,2.8
A,PC_HH,5G,DEG3,SI,2022,14.1
A,PC_HH,5G,DEG3,SI,2023,45.5
A,PC_HH,5G,DEG3,SI,2024,91.1
A,PC_HH,5G,DEG3,SI,2025,97.3
A,PC_HH,5G,DEG3,SK,2021,2.4
A,PC_HH,5G,DEG3,SK,2022,39.3
A,PC_HH,5G,DEG3,SK,2023,46.1
A,PC_HH,5G,DEG3,SK,2024,72.5
A,PC_HH,5G,DEG3,SK,2025,84.6
A,PC_HH,5G,DEG3,UK,2021,4.3
A,PC_HH,5G,DEG3,UK,2022,14.9
A,PC_HH,5G,DEG3,UK,2023,50.6
A,PC_HH,5G,DEG3,UK,2024,78.9
A,PC_HH,5G,DEG3,UK,2025,84.8
A,PC_HH,5G,TOTAL,AT,2020,50.0
A,PC_HH,5G,TOTAL,AT,2021,76.8
A,PC_HH,5G,TOTAL,AT,2022,91.7
A,PC_HH,5G,TOTAL,AT,2023,96.0
A,PC_HH,5G,TOTAL,AT,2024,99.6
A,PC_HH,5G,TOTAL,AT,2025,99.8
A,PC_HH,5G,TOTAL,BE,2020,4.4
A,PC_HH,5G,TOTAL,BE,2021,4.2
A,PC_HH,5G,TOTAL,BE,2022,29.6
A,PC_HH,5G,TOTAL,BE,2023,40.4
A,PC_HH,5G,TOTAL,BE,2024,96.9
A,PC_HH,5G,TOTAL,BE,2025,99.9
A,PC_HH,5G,TOTAL,BG,2021,40.1
A,PC_HH,5G,TOTAL,BG,2022,67.2
A,PC_HH,5G,TOTAL,BG,2023,78.9
A,PC_HH,5G,TOTAL,BG,2024,81.3
A,PC_HH,5G,TOTAL,BG,2025,94.8
A,PC_HH,5G,TOTAL,CH,2020,89.2
A,PC_HH,5G,TOTAL,CH,2021,94.6
A,PC_HH,5G,TOTAL,CH,2022,96.8
A,PC_HH,5G,TOTAL,CH,2023,98.5
A,PC_HH,5G,TOTAL,CH,2024,99.5
A,PC_HH,5G,TOTAL,CH,2025,99.5
A,PC_HH,5G,TOTAL,CY,2021,75.0
A,PC_HH,5G,TOTAL,CY,2022,100.0
A,PC_HH,5G,TOTAL,CY,2023,100.0
A,PC_HH,5G,TOTAL,CY,2024,100.0
A,PC_HH,5G,TOTAL,CY,2025,100.0
A,PC_HH,5G,TOTAL,CZ,2021,49.4
A,PC_HH,5G,TOTAL,CZ,2022,82.6
A,PC_HH,5G,TOTAL,CZ,2023,94.6
A,PC_HH,5G,TOTAL,CZ,2024,99.1
A,PC_HH,5G,TOTAL,CZ,2025,99.7
A,PC_HH,5G,TOTAL,DE,2020,17.8
A,PC_HH,5G,TOTAL,DE,2021,86.5
A,PC_HH,5G,TOTAL,DE,2022,93.2
A,PC_HH,5G,TOTAL,DE,2023,98.1
A,PC_HH,5G,TOTAL,DE,2024,99.0
A,PC_HH,5G,TOTAL,DE,2025,99.5
A,PC_HH,5G,TOTAL,DK,2020,80.0
A,PC_HH,5G,TOTAL,DK,2021,98.0
A,PC_HH,5G,TOTAL,DK,2022,97.8
A,PC_HH,5G,TOTAL,DK,2023,100.0
A,PC_HH,5G,TOTAL,DK,2024,100.0
A,PC_HH,5G,TOTAL,DK,2025,100.0
A,PC_HH,5G,TOTAL,EE,2021,18.3
A,PC_HH,5G,TOTAL,EE,2022,43.3
A,PC_HH,5G,TOTAL,EE,2023,87.5
A,PC_HH,5G,TOTAL,EE,2024,91.5
A,PC_HH,5G,TOTAL,EE,2025,100.0
A,PC_HH,5G,TOTAL,EL,2021,66.1
A,PC_HH,5G,TOTAL,EL,2022,85.7
A,PC_HH,5G,TOTAL,EL,2023,98.1
A,PC_HH,5G,TOTAL,EL,2024,99.8
A,PC_HH,5G,TOTAL,EL,2025,99.5
A,PC_HH,5G,TOTAL,ES,2020,12.5
A,PC_HH,5G,TOTAL,ES,2021,58.9
A,PC_HH,5G,TOTAL,ES,2022,82.3
A,PC_HH,5G,TOTAL,ES,2023,92.3
A,PC_HH,5G,TOTAL,ES,2024,95.7
A,PC_HH,5G,TOTAL,ES,2025,99.2
A,PC_HH,5G,TOTAL,FI,2020,12.4
A,PC_HH,5G,TOTAL,FI,2021,71.6
A,PC_HH,5G,TOTAL,FI,2022,94.7
A,PC_HH,5G,TOTAL,FI,2023,98.3
A,PC_HH,5G,TOTAL,FI,2024,99.5
A,PC_HH,5G,TOTAL,FI,2025,100.0
A,PC_HH,5G,TOTAL,FR,2021,74.4
A,PC_HH,5G,TOTAL,FR,2022,87.5
A,PC_HH,5G,TOTAL,FR,2023,90.8
A,PC_HH,5G,TOTAL,FR,2024,94.3
A,PC_HH,5G,TOTAL,FR,2025,96.4
A,PC_HH,5G,TOTAL,HR,2021,33.8
A,PC_HH,5G,TOTAL,HR,2022,82.5
A,PC_HH,5G,TOTAL,HR,2023,83.4
A,PC_HH,5G,TOTAL,HR,2024,94.2
A,PC_HH,5G,TOTAL,HR,2025,97.8
A,PC_HH,5G,TOTAL,HU,2020,7.3
A,PC_HH,5G,TOTAL,HU,2021,17.6
A,PC_HH,5G,TOTAL,HU,2022,57.9
A,PC_HH,5G,TOTAL,HU,2023,83.7
A,PC_HH,5G,TOTAL,HU,2024,85.6
A,PC_HH,5G,TOTAL,HU,2025,94.0
A,PC_HH,5G,TOTAL,IE,2020,30.5
A,PC_HH,5G,TOTAL,IE,2021,72.1
A,PC_HH,5G,TOTAL,IE,2022,83.9
A,PC_HH,5G,TOTAL,IE,2023,85.3
A,PC_HH,5G,TOTAL,IE,2024,89.9
A,PC_HH,5G,TOTAL,IE,2025,96.3
A,PC_HH,5G,TOTAL,IS,2021,41.0
A,PC_HH,5G,TOTAL,IS,2022,41.6
A,PC_HH,5G,TOTAL,IS,2023,78.3
A,PC_HH,5G,TOTAL,IS,2024,80.3
A,PC_HH,5G,TOTAL,IS,2025,93.8
A,PC_HH,5G,TOTAL,IT,2020,8.1
A,PC_HH,5G,TOTAL,IT,2021,99.7
A,PC_HH,5G,TOTAL,IT,2022,99.7
A,PC_HH,5G,TOTAL,IT,2023,99.5
A,PC_HH,5G,TOTAL,IT,2024,99.5
A,PC_HH,5G,TOTAL,IT,2025,99.8
A,PC_HH,5G,TOTAL,LT,2021,33.3
A,PC_HH,5G,TOTAL,LT,2022,90.1
A,PC_HH,5G,TOTAL,LT,2023,98.9
A,PC_HH,5G,TOTAL,LT,2024,99.7
A,PC_HH,5G,TOTAL,LT,2025,99.7
A,PC_HH,5G,TOTAL,LU,2021,12.7
A,PC_HH,5G,TOTAL,LU,2022,93.2
A,PC_HH,5G,TOTAL,LU,2023,99.6
A,PC_HH,5G,TOTAL,LU,2024,99.6
A,PC_HH,5G,TOTAL,LU,2025,99.9
A,PC_HH,5G,TOTAL,LV,2022,42.0
A,PC_HH,5G,TOTAL,LV,2023,53.1
A,PC_HH,5G,TOTAL,LV,2024,71.1
A,PC_HH,5G,TOTAL,LV,2025,98.2
A,PC_HH,5G,TOTAL,MT,2021,20.0
A,PC_HH,5G,TOTAL,MT,2022,100.0
A,PC_HH,5G,TOTAL,MT,2023,100.0
A,PC_HH,5G,TOTAL,MT,2024,100.0
A,PC_HH,5G,TOTAL,MT,2025,100.0
A,PC_HH,5G,TOTAL,NL,2020,80.0
A,PC_HH,5G,TOTAL,NL,2021,97.0
A,PC_HH,5G,TOTAL,NL,2022,100.0
A,PC_HH,5G,TOTAL,NL,2023,100.0
A,PC_HH,5G,TOTAL,NL,2024,100.0
A,PC_HH,5G,TOTAL,NL,2025,100.0
A,PC_HH,5G,TOTAL,NO,2020,2.4
A,PC_HH,5G,TOTAL,NO,2021,23.8
A,PC_HH,5G,TOTAL,NO,2022,81.5
A,PC_HH,5G,TOTAL,NO,2023,95.3
A,PC_HH,5G,TOTAL,NO,2024,99.0
A,PC_HH,5G,TOTAL,NO,2025,99.7
A,PC_HH,5G,TOTAL,PL,2020,10.3
A,PC_HH,5G,TOTAL,PL,2021,34.2
A,PC_HH,5G,TOTAL,PL,2022,63.4
A,PC_HH,5G,TOTAL,PL,2023,71.9
A,PC_HH,5G,TOTAL,PL,2024,89.3
A,PC_HH,5G,TOTAL,PL,2025,94.0
A,PC_HH,5G,TOTAL,PT,2022,70.1
A,PC_HH,5G,TOTAL,PT,2023,98.1
A,PC_HH,5G,TOTAL,PT,2024,98.7
A,PC_HH,5G,TOTAL,PT,2025,99.1
A,PC_HH,5G,TOTAL,RO,2020,11.7
A,PC_HH,5G,TOTAL,RO,2021,24.9
A,PC_HH,5G,TOTAL,RO,2022,26.8
A,PC_HH,5G,TOTAL,RO,2023,32.8
A,PC_HH,5G,TOTAL,RO,2024,46.8
A,PC_HH,5G,TOTAL,RO,2025,59.3
A,PC_HH,5G,TOTAL,SE,2020,13.6
A,PC_HH,5G,TOTAL,SE,2021,17.7
A,PC_HH,5G,TOTAL,SE,2022,20.5
A,PC_HH,5G,TOTAL,SE,2023,90.3
A,PC_HH,5G,TOTAL,SE,2024,98.6
A,PC_HH,5G,TOTAL,SE,2025,98.7
A,PC_HH,5G,TOTAL,SI,2021,36.6
A,PC_HH,5G,TOTAL,SI,2022,63.9
A,PC_HH,5G,TOTAL,SI,2023,82.1
A,PC_HH,5G,TOTAL,SI,2024,97.7
A,PC_HH,5G,TOTAL,SI,2025,99.4
A,PC_HH,5G,TOTAL,SK,2021,13.8
A,PC_HH,5G,TOTAL,SK,2022,55.3
A,PC_HH,5G,TOTAL,SK,2023,79.0
A,PC_HH,5G,TOTAL,SK,2024,87.9
A,PC_HH,5G,TOTAL,SK,2025,93.9
A,PC_HH,5G,TOTAL,UK,2020,20.4
A,PC_HH,5G,TOTAL,UK,2021,37.9
A,PC_HH,5G,TOTAL,UK,2022,57.2
A,PC_HH,5G,TOTAL,UK,2023,84.8
A,PC_HH,5G,TOTAL,UK,2024,95.1
A,PC_HH,5G,TOTAL,UK,2025,97.0
A,PC_HH,5G_GHZ3P4-3P8,DEG3,AT,2022,31.3
A,PC_HH,5G_GHZ3P4-3P8,DEG3,AT,2023,41.5
A,PC_HH,5G_GHZ3P4-3P8,DEG3,AT,2024,51.9
A,PC_HH,5G_GHZ3P4-3P8,DEG3,AT,2025,53.2
A,PC_HH,5G_GHZ3P4-3P8,DEG3,BE,2022,2.0
A,PC_HH,5G_GHZ3P4-3P8,DEG3,BE,2023,3.8
A,PC_HH,5G_GHZ3P4-3P8,DEG3,BE,2024,39.6
A,PC_HH,5G_GHZ3P4-3P8,DEG3,BE,2025,48.0
A,PC_HH,5G_GHZ3P4-3P8,DEG3,BG,2022,8.6
A,PC_HH,5G_GHZ3P4-3P8,DEG3,BG,2023,13.4
A,PC_HH,5G_GHZ3P4-3P8,DEG3,BG,2024,38.2
A,PC_HH,5G_GHZ3P4-3P8,DEG3,BG,2025,49.1
A,PC_HH,5G_GHZ3P4-3P8,DEG3,CH,2022,70.6
A,PC_HH,5G_GHZ3P4-3P8,DEG3,CH,2023,92.9
A,PC_HH,5G_GHZ3P4-3P8,DEG3,CH,2024,52.0
A,PC_HH,5G_GHZ3P4-3P8,DEG3,CH,2025,83.2
A,PC_HH,5G_GHZ3P4-3P8,DEG3,CY,2022,6.8
A,PC_HH,5G_GHZ3P4-3P8,DEG3,CY,2023,28.0
A,PC_HH,5G_GHZ3P4-3P8,DEG3,CY,2024,28.0
