freq,unit,geo,time,value
A,PC_HH,AT32,2018,89.07
A,PC_HH,AT32,2019,89.05
A,PC_HH,AT32,2020,87.5
A,PC_HH,AT32,2021,91.99
A,PC_HH,AT33,2006,28.25
A,PC_HH,AT33,2007,43.32
A,PC_HH,AT33,2008,53.17
A,PC_HH,AT33,2009,57.44
A,PC_HH,AT33,2010,64.22
A,PC_HH,AT33,2011,68.77
A,PC_HH,AT33,2012,72.06
A,PC_HH,AT33,2013,82.91
A,PC_HH,AT33,2014,78.9
A,PC_HH,AT33,2016,84.17
A,PC_HH,AT33,2017,89.32
A,PC_HH,AT33,2018,87.73
A,PC_HH,AT33,2019,92.95
A,PC_HH,AT33,2020,90.03
A,PC_HH,AT33,2021,88.93
A,PC_HH,AT34,2006,36.53
A,PC_HH,AT34,2007,44.17
A,PC_HH,AT34,2008,52.87
A,PC_HH,AT34,2009,59.11
A,PC_HH,AT34,2010,64.54
A,PC_HH,AT34,2011,79.2
A,PC_HH,AT34,2012,79.45
A,PC_HH,AT34,2013,82.59
A,PC_HH,AT34,2014,80.55
A,PC_HH,AT34,2016,88.05
A,PC_HH,AT34,2017,87.1
A,PC_HH,AT34,2018,90.77
A,PC_HH,AT34,2019,89.67
A,PC_HH,AT34,2020,91.93
A,PC_HH,AT34,2021,93.63
A,PC_HH,BA,2018,69.15
A,PC_HH,BA,2019,72.03
A,PC_HH,BA,2020,72.84
A,PC_HH,BA,2021,75.49
A,PC_HH,BE,2006,48.05
A,PC_HH,BE,2007,56.39
A,PC_HH,BE,2008,60.32
A,PC_HH,BE,2009,63.4
A,PC_HH,BE,2010,69.95
A,PC_HH,BE,2011,74.0
A,PC_HH,BE,2012,74.7
A,PC_HH,BE,2013,78.65
A,PC_HH,BE,2014,81.48
A,PC_HH,BE,2015,79.22
A,PC_HH,BE,2016,82.41
A,PC_HH,BE,2017,84.25
A,PC_HH,BE,2018,83.73
A,PC_HH,BE,2019,87.57
A,PC_HH,BE,2020,90.86
A,PC_HH,BE,2021,91.97
A,PC_HH,BE1,2008,55.68
A,PC_HH,BE1,2009,57.39
A,PC_HH,BE1,2010,65.46
A,PC_HH,BE1,2011,71.09
A,PC_HH,BE1,2012,74.53
A,PC_HH,BE1,2013,76.27
A,PC_HH,BE1,2014,78.21
A,PC_HH,BE1,2015,75.6
A,PC_HH,BE1,2016,86.36
A,PC_HH,BE1,2017,84.15
A,PC_HH,BE1,2018,83.73
A,PC_HH,BE1,2019,87.31
A,PC_HH,BE1,2020,89.52
A,PC_HH,BE1,2021,93.0
A,PC_HH,BE10,2008,55.68
A,PC_HH,BE10,2009,57.39
A,PC_HH,BE10,2010,65.46
A,PC_HH,BE10,2011,71.09
A,PC_HH,BE10,2012,74.53
A,PC_HH,BE10,2013,76.27
A,PC_HH,BE10,2014,78.21
A,PC_HH,BE10,2015,75.6
A,PC_HH,BE10,2016,86.36
A,PC_HH,BE10,2017,84.15
A,PC_HH,BE10,2018,83.73
A,PC_HH,BE10,2019,87.31
A,PC_HH,BE10,2020,89.52
A,PC_HH,BE10,2021,93.0
A,PC_HH,BE2,2008,65.96
A,PC_HH,BE2,2009,68.95
A,PC_HH,BE2,2010,74.09
A,PC_HH,BE2,2011,75.93
A,PC_HH,BE2,2012,77.08
A,PC_HH,BE2,2013,81.31
A,PC_HH,BE2,2014,84.66
A,PC_HH,BE2,2015,81.33
A,PC_HH,BE2,2016,83.5
A,PC_HH,BE2,2017,85.76
A,PC_HH,BE2,2018,85.1
A,PC_HH,BE2,2019,89.28
A,PC_HH,BE2,2020,92.03
A,PC_HH,BE2,2021,93.32
A,PC_HH,BE21,2008,64.29
A,PC_HH,BE21,2009,67.46
A,PC_HH,BE21,2010,73.41
A,PC_HH,BE21,2011,75.56
A,PC_HH,BE21,2012,76.81
A,PC_HH,BE21,2013,83.63
A,PC_HH,BE21,2014,84.97
A,PC_HH,BE21,2015,81.14
A,PC_HH,BE21,2016,84.9
A,PC_HH,BE21,2017,86.21
A,PC_HH,BE21,2018,85.63
A,PC_HH,BE21,2019,89.81
A,PC_HH,BE21,2020,90.75
A,PC_HH,BE21,2021,92.72
A,PC_HH,BE22,2008,68.6
A,PC_HH,BE22,2009,69.58
A,PC_HH,BE22,2010,77.0
A,PC_HH,BE22,2011,78.19
A,PC_HH,BE22,2012,79.98
A,PC_HH,BE22,2013,81.49
A,PC_HH,BE22,2014,87.27
A,PC_HH,BE22,2015,82.85
A,PC_HH,BE22,2016,84.59
A,PC_HH,BE22,2017,87.49
A,PC_HH,BE22,2018,84.16
A,PC_HH,BE22,2019,89.71
A,PC_HH,BE22,2020,91.83
A,PC_HH,BE22,2021,92.93
A,PC_HH,BE23,2008,68.61
A,PC_HH,BE23,2009,69.16
A,PC_HH,BE23,2010,72.62
A,PC_HH,BE23,2011,73.68
A,PC_HH,BE23,2012,77.36
A,PC_HH,BE23,2013,81.67
A,PC_HH,BE23,2014,84.07
A,PC_HH,BE23,2015,79.73
A,PC_HH,BE23,2016,83.22
A,PC_HH,BE23,2017,83.42
A,PC_HH,BE23,2018,83.98
A,PC_HH,BE23,2019,86.22
A,PC_HH,BE23,2020,93.22
A,PC_HH,BE23,2021,92.54
A,PC_HH,BE24,2008,69.15
A,PC_HH,BE24,2009,69.49
A,PC_HH,BE24,2010,77.53
A,PC_HH,BE24,2011,79.76
A,PC_HH,BE24,2012,80.11
A,PC_HH,BE24,2013,81.26
A,PC_HH,BE24,2014,86.51
A,PC_HH,BE24,2015,84.66
A,PC_HH,BE24,2016,84.6
A,PC_HH,BE24,2017,86.97
A,PC_HH,BE24,2018,86.86
A,PC_HH,BE24,2019,92.89
A,PC_HH,BE24,2020,94.21
A,PC_HH,BE24,2021,96.11
A,PC_HH,BE25,2008,60.43
A,PC_HH,BE25,2009,69.99
A,PC_HH,BE25,2010,71.79
A,PC_HH,BE25,2011,74.29
A,PC_HH,BE25,2012,72.32
A,PC_HH,BE25,2013,77.24
A,PC_HH,BE25,2014,81.39
A,PC_HH,BE25,2015,79.5
A,PC_HH,BE25,2016,79.92
A,PC_HH,BE25,2017,85.66
A,PC_HH,BE25,2018,84.77
A,PC_HH,BE25,2019,88.71
A,PC_HH,BE25,2020,90.63
A,PC_HH,BE25,2021,92.84
A,PC_HH,BE3,2008,52.17
A,PC_HH,BE3,2009,55.93
A,PC_HH,BE3,2010,64.39
A,PC_HH,BE3,2011,71.7
A,PC_HH,BE3,2012,70.62
A,PC_HH,BE3,2013,74.91
A,PC_HH,BE3,2014,77.14
A,PC_HH,BE3,2015,76.86
A,PC_HH,BE3,2016,79.09
A,PC_HH,BE3,2017,81.66
A,PC_HH,BE3,2018,81.31
A,PC_HH,BE3,2019,84.7
A,PC_HH,BE3,2020,89.31
A,PC_HH,BE3,2021,89.26
A,PC_HH,BE31,2008,63.43
A,PC_HH,BE31,2009,71.58
A,PC_HH,BE31,2010,73.42
A,PC_HH,BE31,2011,80.98
A,PC_HH,BE31,2012,86.69
A,PC_HH,BE31,2013,82.39
A,PC_HH,BE31,2014,86.79
A,PC_HH,BE31,2015,83.78
A,PC_HH,BE31,2016,86.52
A,PC_HH,BE31,2017,88.29
A,PC_HH,BE31,2018,86.8
A,PC_HH,BE31,2019,90.23
A,PC_HH,BE31,2020,95.91
A,PC_HH,BE31,2021,95.81
A,PC_HH,BE32,2008,46.8
A,PC_HH,BE32,2009,53.02
A,PC_HH,BE32,2010,62.94
A,PC_HH,BE32,2011,73.54
A,PC_HH,BE32,2012,65.24
A,PC_HH,BE32,2013,70.78
A,PC_HH,BE32,2014,73.23
A,PC_HH,BE32,2015,75.51
A,PC_HH,BE32,2016,73.55
A,PC_HH,BE32,2017,78.21
A,PC_HH,BE32,2018,79.01
A,PC_HH,BE32,2019,80.43
A,PC_HH,BE32,2020,87.1
A,PC_HH,BE32,2021,88.17
A,PC_HH,BE33,2008,52.41
A,PC_HH,BE33,2009,52.82
A,PC_HH,BE33,2010,63.07
A,PC_HH,BE33,2011,64.27
A,PC_HH,BE33,2012,70.16
A,PC_HH,BE33,2013,75.93
A,PC_HH,BE33,2014,76.29
A,PC_HH,BE33,2015,75.3
A,PC_HH,BE33,2016,81.88
A,PC_HH,BE33,2017,83.01
A,PC_HH,BE33,2018,83.14
A,PC_HH,BE33,2019,87.4
A,PC_HH,BE33,2020,92.01
A,PC_HH,BE33,2021,91.2
A,PC_HH,BE34,2008,56.27
A,PC_HH,BE34,2009,61.58
A,PC_HH,BE34,2010,67.17
A,PC_HH,BE34,2011,70.79
A,PC_HH,BE34,2012,73.11
A,PC_HH,BE34,2013,76.14
A,PC_HH,BE34,2014,79.47
A,PC_HH,BE34,2015,80.07
A,PC_HH,BE34,2016,86.42
A,PC_HH,BE34,2017,83.29
A,PC_HH,BE34,2018,81.75
A,PC_HH,BE34,2019,88.85
A,PC_HH,BE34,2020,86.66
A,PC_HH,BE34,2021,86.7
A,PC_HH,BE35,2008,56.02
A,PC_HH,BE35,2009,56.53
A,PC_HH,BE35,2010,63.07
A,PC_HH,BE35,2011,77.54
A,PC_HH,BE35,2012,73.07
A,PC_HH,BE35,2013,77.65
A,PC_HH,BE35,2014,81.33
A,PC_HH,BE35,2015,77.21
A,PC_HH,BE35,2016,78.06
